institution,accessionNumber,title,rawMedium
Centre national des arts plastiques,FNAC PFH-4878 (78),Exposition Universelle de Liège/Le Pont de Fragnée/EM. Dupuis,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (38),Les Trois Glorieuses-Le Parc-La Place des Martyrs,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (4),La Leçon de musique,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (43),Le Roi-M. Warocqué-ME SAM Wunier,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (72),Exposition Universelle de Liège/Les Ministres Français/N. Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (53),Exposition Universelle de Liège/Renouard et Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (27),M. Alfred Mabille-M. Cuveliers/Les auteurs du Cortège Historique et des Tournois,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (74),Exposition Universelle de Liège/Les Bottresses au Vieux-Liège/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (75),Exposition Universelle de Liège/Après le Banquet de Cointe les Ouvriers défilent devant la statue de Gramme/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (36),Anvers-Le Roi à la Bourse,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (50),Exposition Universelle de Liège/Inauguration officielle par le Roi/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (12),Docteur Rommelaere et M. Solvay,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (58),Exposition Universelle de Liège/Le Roi au stand Cockerill/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC 2123,Tête de femme,Gravure en noir
Centre national des arts plastiques,FNAC PFH-4878 (21),Tournoi de chevalerie-Charolais sous la tente/20 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (41),Mons-Le Congrès d'Expansion Mondiale,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (32),Le Cortège Historique-période autrichienne,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (40),Mons-Le Congrès d'Expansion Mondiale,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (10),Etat-Major de la garde civique au concours de tir/et Match international/le 11 juin à Bruxelles,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (3),SAR La Princesse Elisabeth/SAR La Princesse Clémentine,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (79),Exposition Universelle de Liège/La Dernière ronde/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (61),Exposition Universelle de Liège/La Compagnie royale des anciens arquebusiers de Visé/N. Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (46),Exposition Universelle de Liège/Frontispice/par/Emile Berchmans,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (76),Exposition Universelle de Liège/Distributions des récompenses/Discours du Commissaire Général/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (42),Mons-Le Congrès d'Expansion Mondiale,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (56),Exposition Universelle de Liège/Trente mille personnes dans la plaine des Aguesses/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (77),Exposition Universelle de Liège/Distributions des récompenses/Le Banquet/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (11),Inauguration de l'Institut Rommelaere/le 18 juin à Gand,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (31),Les Neuf provinces invitent l'Electricité à se désaltérer,Estampe
Centre national des arts plastiques,FNAC 15726 (2),Paysage de Beauce,
Centre national des arts plastiques,FNAC 22379,Le Cirque,Aquarelle et gouache sur papier Electric d'Arches
Centre national des arts plastiques,FNAC PFH-5797 (2),"Armand Fallières, président de la République",Gravure
Centre national des arts plastiques,FNAC 24283,Torrent pendant l'hiver,
Centre national des arts plastiques,FNAC 24295,Paysage,
Centre national des arts plastiques,FNAC 4046,Hêtres moussus,Gravure en couleur
Centre national des arts plastiques,FNAC 11536,"Concarneau, les thonniers au port",Gravure
Centre national des arts plastiques,FNAC 3527,La Neige,Gravure en couleurs
Centre national des arts plastiques,FNAC 3390,Soir d'hiver,Gravure en couleur
Centre national des arts plastiques,FNAC 23421,Sortie du Palais des Tuileries,
Centre national des arts plastiques,FNAC PFH-4022 (3),La Charité,
Centre national des arts plastiques,FNAC 14241,La Pensée,Gravure
Centre national des arts plastiques,FNAC 18581,Les blanchisseuses,
Centre national des arts plastiques,FNAC PFH-2872 (1),La Déposition du Christ au tombeau,Gravure
Centre national des arts plastiques,FNAC 2020-0116 (1),(Sans titre),Impression sur papier (reproduction)
"Centre Pompidou, Musée national d'art moderne",AM 4339 D (37),(Sans titre),
"Centre Pompidou, Musée national d'art moderne",AM 2016-62,Merz3. Merz Mappe.,Encre sur papier
"Centre Pompidou, Musée national d'art moderne",AM 4340 D (37),(Sans titre),
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (135),Violoniste,
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (132),Quatre personnages dans un intérieur,
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (129),Marin lisant sur un port,
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (134),Violoniste,
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (131),Le Marin assis,
"Centre Pompidou, Musée national d'art moderne",AM 636 GR,(Sans titre),Gravure sur papier
"Centre Pompidou, Musée national d'art moderne",AM 81-65-976,"Partition : ""marche des rotariens ostendais""",
"Centre Pompidou, Musée national d'art moderne",JP 774 P,Friuli (Frioul),Gravure
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (127),Nature morte aux bananes,
"Centre Pompidou, Musée national d'art moderne",AM 10892 GR (130),Le Marin assis,
"Centre Pompidou, Musée national d'art moderne",AM 2024-775,Gayant et sa famille,Epreuve couleur sur papier vergé
"Centre Pompidou, Musée national d'art moderne",AM 81-65-762 (2),Improvisation 5,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (18),Zwei Frauen in Mondlandschaft (Deux femmes dans un paysage au clair de lune),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (1),Finsterer Abend (Soir sombre),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (12),Radierung IV (Pointe sèche IV),Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (5),Landschaft mit Figur und Phoenix (Paysage avec figure et phénix),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (9),Improvisation 1,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (16),Die Jagd (La Chasse),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-814 (2),Arabische Reiter (Cavaliers arabes),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-833 (2),"Hügel, Baum, Wolken und Figur (Colline, arbre, nuages et figure)",Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-774 (2),Improvisation 22 (Variante I),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-765 (2),Unverändert,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-761 (2),Käfig,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-817 (2),Bewegtes Leben (Grouillement),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-821 (2),Ewigkeit (Eternité),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-835 (2),Der Schleier (Le voile),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-832 (2),Flamme,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-778 (2),Ausgang (Issue),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-768 (2),Reiterweg (Chemin des cavaliers),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-799 (2),Reitermotiv in ovaler Form (Motif de cavalier dans une forme ovale),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-760 (2),Vorfrühling (Début du printemps),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-770 (2),Weisser Klang (Sonorité blanche),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-836 (2),Reiterin und Kind (Cavalière et enfant),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-748,Bois pour Katherine S. Dreier,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-815 (2),Altes Städtchen (Vieille petite ville),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-788 (2),Motif pour Improvisation 10,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-825 (2),Belagerung (Siège),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-767 (2),Einiges (Quelques-uns),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-759 (2),Fagott (Basson),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-834 (2),Springbrunnen (Fontaines),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-732 (2),Sans titre,Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-738 (2),Deuxième don annuel de la Société Kandinsky,Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-803 (2),Frühling,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-731 (2),Radierung für den Piper-Verlag (Pointe sèche pour l'éditeur Piper),Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-718 (2),Kleine Welten V (Petits mondes V),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-740 (2),Troisième don annuel de la Société Kandinsky,Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-743 (2),Cinquième don annuel de la Société Kandinsky,Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-741 (2),Quatrième don annuel de la Société Kandinsky,Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-726 (2),Radierung mit fünf Diagonalen (Pointe sèche avec cinq diagonales),Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-773 (2),Improvisation 4,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-755 (2),Gravure pour le catalogue du Salon Izdebsky,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-787 (2),Kreide und Russ (Craie et suie),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-786 (2),Täuflinge (Prosélytes recevant le baptême),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-790 (2),Lenz (Printemps précoce),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-781 (2),Apfelbaum (Pommier),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-784 (2),Abenteuer (Aventure),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-766 (2),Hoboe (Hautbois),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-792 (2),Blätter (Feuilles),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-807 (2),Die Zuschauer (Les spectateurs),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-838 (2),Felsen (Rochers),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-794 (2),Improvisation 24,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-795 (2),Frühling (Printemps),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-820 (2),Zweikampf (Duel),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-830 (2),Ohne Bewegung (Sans mouvement),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-840 (2),Der Sturm,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-775 (2),Improvisation 22 (Variante II),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-758 (2),Komposition II (Klänge),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-771 (2),Doch noch ? (Quand même ?),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-783 (2),Weisser Schaum (Ecume blanche),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-780 (2),Im Wald (Dans la forêt),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-720 (2),Kleine Welten VII (Petits Mondes VII),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (7),Variation sur Improvisation 21,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (19),Landschaft mit Figuren und Kruzifix (Paysage avec figures et crucifix),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (10),Radierung I (Pointe sèche I),Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-756,Projet de couverture pour le Salon Izdebsky,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-809 (2),Rosen (Roses),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (3),"Promenade gracieuse, petite version",Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (17),Altrussisch Sonntag (Dimanche vieux-russe),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (13),Radierung V (Pointe sèche V),Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (11),Radierung III (Pointe sèche III),Plaque de cuivre
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (20),Lyrisches (Lyrique),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (8),Der Riss,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (4),Sitzende Mädchen (Jeunes filles assises),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (21),Schwarzer Fleck (Tache noire),Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (15),Gravure pour les éditions Cahiers d'Art,Bois (matrice)
"Centre Pompidou, Musée national d'art moderne",AM 81-65-962 (14),Radierung VI (Pointe sèche VI),Plaque en acier
Musée d'Art Moderne de Paris,AME 1289,Vue de la Seine,Gravure
Musée d'Art Moderne de Paris,AME 1294,Paris 1937,Gravure
Musée d'Art Moderne de Paris,AME 1293,Vue du Trocadéro,Gravure
Musée d'Art Moderne de Paris,AME 1284,Paris 1937 ( vue à vol d'oiseau ),Gravure
Musée d'Art Moderne de Paris,AME 812,Paysage,
Musée d'Art Moderne de Paris,AME 727,Deux femmes assises,
Musée d'Art Moderne de Paris,AME 475,(Sans titre),Gravure
Musée d'Art Moderne de Paris,AME 537,Canal,
Musée d'Art Moderne de Paris,AME 471,La conciergerie,
Musée d'Art Moderne de Paris,AME 536,Paysage aux grands arbres,
Musée d'Art Moderne de Paris,AME 1232,Composition XIII/XXX,Gravure
Musée d'Art Moderne de Paris,AME 474,(Sans titre),
Musée d'Art Moderne de Paris,AME 666,Le chemin au grand arbre,Gravure
Musée d'Art Moderne de Paris,AME 535,Les barques aux Martigues,
Musée d'Art Moderne de Paris,AME 538,Barque,
Musée d'Art Moderne de Paris,AME 423,Repasseuses,
Musée d'Art Moderne de Paris,AME 424,L'entrée de village,
Musée d'Art Moderne de Paris,AME 473,(Sans titre),
Musée d'Art Moderne de Paris,AME 1235,La repasseuse,Gravure
Musée d'Art Moderne de Paris,AME 472,Notre-Dame de Paris,
Musée d'Art Moderne de Paris,AME 780,(Sans titre),
Musée d'Art Moderne de Paris,AME 728,Danseuses espagnoles,
Musée Bourdelle,ICO286-1 [n° d'entrée],"Léda n°1, fac-similé procédé Jacomet, d'après dessin MBD3330",Aquarelle sur papier
Musée Bourdelle,ICO286-2 [n° d'entrée],"Léda n°1, fac-similé procédé Jacomet, d'après dessin MBD3330",Aquarelle sur papier
Musée Bourdelle,ICO287-1 [n° d'entrée],"Léda n°2, fac-similé procédé Jacomet, d'après dessin MBD6658",Aquarelle sur papier
Musée Bourdelle,MBES0045,Léda,Procédé Jacomet
Fonds d'art contemporain – Paris Collections,CMG267,"L'été, salle du zodiaque de Hôtel de Ville",Gravure
MAMC+ Saint-Étienne Métropole,57.5.1,Tableau-Poème,Tirage offset sur papier vélin filigrané Arches
MAMC+ Saint-Étienne Métropole,43.1.87,Le second coup de feu,Manière de lavis sur papier chiffon
MAMC+ Saint-Étienne Métropole,43.1.361,Portrait de Pierre-Paul Rubens,Roulette sur papier chiffon (dit en pointillé)
MAMC+ Saint-Étienne Métropole,93.52.4,L'art roman,Estampe rehaussée sur papier à graver
MAMC+ Saint-Étienne Métropole,43.1.793,Le petit Saint Jean,Roulette sur papier mécanique
MAMC+ Saint-Étienne Métropole,43.1.792,L'enfant Jésus,Roulette (pointillé) sur papier mécanique
MAMC+ Saint-Étienne Métropole,43.1.830,Jeune femme pleurant dans la nuit,Lithohraphie sur papier mécanique
Musée d'Art moderne et contemporain de Strasbourg,XXXIV 89 (e),Fourmi au bâton,Eau-fort sur papier
Musée d'Art moderne et contemporain de Strasbourg,LXXII 56,Deux danseuses,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,LXV 75,Paysage de neige,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,LXV 69,(Sans titre),Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,LXX 24,Femme à l'éventail,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XIX 152,Au bord de la mer,Gravure en couleurs
Musée d'Art moderne et contemporain de Strasbourg,55.992.13.208,"La Paix, d'après un dessin de Doré",Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XXXIV 122 (1),Le Songe de la femme de Pilate,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,55.004.0.11,"Apparition du Christ, d'après Gustave Doré",Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XXIX 208 (3),Plan topographique de la bataille de Magenta,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XXXIV 122 (4),Les soldats de la croix,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,55.004.0.99,La Légende du Juif errant,Gravures sur bois
Musée d'Art moderne et contemporain de Strasbourg,XXVII 60,Entrée des Français dans Sébastopol,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XXIX 208 (2),Bataille de Magenta,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XXIX 208 (1),Combat de Montebello,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,55.004.0.12,"Les Martyrs Chrétiens, d'après l'oeuvre de Gustave Doré",Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,XXXXVI 17 (c),Femme de profil,Gravure sur papier
Musée d'Art moderne et contemporain de Strasbourg,55.974.0.531,Bonne nuit,Gouache sur carton
Musée d'Art moderne et contemporain de Strasbourg,836,Meine Harmonie,
Musée Tomi Ungerer,99.2018.0.40,L'oeil du maître,gravure collée sur un montage ancien en papier bleu avec notice collée au verso
Musée Tomi Ungerer,99.2018.0.44,Le paysan du Danube,gravure contrecollée sur du papier canson avec notice collée au verso
Musée Tomi Ungerer,99.2018.0.45,"Le juge arbitre, l'Hospitalier et le Solitaire",gravure collée à un passe-partout en papier bleu et notice collée avec du scotch au verso
