status,name,survivor,survivorAtMerge,rule,decidedBy,ruleVersion,evidence,at,source,detail
event,Antonio Canal known as Canaletto,Antonio Canal known as il Canaletto,Antonio Canal known as il Canaletto,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Antonio Canaletto,Antonio Canal called Canaletto,Antonio Canal called Canaletto,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Antony Caro,Anthony Caro,Anthony Caro,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 3 near-duplicate image pair(s), max cosine 0.9808, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Arthur B. Davies,Arthur Bowen Davies,Arthur Bowen Davies,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Attribuito a Remigio Cantagallina,Remigio Cantagallina,Remigio Cantagallina,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Auguste Renoir,Pierre-Auguste Renoir,Pierre-Auguste Renoir,ulanCanonical,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500115467 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Auguste-louis Lepère,Auguste-Louis Lepère,Auguste-Louis Lepère,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Augustus John,Augustus Edwin John,Augustus Edwin John,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Benton Spruance,Benton Murdoch Spruance,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.977",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Bernard Buffett,Bernard Buffet,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 27.96; DINOv2 max 0.332",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Bernard Leach Study for a Pot,Bernard Howell Leach,Bernard Howell Leach,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: a work title leaked into the artist field",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Bernd & Hilla Becher,Bernd and Hilla Becher,Bernd and Hilla Becher,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Bertha Boynton Lum,Bertha Lum,Bertha Lum,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Blair Rowlands Hughes-Stanton,Blair Hughes-Stanton,Blair Hughes-Stanton,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Bob & Roberta Smith,Bob and Roberta Smith (Patrick Brill),Bob and Roberta Smith (Patrick Brill),humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Bob and Roberta Smith [Patrick Brill RA],Bob and Roberta Smith (Patrick Brill),Bob and Roberta Smith (Patrick Brill),humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Brassai photograph: Untitled,Brassaï,Brassaï,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9997, name relation tokenSubset; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,C R W Nevinson,Christopher Richard Wynne Nevinson ARA,Christopher Richard Wynne Nevinson ARA,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 7 near-duplicate image pair(s), max cosine 0.9708, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,C.B Hoyo,CB Hoyo,CB Hoyo,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9824, name relation tokenSubset; birth year absent on one side; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,CONSTANTIN TERECHKOVITCH,Constantin Andreevitch Terechkovitch,Constantin Andreevitch Terechkovitch,survivorRenamed,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Cat Phillips & Peter Kennard,Kennard Phillips (Peter Kennard and Cat Phillips),Kennard Phillips (Peter Kennard and Cat Phillips),humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: one duo, kennardphillipps, written two ways",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Ceri Geraldus Richards,Ceri Richards,Ceri Richards,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Charles E. Burchfield,Charles Burchfield,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.966",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Charles François Daubigny,Charles-François Daubigny,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74; DINOv2 max 0.444",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Charles Joseph Hullmandel,Charles Hullmandel,Charles Hullmandel,kmIdentityRepair,human,KM-DUP-MERGE-1.0,"'Charles Hullmandel' is a recorded name of ULAN 500041156 (single_candidate_strong, exact 'Hullmandel, Charles Joseph')",2026-09-19T102858,km_artist_repair_merge_presnapshot_2026-09-19T102858.json,
event,Charles-françois Daubigny,Charles-François Daubigny,Charles-François Daubigny,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Christopher Le Brun PPRA,Christopher Le Brun,Christopher Le Brun,survivorRenamed,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9564, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Christopher Mark Le Brun PPRA,Christopher Le Brun,Christopher Le Brun,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Christopher R. W. Nevinson ARA,Christopher Richard Wynne Nevinson ARA,Christopher Richard Wynne Nevinson ARA,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: initials against full name; both 1889-1946",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Christopher Richard Wynne Nevinson,Christopher Richard Wynne Nevinson ARA,Christopher Richard Wynne Nevinson ARA,kmIdentityRepair,human,KM-DUP-MERGE-1.0,"same name once the post-nominal ARA is stripped (repo rule 'honorific'); other node holds the correct ULAN 500031355 (Nevinson, Christopher, 1889-1946), born 1889",2026-09-19T102858,km_artist_repair_merge_presnapshot_2026-09-19T102858.json,
event,Claire Leighton,Clare Leighton,Clare Leighton,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Claude Gellée called Claude Lorrain,Claude Gellée called le Lorrain,Claude Gellée called le Lorrain,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Constantino Nivola,Costantino Nivola,Costantino Nivola,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: Costantino is the Italian spelling; both 1911-1988",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Dado,MIODRAG DJURIC called DADO,MIODRAG DJURIC called DADO,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Damien Hist,Damien Hirst,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 21.35",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,David A. Siqueiros,David Alfaro Siqueiros,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level jw088; match weight 23.88; DINOv2 max 0.964",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,David Young Cameron R.A. R.S.A. R.W.S. R.S.W. R.E,David Young Cameron,David Young Cameron,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,David Young Cameron RE ROI RSA RWS RA RSW,David Young Cameron,David Young Cameron,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Doug and Mike Starn,Doug & Mike Starn,Doug & Mike Starn,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Edgar Alfred Holloway RBA,Edgar Holloway,Edgar Holloway,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Edmond François Aman-jean,Edmond François Aman-Jean,Edmond François Aman-Jean,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:18:37.203141+00:00,artist_pairs_presnapshot_2026-09-15T211837.json,
event,Edna Boies hopkins,Edna Boies Hopkins,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74; DINOv2 max 0.446",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Edouard Manet,Édouard Manet,Édouard Manet,humanPairs,human,ARTIST-MERGE-3.x pairs,fold,2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Edouardo Poalozzi,Eduardo Paolozzi,Eduardo Paolozzi,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 6 near-duplicate image pair(s), max cosine 0.9505, name relation spellingNearMiss; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Eduaordo Chillida,Eduardo Chillida,Eduardo Chillida,ulanCanonical,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500013253 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Eduardo Luigi Paolozzi KBE,Eduardo Paolozzi,Eduardo Paolozzi,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9409, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Edward Ruscha,Ed Ruscha,Ed Ruscha,ulanCanonical,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500024159 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Edwin John Victor Pasmore,Victor Pasmore,Victor Pasmore,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Elizabeth Frink,Elisabeth Frink,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 28.86; DINOv2 max 0.168",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Elling William Gollings,"Elling William ""Bill"" Gollings","Elling William ""Bill"" Gollings",humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Emile Cardinaux,Emil Cardinaux,Emil Cardinaux,kmIdentityRepair,human,KM-DUP-MERGE-1.0,"'Cardinaux, Emil' is the ULAN preferred spelling of manually verified ULAN 500021057; other node born 1877 = ULAN 1877",2026-09-19T102858,km_artist_repair_merge_presnapshot_2026-09-19T102858.json,
event,Ethel Leontine Gabain RBA ROI SWA,Ethel Gabain,Ethel Gabain,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Eugene Smith,W. Eugene Smith,W. Eugene Smith,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Fernandez Arman,Arman,Arman,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Frances Gearhart,Frances Hammell Gearhart,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.949",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Frances Hodgkins,Frances Mary Hodgkins,Frances Mary Hodgkins,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Francis Edgar Dodd RA RWS NEAC,Francis Dodd,Francis Dodd,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Francis Picarbia,Francis Picabia,Francis Picabia,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9642, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Francisco José de Goya y Lucientes,Francisco José de Goya,Francisco José de Goya y Lucientes,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 5 near-duplicate image pair(s), max cosine 0.9708, name relation tokenSubset; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Francisco Zuñiga,Francisco Zúñiga,Francisco Zúñiga,humanPairs,human,ARTIST-MERGE-3.x pairs,fold,2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Francisco de Goya,Francisco José de Goya,Francisco José de Goya y Lucientes,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 5 near-duplicate image pair(s), max cosine 0.9708, name relation tokenSubset; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Frank Besedick,Frank Paul Besedick,Frank Paul Besedick,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Frank Weston Benson,Frank W. Benson,Frank W. Benson,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Frantisek Kupka,František Kupka,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74; DINOv2 max 0.278",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Franz von Stuck,FRANZ VON STÜCK,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Frederick H. Evans,Frederick Henry Evans,Frederick Henry Evans,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Frederick L Griggs,Frederick Landseer Griggs,Frederick Landseer Griggs,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan, family-name flag reviewed and cleared: 'L' is Landseer; ULAN 500025866 on the survivor",2026-09-13T08:26:54.928061+00:00,artist_pairs_presnapshot_2026-09-13T082654.json,
event,Frederick L. Griggs,Frederick Landseer Griggs,Frederick Landseer Griggs,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Félix Buhot,Félix Hilaire Buhot,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 32.98; DINOv2 max 0.967",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Félix Vallotton,Félix Edouard Vallotton,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 31.08; DINOv2 max 0.940",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Gabor Peterdi,Gabor F. Peterdi,Gabor F. Peterdi,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Garo Zareh Antreasian,Garo Antreasian,Garo Antreasian,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,George Braque,Georges Braque,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 28.86; DINOv2 max 0.569",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,George Joji Miyasaki,George Miyasaki,George Miyasaki,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,George Ortman,George Earl Ortman,George Earl Ortman,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,George Rouault,Georges Rouault,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level jw094; match weight 28.86",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,George Wesley Bellows,George Bellows,George Bellows,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Georgio De Chirico,Giorgio de Chirico,,nameTypoDatesAgree,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3b typo, name evidence alone; name level edit2; match weight 22.60; DINOv2 max 0.292",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Gerald Kenneth Geerlings,Gerald Geerlings,Gerald Geerlings,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Gerard Audran,Gérard Audran,,nameNormalised,rule,ARTIST-MERGE-3.x band-b,"splink band B, B1 exact under normalisation; name level exact_norm; match weight 31.74; DINOv2 max 0.705",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Gilbert & George,Gilbert and George,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 20.92; DINOv2 max 0.974",2026-09-12T08:20:47.914002+00:00,band_b_presnapshot_2026-09-12.json,
event,Giorgio de Chirco,Giorgio de Chirico,Giorgio de Chirico,ulanCanonical,rule,ARTIST-MERGE-3.x ulan-canon,same ULAN id 500032635 held under two URL forms,2026-09-12T07:51:49.958359+00:00,ulan_canon_presnapshot_2026-09-12.json,
event,Giovanni B. Piranesi,Giovanni Battista Piranesi,Giovanni Battista Piranesi,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Giovanni B.piranesi,Giovanni Battista Piranesi,Giovanni Battista Piranesi,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Giovanni Batista Piranesi,Giovanni Battista Piranesi,Giovanni Battista Piranesi,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9588, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Giovanni Battista Tiepolo,Giovanni B. Tiepolo,Giovanni B. Tiepolo,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Giovanni D. Tiepolo,Giovanni Domenico Tiepolo,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level jw088; match weight 23.88; DINOv2 max 0.968",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
