erId,size,artist,title,medium,signed,sold,hammerGBP,saleDate,url,lotId,action,reason,editionNote
forum-104884-er,4,Chris Levine,Marks the Spot,The unique screenprint in pink with hand applied Swarovski crystals,True,True,2800.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/258-chris-levine-b1960marks-the-spot-104884,104884,clear,no 'edition of N' in the note,
forum-104898-er,2,Paul Cézanne,Tête de Jeune Fille,Etching,False,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/49-paul-c233zanne-1839-1906t234te-de-jeune-fille-104898,104898,clear,no 'edition of N' in the note,
forum-104900-er,8,Ottomar Anton,,Offset lithograph printed in colours,False,True,2400.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/136-ottomar-anton-1895-1976in-2-tagen-252ber-den-ozean-104900,104900,clear,no 'edition of N' in the note,
forum-104901-er,8,David Klein,,Offset lithograph printed in colours,False,True,1400.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/147-david-klein-1918-2005hollywood-fly-twa-104901,104901,clear,no 'edition of N' in the note,
forum-104902-er,2,Eugene d'Argence,,Lithograph printed in colours,False,True,650.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/135-eugene-d39argence-1853-1920messageries-maritimes-104902,104902,clear,no 'edition of N' in the note,
forum-104912-er,4,Giovanni Battista Piranesi,,Etching and engraving,False,True,700.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/3-giovanni-battista-piranesi-1720-1788-altra-veduta-del-104912,104912,clear,no 'edition of N' in the note,
forum-104913-er,8,Andy Warhol,Mao (Feldman and Schellmann II.125A),Screenprint in colours on wallpaper,False,True,2600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/184-andy-warhol-1928-1987mao-feldman-and-schellmann-ii125a-104913,104913,clear,no 'edition of N' in the note,
forum-104915-er,4,Rembrandt van Rijn,Self-portrait in a Velvet Cap with Plume,Etching,False,True,3200.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/17-rembrandt-van-rijn-1606-1669self-portrait-in-a-velvet-cap-104915,104915,clear,no 'edition of N' in the note,
forum-104916-er,4,Rembrandt van Rijn,Abraham and Isaac,Etching and drypoint,False,True,2000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/20-rembrandt-van-rijn-1606-1669-abraham-and-isaacnbsp-104916,104916,clear,no 'edition of N' in the note,
forum-104917-er,4,Rembrandt van Rijn,The Circumcision in the Stable,Etching with touches of drypoint,False,True,1600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/25-rembrandt-van-rijn-1606-1669the-circumcision-in-the-stable-104917,104917,clear,no 'edition of N' in the note,
forum-104919-er,4,Rembrandt van Rijn,The Descent from the Cross: Second Plate,Etching and engraving,False,True,15000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/14-rembrandt-van-rijn-1606-1669the-descent-from-the-cross-104919,104919,clear,no 'edition of N' in the note,
forum-104922-er,2,Rembrandt van Rijn,The Death of the Virgin,Etching with drypoint,False,True,6000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/12-rembrandt-van-rijn-1606-1669the-death-of-the-virgin-104922,104922,clear,no 'edition of N' in the note,
forum-104923-er,8,Rembrandt van Rijn,Jews in the synagogue,Etching and drypoint,False,True,6000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/22-rembrandt-van-rijn-1606-1669-jews-in-the-synagogue-104923,104923,clear,no 'edition of N' in the note,
forum-104924-er,4,Rembrandt van Rijn,"A Peasant in a High Cap, Standing Leaning on a Stick",Etching,False,True,1600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/18-rembrandt-van-rijn-1606-1669-a-peasant-in-a-high-cap-104924,104924,clear,no 'edition of N' in the note,
forum-104947-er,8,Rembrandt van Rijn,The Angel Departing from the Family of Tobias,Etching,False,True,1600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/19-rembrandt-van-rijn-1606-1669-the-angel-departing-from-the-104947,104947,clear,no 'edition of N' in the note,
forum-104949-er,8,Rembrandt van Rijn,Self Portrait with Saskia,Etching,False,True,5000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/9-rembrandt-van-rijn-1606-1669self-portrait-with-saskia-104949,104949,clear,no 'edition of N' in the note,
forum-104950-er,4,Rembrandt van Rijn,Self-Portrait in a Cap and Scarf with the Face Dark,Etching,False,True,2600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/13-rembrandt-van-rijn-1606-1669self-portrait-in-a-cap-and-104950,104950,clear,no 'edition of N' in the note,
forum-104954-er,2,Rembrandt van Rijn,The Raising of Lazarus: The Larger Plate,Etching and engraving,False,True,7500.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/8-rembrandt-van-rijn-1606-1669the-raising-of-lazarus-the-104954,104954,clear,no 'edition of N' in the note,
forum-104964-er,4,Marc Chagall . Charles Sorlier,"The Tribe of Simeon, from Twelve Maquettes of Stained Glass Windows for Jerusalem",Lithograph printed in colours,True,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/68-marc-chagall-1887-1985-afterthe-tribe-of-simeon-from-twelve-104964,104964,clear,no 'edition of N' in the note,numbered from the edition 150
forum-104973-er,8,Jean Dubuffet,,Lithograph,True,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/156-jean-dubuffet-1901-1985la-salute-de-la-fen234tre-104973,104973,clear,no 'edition of N' in the note,
forum-104982-er,2,Yayoi Kusama,Naoshima Pumpkin,Painted cast resin multiple,False,True,480.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/254-yayoi-kusama-b1929naoshima-pumpkin-104982,104982,clear,no 'edition of N' in the note,
forum-104989-er,8,Roy Lichtenstein,,Offset lithograph printed in colours,True,True,1700.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/172-roy-lichtenstein-1923-1997-after-nudes-with-beach-ball-104989,104989,clear,no 'edition of N' in the note,
forum-104993-er,2,Rembrandt van Rijn,Peasant Family on the Tramp,Etching,False,True,1500.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/24-rembrandt-van-rijn-1606-1669peasant-family-on-the-tramp-104993,104993,clear,no 'edition of N' in the note,
forum-104994-er,8,David Hockney,,Lithograph printed in colours,False,True,1100.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/163-david-hockney-b1937olympische-spiele-m252nchen-1972-baggott-104994,104994,clear,no 'edition of N' in the note,
forum-105004-er,8,Mr Doodle (Sam Cox),,Acrylic on Artpakk,True,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/320-mr-doodle-b-1994untitled-105004,105004,clear,no 'edition of N' in the note,
forum-105015-er,4,David Hockney,,Offset lithograph in colours,True,True,3800.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/162-david-hockney-b1937david-hockney-at-andre-emmerich-baggot-23-105015,105015,clear,no 'edition of N' in the note,
forum-105018-er,2,Bernard Minne,,Lithograph printed in colours,False,True,3800.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/142-bernard-minne-1918-1999monaco-grand-prix-19-mai-1957-105018,105018,clear,no 'edition of N' in the note,
forum-105019-er,8,Géo Ham,,Lithograph printed in colours,False,True,11000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/140-g233o-ham-georges-hamel-1900-1972monaco-grand-prix-23-avril-105019,105019,clear,no 'edition of N' in the note,
forum-105026-er,8,William English,Vivienne Westwood at SEX,C-type print,True,True,800.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/217-william-english-20th-century-vivienne-westwood-at-sex-105026,105026,clear,no 'edition of N' in the note,
forum-105027-er,2,David Hockney,,Xerox print in colours,False,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/164-david-hockney-b1937try-and-have-a-merry-christmas-this-105027,105027,clear,no 'edition of N' in the note,
forum-105038-er,4,Rembrandt van Rijn,A Beggar Woman Leaning on a Stick,Etching,False,True,1300.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/21-rembrandt-van-rijn-1606-1669a-beggar-woman-leaning-on-a-105038,105038,clear,no 'edition of N' in the note,
forum-105042-er,8,Rembrandt van Rijn,Christ and the Woman of Samaria: An arched Print,Etching,False,True,2600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/26-rembrandt-van-rijn-1606-1669christ-and-the-woman-of-samaria-105042,105042,clear,no 'edition of N' in the note,
forum-105043-er,4,Guy Georget,,Lithograph printed in colours,False,True,550.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/144-guy-georget-1911-1992air-france-french-riviera-105043,105043,clear,no 'edition of N' in the note,
forum-105046-er,4,Jerzy Alchimowicz,International Transport Exhibition of 1930,Offset lithograph printed in colours,False,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/143-jerzy-alchimowicz-1907-1945international-transport-105046,105046,clear,no 'edition of N' in the note,
forum-105054-er,8,Rembrandt van Rijn,Christ and the Woman of Samaria among Ruins,Etching,False,True,5500.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/11-rembrandt-van-rijn-1606-1669christ-and-the-woman-of-samaria-105054,105054,clear,no 'edition of N' in the note,
forum-105055-er,4,René Gaillard,,Lithograph printed in colours,False,True,3500.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/149-ren233-gaillardcoca239ne-la-splendide-pi232ce-en-5-tableaux-105055,105055,clear,no 'edition of N' in the note,
forum-105060-er,4,Rembrandt van Rijn,A Peasant with Hands Behind his Back,Etching,False,True,4200.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/10-rembrandt-van-rijn-1606-1669a-peasant-with-hands-behind-his-105060,105060,clear,no 'edition of N' in the note,
forum-105070-er,4,Jean-Michel Basquiat,Supercomb,Offset lithograph printed in colours,False,True,2000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/189-jean-michel-basquiat-1960-1988-aftersupercomb-105070,105070,clear,no 'edition of N' in the note,
forum-105074-er,4,Edward Bawden,,Pen and ink,False,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/30-edward-bawden-1903-1989study-for-exodus-chapter-28-for-the-105074,105074,clear,no 'edition of N' in the note,
forum-105077-er,8,Stik,Holding Hands (Yellow),Offset lithograph printed in colours,True,True,950.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/326-stik-b1979-holding-hands-yellow-105077,105077,clear,no 'edition of N' in the note,
forum-105079-er,2,Géo Ham,"Monaco Grand Prix, 16 Mai 1948",Lithograph printed in colours,False,True,4000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/141-g233o-ham-georges-hamel-1900-1972monaco-grand-prix-16-mai-105079,105079,clear,no 'edition of N' in the note,
forum-105081-er,8,Rembrandt van Rijn,"Portrait of Jan Uytenbogaert, preacher of the Remonstrants",Etching and burin,False,True,1600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/15-rembrandt-van-rijn-1606-1669-portrait-of-jan-uytenbogaert-105081,105081,clear,no 'edition of N' in the note,
forum-105082-er,8,Rembrandt van Rijn,,Etching with touches of drypoint,False,True,5500.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/16-rembrandt-van-rijn-1606-1669christ-driving-the-money-105082,105082,clear,no 'edition of N' in the note,
forum-105087-er,4,Henri Matisse,,Lithograph printed in colours,True,True,2000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/94-henri-matisse-1869-1954-after-vierge-224-l39enfant-for-105087,105087,clear,no 'edition of N' in the note,a proof before text
forum-105089-er,2,Stik,Standing Figure (Teal),Offset lithograph printed in colours,True,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/324-stik-b1979standing-figure-teal-105089,105089,clear,no 'edition of N' in the note,
forum-105106-er,4,Pablo Picasso,,Drypoint,True,True,4800.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/122-pablo-picasso-1881-1973-portrait-of-paul-201luard-from-105106,105106,clear,no 'edition of N' in the note,an artist's proof from the edition of six with wide margins
forum-105109-er,4,Lucien Coutaud,Ma Civilisation,The deluxe book,True,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/48-lucien-coutaud-1904-1977ma-civilisationnbsp-105109,105109,clear,no 'edition of N' in the note,numbered from the deluxe edition de tête of eleven
forum-105142-er,8,Rembrandt van Rijn,"Clement de Jonghe, Printseller",Etching and drypoint,False,True,4800.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/23-rembrandt-van-rijn-1606-1669clement-de-jonghe-printseller-105142,105142,clear,no 'edition of N' in the note,
forum-105145-er,4,Rembrandt van Rijn,The Persian,Etching,False,True,1500.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/8-rembrandt-van-rijn-1606-1669-the-persian-105145,105145,clear,no 'edition of N' in the note,
forum-105146-er,8,Rembrandt van Rijn,The Card Player,Etching,False,True,1600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/19-rembrandt-van-rijn-1606-1669the-card-player-105146,105146,clear,no 'edition of N' in the note,
forum-105147-er,4,Rembrandt van Rijn,The Adoration of the Shepherds: A Night Piece,Etching,False,True,2400.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/26-rembrandt-van-rijn-1606-1669the-adoration-of-the-shepherds-105147,105147,clear,no 'edition of N' in the note,
forum-105148-er,4,Rembrandt van Rijn,The Pancake Woman,Etching,False,True,1600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/16-rembrandt-van-rijn-1606-1669-the-pancake-womannbsp-105148,105148,clear,no 'edition of N' in the note,
forum-112872-er,4,Yayoi Kusama,,Two painted cast resin multiples,False,True,650.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/23-yayoi-kusama-b1929pumpkins-112872,112872,clear,no 'edition of N' in the note,
forum-112873-er,2,David Shrigley,,Three offset lithographs printed in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/150-david-shrigley-b1968tornado-of-nonsense-it-was-worthwhile-112873,112873,clear,no 'edition of N' in the note,
forum-112876-er,8,Tracey Emin,I Am the Last of My Kind (Royal Academy Exhibition poster),Offset lithograph printed in colours,False,True,150.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/81-tracey-emin-b1963-afteri-am-the-last-of-my-kind-royal-112876,112876,clear,no 'edition of N' in the note,
forum-112890-er,4,James McQueen,You Snooze You Lose,Mixed-media print in colours with hand-embellishment,True,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/160-james-mcqueen-b1977you-snooze-you-lose-112890,112890,clear,no 'edition of N' in the note,an artist's proof numbered from the edition of XXX
forum-112893-er,2,Ai Weiwei,The Liberty of Doubt Exhibition Poster,Offset lithograph printed in colours,True,True,70.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/40-ai-weiwei-b1957-the-liberty-of-doubt-exhibition-posternbsp-112893,112893,clear,no 'edition of N' in the note,
forum-112894-er,4,Jonas Wood,"Jonas Wood Gagosian, New York Exhibition Poster",Offset lithograph printed in colours,False,True,220.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/128-jonas-wood-b-1977jonas-wood-gagosian-new-york-exhibition-112894,112894,clear,no 'edition of N' in the note,
forum-112895-er,4,David Hockney,,Offset lithograph printed in colours,False,True,20.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/70-david-hockney-b1937-aftercelia-in-a-black-dress-with-white-112895,112895,clear,no 'edition of N' in the note,
forum-112906-er,8,Harland Miller,,Offset lithograph printed in colours,True,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/145-harland-miller-b1964oui-112906,112906,clear,no 'edition of N' in the note,
forum-112907-er,2,David Hockney,,Offset lithograph printed in colours,False,True,40.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/69-david-hockney-b1937-aftertwo-vases-in-the-louvre-mus233e-112907,112907,clear,no 'edition of N' in the note,
forum-112909-er,8,Robert Indiana,New York City Centre Anniversary,Screenprint in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/16-robert-indiana-1928-2018new-york-city-centre-anniversarynbsp-112909,112909,clear,no 'edition of N' in the note,
forum-112911-er,8,Julian Opie,,Laser-cut acrylic multiple with base,False,True,450.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/135-julian-opie-b1958-statuette-handbag-112911,112911,clear,no 'edition of N' in the note,
forum-112914-er,8,Nicolas Party,Polychrome,Offset lithograph printed in colours,False,True,320.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/19-nicolas-party-b1980-after-polychrome-112914,112914,clear,no 'edition of N' in the note,
forum-112917-er,8,Esther Mahlangu,,Digital print on polyester handkerchief,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/86-esther-mahlangu-b1935untitled-112917,112917,clear,no 'edition of N' in the note,
forum-112919-er,8,Jonas Wood,,Offset lithograph printed in colours,False,True,420.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/126-jonas-wood-b1977large-shelf-still-lifenbsp-112919,112919,clear,no 'edition of N' in the note,
forum-112925-er,4,Pinar Yolocan,,Two C-type prints in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/130-pinar-yolocan-b1981untitled-112925,112925,clear,no 'edition of N' in the note,
forum-112926-er,2,Connor Brothers,Call Me Anything But Ordinary,Hand-painted vintage paperback with screenprint additions,True,True,1000.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/141-the-connor-brothers-b1968call-me-anything-but-ordinary-112926,112926,confirm,note: numbered from the edition of 2 on a label affixed to the reverse,numbered from the edition of 2 on a label affixed to the reverse
forum-112927-er,2,Connor Brothers,"Maybe Its Not About A Happy Ending, Maybe It's About The Story",Hand-painted vintage paperback with screenprint additions,True,True,1000.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/142-the-connor-brothers-b1968maybe-its-not-about-a-happy-ending-112927,112927,confirm,note: numbered from the edition of 2 on a label affixed to the reverse,numbered from the edition of 2 on a label affixed to the reverse
forum-112929-er,8,David Hockney,,Offset lithograph,False,True,450.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/67-david-hockney-b1937little-boodge-112929,112929,clear,no 'edition of N' in the note,
forum-112930-er,4,David Hockney,Dog 43,Offset lithograph printed in colours,False,True,170.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/68-david-hockney-b1937-after-dog-43-112930,112930,clear,no 'edition of N' in the note,
forum-112942-er,4,Jean-Michel Basquiat,Supercomb 1988,Offset lithograph printed in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/6-jean-michel-basquiat-1960-1988-aftersupercomb-1988-112942,112942,clear,no 'edition of N' in the note,
forum-112943-er,4,Andy Warhol & Keith Haring,,Screenprint in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/7-andy-warhol-1928-1987-amp-keith-haring-1958-199020th-112943,112943,clear,no 'edition of N' in the note,
forum-112951-er,8,Jasper Johns,False Start I,Offset lithograph printed in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/49-jasper-johns-b-1930-afterfalse-start-i-112951,112951,clear,no 'edition of N' in the note,
forum-112952-er,8,Jasper Johns,Flag I,Offset lithograph printed in black,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/50-jasper-johns-b-1930-afterflag-i-112952,112952,clear,no 'edition of N' in the note,
forum-112953-er,8,Haroshi,Pushing the Daisies Despite the Odds,Pigment print in colours,True,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/39-haroshi-b1978pushing-the-daisies-despite-the-odds-112953,112953,clear,no 'edition of N' in the note,
forum-112955-er,8,Hiroshi Sugimoto,,Offset lithograph printed in colours,False,True,200.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/34-hiroshi-sugimoto-after-b1948opticks-020-112955,112955,clear,no 'edition of N' in the note,
forum-112958-er,4,Max Bill,Olympische Spiele München,Offset lithograph printed in colours,False,True,260.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/76-max-bill-1908-1994-olympische-spiele-m252nchen-112958,112958,clear,no 'edition of N' in the note,
forum-112959-er,2,Grayson Perry,Alan Measles Balloon,Screenprint on silver Mylar balloon multiple,False,True,200.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/133-grayson-perry-b1960-alan-measles-balloon-112959,112959,clear,no 'edition of N' in the note,
forum-112962-er,8,Hiroshi Sugimoto,,Offset lithograph printed in colours,False,True,320.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/35-hiroshi-sugimoto-after-b1948opticks-036-112962,112962,clear,no 'edition of N' in the note,
forum-112971-er,4,Julian Opie,,3D laser cut card print in colours,False,True,400.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/136-julian-opie-b1958-beach-head-8-112971,112971,clear,no 'edition of N' in the note,
forum-112973-er,2,Bridget Riley,Rose Rose,Offset lithograph in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/78-bridget-riley-b1931rose-rose-112973,112973,clear,no 'edition of N' in the note,
forum-112974-er,8,David Hockney,,Lithograph printed in colours,False,True,800.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/75-david-hockney-b1937olympische-spiele-m252nchen-1972-baggott-112974,112974,clear,no 'edition of N' in the note,
forum-112990-er,8,Damien Hirst,,Offset lithograph printed in colours,True,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/56-damien-hirst-b1965where-the-land-meets-the-sea-posternbsp-112990,112990,clear,no 'edition of N' in the note,
forum-112992-er,4,Tom Wesselmann,Olympische Spiele München 1972 Poster,Offset lithograph printed in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/77-tom-wesselmann-1931-2004olympische-spiele-m252nchen-1972-112992,112992,clear,no 'edition of N' in the note,
forum-112994-er,2,Gerhard Richter,,Offset lithograph in colours,False,True,500.0,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/111-gerhard-richter-b1932-afterabstraktes-bild-1992-112994,112994,clear,no 'edition of N' in the note,
forum-113000-er,8,Julian Opie,,Screenprint in colours,False,False,,2023-09-06,https://www.forumauctions.co.uk/bidding/2285-autumn-selection-modern-contemporary-612/137-julian-opie-b1958woman-taking-off-man39s-shirt-cristea-244-113000,113000,clear,no 'edition of N' in the note,
