action,node,targets,workId,work,sids,urls,note
repoint,AMENDMENT: Please note this print is numbered 3/20 and not 7/20 as described,Kim Lim||existing,roseberys-a0305-lot225,The following lots 225-235 are from a private collection,roseberys-a0305-lot225-record,https://www.roseberys.co.uk/bidding/A0305-modern-contemporary-prints-212/225-amendment-please-note-this-print-is-numbered-320-and-not-438281,
repoint,AMENDMENT: Please note: this limited edition of 125 unique variations of a single image is individually hand painted by artist in his Brighton studio.,David Shrigley||existing,roseberys-a0427-lot354,Shits,roseberys-a0427-lot354-record,https://www.roseberys.co.uk/bidding/A0427-prints-multiples-312/354-amendment-please-note-this-limited-edition-of-125-unique-478806,
repoint,AMENDMENT: This is a black and white photographic print,Alberto Diaz Gutierrez Korda||existing,roseberys-a0445-lot390,Che Guevara and Fidel Castro Playing Golf,roseberys-a0445-lot390-record,https://www.roseberys.co.uk/bidding/A0445-prints-multiples-328/390-amendment-this-is-a-black-and-white-photographic-print-484542,
repoint,AMENDMENT: This is an unique work,Susan Hiller||existing,roseberys-a0445-lot312,"The Storm (Addenda 3 to ""Dedicated to the Unknown Artists"")",roseberys-a0445-lot312-record,https://www.roseberys.co.uk/bidding/A0445-prints-multiples-328/312-amendment-this-is-an-unique-work-the-title-should-read-484452,
repoint,AMENDMENT: This work is in brown colour way,KAWS||existing,roseberys-a0469-lot303,Small Lie (Grey),roseberys-a0469-lot303-record,https://www.roseberys.co.uk/bidding/A0469-prints-multiples-352/303-amendment-this-work-is-in-the-brown-colour-way-not-grey-as-493876,
repoint,AMENDMENT: measurement should read: sheet 69.5 x 69.5cm,Nick Smith||existing,roseberys-a0395-lot351,Afraid of a Lady,roseberys-a0395-lot351-record,https://www.roseberys.co.uk/bidding/A0395-prints-multiples-285/351-amendment-the-measurement-should-read-sheet-695-x-695cmnick-467993,
repoint,AMENDMENT: signature is in plate,John Piper||existing,roseberys-cw-AMENDMENT:_signature_is_in_plate-Levinson-191-woodman_s_cottage_charente_levinson_191,"Woodman's Cottage, Charente [Levinson 191]",roseberys-a0395-lot41-record,https://www.roseberys.co.uk/bidding/A0395-prints-multiples-285/41-amendment-the-signature-is-in-plate-not-in-penciljohn-piper-468059,
repoint,AMENDMENT: this work is a lithograph,Prunella Clough||existing,roseberys-a0469-lot16,Gresham Compact,roseberys-a0469-lot16-record,https://www.roseberys.co.uk/bidding/A0469-prints-multiples-352/16-amendment-this-work-is-a-lithograph-not-an-etching-as-493933,
repoint,AMENDMENT: titled of this work is Untitled (Capitol Detail).,Robert Longo||existing,roseberys-a0467-lot308,Untitled (Saturn),roseberys-a0467-lot308-record,https://www.roseberys.co.uk/bidding/A0467-prints-multiples-350/308-amendment-the-titled-of-this-work-is-untitled-capitol-492884,
repoint,AMENDMENT: work is unframed,Yayoi Kusama||existing,roseberys-cw-AMENDMENT:_work_is_unframed-Kusama-258-pumpkin_my_kusama_258,Pumpkin MY [Kusama 258],roseberys-a0395-lot364-record,https://www.roseberys.co.uk/bidding/A0395-prints-multiples-285/364-amendment-the-work-is-unframedyayoi-kusamajapanese-b1929-468024,
repoint,Amendment - please note this lot has no edition number,Robert MacBryde||existing,roseberys-cw-Amendment_-_please_note_this_lot_has_no_edition_number-Still_Life-II-still_life_on_pedestal_table_still_life_ii,Still Life on Pedestal Table (Still Life II),roseberys-a0571-lot292-record,https://www.roseberys.co.uk/bidding/A0571-prints-multiples-450/292-amendment-please-note-this-lot-has-no-edition-number-robert-533293,
repoint,Amendment - please note this work is numbered 45/250 and signed and dated 74 on reverse in pencil,Andy Warhol||existing,roseberys-a0571-lot166,Flowers (hand coloured) (F and S.110-119) 1974,roseberys-a0571-lot166-record,https://www.roseberys.co.uk/bidding/A0571-prints-multiples-450/166-amendment-please-note-this-work-is-numbered-45250-and-533580,
repoint,Amendment - this lot is unframed,Max Ernst||existing,roseberys-a0571-lot55,Zwei Vogel,roseberys-a0550-lot81-record roseberys-a0571-lot55-record,https://www.roseberys.co.uk/bidding/A0550-prints-multiples-429/81-amendment-this-lot-is-unframed-max-ernst-german-1891-1976-524007 https://www.roseberys.co.uk/bidding/A0571-prints-multiples-450/55-amendment-this-lot-is-unframed-max-ernst-german-1891-1976-533107,
repoint,Amendment - this lot was not purchased from a New York gallery but acquired from artist through charity Fashion Acts,Linda McCartney||existing,roseberys-a0571-lot228,"Boy, shape 1, sun print",roseberys-a0550-lot509-record roseberys-a0571-lot228-record,https://www.roseberys.co.uk/bidding/A0550-prints-multiples-429/509-amendment-this-lot-was-not-purchased-from-a-new-york-524469 https://www.roseberys.co.uk/bidding/A0571-prints-multiples-450/228-amendment-this-lot-was-not-purchased-from-a-new-york-533243,
repoint,Amendment: Please note following provenance: Waddington Galleries & Private collection of Dr John & Mary Esther O'Driscoll,William Turnbull||existing,roseberys-a0612-lot132,Yellow Leaf Form,roseberys-a0612-lot132-record,https://www.roseberys.co.uk/bidding/A0612-prints-multiples-488/132-amendment-please-note-the-following-provenance-the-556990,
repoint,Amendment: Please note following provenance: Waddington Galleries & Private collection of Dr John & Mary Esther O'Driscoll,William Turnbull||existing,roseberys-a0612-lot131,Black Leaf Form,roseberys-a0612-lot131-record,https://www.roseberys.co.uk/bidding/A0612-prints-multiples-488/131-amendment-please-note-the-following-provenance-the-556991,
repoint,Andy Warhol (American 1928-1987) &,Andy Warhol||existing; Richard Bernstein||existing,roseberys-a0702-lot242,"Interview Magazine, Catherine Oxenberg",roseberys-a0702-lot242-record,https://www.roseberys.co.uk/bidding/A0702-prints-multiples-581/242-andy-warhol-american-1928-1987-richard-bernstein-american-586824,
repoint,Andy Warhol (American 1928-1987) &,Andy Warhol||existing; LeRoy Neiman||existing,roseberys-a0731-lot166,An exhibition poster for Los Angeles Institute of Contemporary Art,roseberys-a0724-lot211-record roseberys-a0731-lot166-record,https://www.roseberys.co.uk/bidding/A0724-prints-multiples-604/211-andy-warhol-american-1928-1987-leroy-neiman-american-1921-596274 https://www.roseberys.co.uk/bidding/A0731-prints-multiples-611/166-andy-warhol-american-1928-1987-leroy-neiman-american-1921-599305,
repoint,Andy Warhol (American 1928-1987) &,Andy Warhol||existing; Cecil Beaton||existing,roseberys-a0710-lot181,Marilyn Monroe,roseberys-a0702-lot241-record roseberys-a0710-lot181-record,https://www.roseberys.co.uk/bidding/A0702-prints-multiples-581/241-andy-warhol-american-1928-1987-cecil-beaton-british-1904-586825 https://www.roseberys.co.uk/bidding/A0710-prints-multiples-590/181-andy-warhol-american-1928-1987-cecil-beaton-british-1904-590180,
repoint,Andy Warhol (American 1928-1987) &,Andy Warhol||existing; Richard Bernstein||existing,roseberys-a0673-lot422,"Dana Gillespie, friend of David Bowie, proposed portrait for her album cover 'Ain't gonna play no second fiddle'",roseberys-a0673-lot422-record,https://www.roseberys.co.uk/bidding/A0673-prints-multiples-550/422-andy-warhol-american-1928-1987-richard-bernstein-american-577740,
repoint,Anon.,Anon||existing,roseberys-a0261-lot293,Untitled (A0261 lot 293),roseberys-a0261-lot293-record,https://www.roseberys.co.uk/bidding/A0261-modern-contemporary-prints-176/293-anon-british-20th-century-portrait-of-david-hockney-gelatin-424105,
repoint,Anon.,Anon||existing,roseberys-a0261-lot292,Untitled (A0261 lot 292),roseberys-a0261-lot292-record,https://www.roseberys.co.uk/bidding/A0261-modern-contemporary-prints-176/292-anon-press-association-midlate-20th-century-dali-presents-a-424108,
repoint,Anon.,Anon||existing,roseberys-a0261-lot284,Untitled (A0261 lot 284),roseberys-a0261-lot284-record,https://www.roseberys.co.uk/bidding/A0261-modern-contemporary-prints-176/284-anon-press-association-c-1960-zao-wou-ki-with-his-wife-and-424027,
repoint,"Anonimo. Navi in tempesta, [probabilmente XVIII secolo].",Anon||existing,forum-36666,"Acquaforte su carta vergellata applicata a carta di supporto, rifilata all'immagine. Dimensioni del foglio: 95 x 142 mm.",forum-36666-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/77-anonimo-navi-in-tempesta-probabilmente-xviii-secolonbsp-36666,
repoint,"Anonimo. Nuovo Lunario per l'anno 1825. Torino, Stamperia Luigi Soffietti, [1825].",Anon||existing,forum-36732,"Foglio sciolto (mm 495 x 418). Testo stampato in rosso e nero e 12 vignette xilografiche, una per ogni mese. Esemplare in barbe. Fioriture e tracce di pieghe.",forum-36732-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/83-anonimo-nuovo-lunario-per-l39anno-1825-torino-stamperia-36732,
repoint,"Anton Boys, Circle of.",Anton Boys|circle_of|new,forum-85260,Untitled (1088 lot 21),forum-85260-record,https://www.forumauctions.co.uk/bidding/1088-prints-and-editions-425/21-anton-boys-or-antoni-waiss-south-netherlandish-court-85260,
repoint,Ausstellung von Künstlergruppe Brücke.,Various Artists||existing,swann-22444a4ad3,Untitled (swann-22444a4ad3),swann-22444a4ad3-record,https://www.swanngalleries.com/auction-lot/ausstellung-von-kuenstlergruppe-bruecke_22444A4AD3,
repoint,Basil Bunting (British 1900-1985) &,Basil Bunting||new; Robert Perkins||new,roseberys-a0743-lot208,Perche no Spero,roseberys-a0743-lot208-record,https://www.roseberys.co.uk/bidding/A0743-prints-multiples-623/208-basil-bunting-british-1900-1985-robert-perkins-american-605764,
repoint,"Benjamin West, and others.",Various Artists||existing,forum-134845,Collection of ten early examples of English pen lithography,forum-134845-record,https://www.forumauctions.co.uk/bidding/1147-editions-1500-2024-887/282-benjamin-west-1738-1820-and-others-collection-of-ten-early-134845,
repoint,Bicentennial Pageant of George Washington.,Various Artists||existing,swann-12e45a99bf,Untitled (swann-12e45a99bf),swann-12e45a99bf-record,https://www.swanngalleries.com/auction-lot/bicentennial-pageant-of-george-washington_12E45A99BF,
repoint,Claude Monet . & George-William Thornley,Claude Monet|after|existing,forum-85188,"Fillette dans l'allée d'un Parc, Portant des Bouquets",forum-85188-record,https://www.forumauctions.co.uk/bidding/1088-prints-and-editions-425/32-claude-monet-1840-1926-amp-george-william-thornley-1875-85188,
repoint,Claude Monet . & George-William Thornley,Claude Monet|after|existing,forum-63768,Vue depuis le Cap d'Antibes (Lugt 225d),forum-63768-record,https://www.forumauctions.co.uk/bidding/1052-editions-works-on-paper-255/83-claude-monet-1840-1926-amp-george-william-thornley-1875-63768,
repoint,Claude Monet . & George-William Thornley,Claude Monet|after|existing,forum-96403,"La Douane, Effet de l'apres-midi, from Vingt Lithographies",forum-96403-record,https://www.forumauctions.co.uk/bidding/1105-prints-and-editions-1500-2022-506/68-claude-monet-1840-1926-after-amp-george-william-thornley-96403,
repoint,Claude Monet . & George-William Thornley,Claude Monet|after|existing,forum-96402,"Bateaux de Pêche, Étretat, from Vingt Lithographies",forum-96402-record,https://www.forumauctions.co.uk/bidding/1105-prints-and-editions-1500-2022-506/67-claude-monet-1840-1926-after-amp-george-william-thornley-96402,
repoint,"Da Jan van der Straet Hyacum et Iues venera, sesta tavola da: Nova Reperta, 1580, bulino. Ottima impressione dalla profonda inchiostratura su carta vergellata con filigrana ""due gigli entro scudo coronato"". Dimensioni della lastra: 200 x 270 mm, foglio: 267x360. In cornice.",Jan Van Der Straet|after|existing,forum-36633,"Pubblicata da Philips Galle, [1580-1606 ca.].",forum-36633-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/72-da-jan-van-der-straet-1523-1605-hyacum-et-iues-venera-sesta-36633,
repoint,"Da Rembrandt van Rijn Ebrei in Sinagoga, acquaforte, su carta vergellata priva di filigrana ma riconducibile all'inizio del XVIII secolo, dimensioni della lastra: 73 x 131 mm, foglio: 84x 140 mm.",Rembrandt van Rijn|after|existing,forum-36644,§,forum-36644-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/76-da-rembrandt-van-rijn-1606-1669-ebrei-in-sinagoga-36644,
repoint,"David Shrigley British b.1968- ""It's OK"" 2017; digital pigment print in colours",David Shrigley||existing,roseberys-a0359-lot75,Untitled (A0359 lot 75),roseberys-a0359-lot75-record,https://www.roseberys.co.uk/bidding/A0359-online-modern-contemporary-prints-258/75-david-shrigley-british-b1968-it39s-ok-2017-digital-pigment-458690,
