impressionId,editionRunId,stored,newSize,house,sold,text
bonhams-15673-113,bonhams-15673-113-er,,300,Bonhams,False,"Lithograph, 1957, printed in colours, on Arches, the full sheet, numbered in pencil 142/300, published by Maeght, with their blindstamp lower left corner; 560 x 760mm (22 x 30in)(SH) (unframed)"
bonhams-15831-101,bonhams-15831-101-er,,180,Bonhams,True,"signed in felt tip pen, numbered in pencil '129/180', on Arches, the full sheet, colour lithograph by Diomaiuto, printed by Mourlot, Paris. 85 x 63.5cm (33 7/16 x 25in)."
bonhams-15871-1199,bonhams-15871-1199-er,,300,Bonhams,True,"Color lithograph printed on wove appliqué on BFK Rives support, with the artist's monogram and date in the stone, printed later possibly 1950s, numbered in pencil 286/300, with the blindstamp of the publisher, Maeght, Paris, with full margins, in good condition aside from light staining, 7in diagona"
bonhams-16084-70,bonhams-16084-70-er,,50,Bonhams,True,"Lithograph printed on cream wove paper watermarked 'Holland', signed in pencil and numbered 'No. 16/50 III', with margins, in good condition aside from light staining, specks of rust staining on verso (some spots visible on recto including spots above the head of the gentleman with the plumed hat an"
bonhams-16573-3,bonhams-16573-3-er,,50,Bonhams,True,"Signed in pencil, limited edition coloured etching, no. 37/50, 24.5 x 32.5cm."
bonhams-16573-9,bonhams-16573-9-er,,10,Bonhams,False,"Signed in pencil, artist's proof no. 2/10, screenprint, 51 x 61cm."
bonhams-16844-139,bonhams-16844-139-er,,47,Bonhams,True,"Lithograph, 1956, on cream wove, signed and numbered No.15/47 II in pencil, from the second edition (of three, from a total number of 145 printings), 320 x 317mm (12 5/8 x 12 1/4in)(I)"
bonhams-16844-203,bonhams-16844-203-er,,225,Bonhams,False,"Woodcut, in colours, 1999, numbered in pencil 179/225 and signed on behalf of the Frost estate verso, 780 x 455mm (30 3/4 x 17 3/4in)(SH) (unframed)"
bonhams-16913-54,bonhams-16913-54-er,,60,Bonhams,True,"Linocut, 1934, a superb, vibrant impression, printed from four blocks, in Chinese orange, spectrum red, viridian and Chinese blue, on buff oriental laid tissue, signed, titled and numbered 'No.1/60' in pencil. Further inscribed in the lower left corner 'Exh' and along the left sheet edge 'The Race';"
bonhams-16939-7128,bonhams-16939-7128-er,,125,Bonhams,True,"Lithograph in black and red on wove paper, signed in ink and dated, numbered in pencil 103/125, with the blindstamp of the publisher/printer, Gemini G.E.L., Los Angeles, with margins, framed (not examined out of frame). sight 28 1/4 x 20 3/8in"
bonhams-17071-7103,bonhams-17071-7103-er,,150,Bonhams,True,"Lithograph in colors on Arches paper, signed in the plate, with artist's inkstamp, numbered in pencil 25/150, with full margins, framed. sheet 19 1/2 x 25 3/4in"
bonhams-17079-11,bonhams-17079-11-er,,250,Bonhams,False,"From l'art d'aimer d'Ovide, signed in pencil, no.161/250, colour lithograph, 67 x 50cm."
bonhams-17093-113,bonhams-17093-113-er,,10,Bonhams,True,"Signed in pencil, artist's proof no. 2/10, screenprint, 51 x 61cm."
bonhams-17097-168,bonhams-17097-168-er,,198,Bonhams,True,"Linocut in blue on wove paper, signed in blue pencil and numbered in pencil 93/198, published/printed by Arnéra, Vallauris, with full margins, in good condition aside from very faint specks of foxing in margins, a short tear on the right sheet edge, creases in corners, other handling creases, skinni"
bonhams-17097-41,bonhams-17097-41-er,,200,Bonhams,False,"Lithograph on Arches paper, numbered in pencil 192/200, published by Guilde de la Gravure, Geneva, printed by Mourlot, Paris, with full margins, in good condition aside from light-, mat- and backboard staining, specks of foxing, very slight buckling along left and right sheet edges, masking tape alo"
bonhams-17097-90,bonhams-17097-90-er,,80,Bonhams,False,"Lithograph on wove paper with partial watermark, signed in pencil and annotated 'No. 65/80 V', with margins, in good condition aside from very pale mat staining, skinning and paper tape remains along all edges, verso, a spot of tape staining, verso, framed. 11 x 13in sheet 16 1/2 x 18 5/8in"
bonhams-17105-7137,bonhams-17105-7137-er,,300,Bonhams,True,"Lithograph in colors on wove paper, numbered in pencil 226/300, with the blindstamp of the publisher/printer, Maeght, Paris, with full margins, framed. 17 x 23 1/2in sheet 21 1/2 x 29 1/2in"
bonhams-17511-7080,bonhams-17511-7080-er,,200,Bonhams,True,"Lithograph on Arches paper, numbered in pencil 192/200, published by Guilde de la Gravure, Geneva, printed by Mourlot, Paris, with full margins, framed. 19 3/4 x 13in sheet 22 1/4 x 15in"
bonhams-17526-67,bonhams-17526-67-er,,80,Bonhams,True,"Lithograph on wove paper with partial watermark, signed in pencil and annotated 'No. 65/80 V', with margins, in good condition aside from very pale mat staining, skinning and paper tape remains along all edges, verso, a spot of tape staining, verso, framed. 11 x 13in sheet 16 1/2 x 18 5/8in"
bonhams-17833-169,bonhams-17833-169-er,,99,Bonhams,True,"Aquatint, printed in colours, 1987, on wove, signed and numbered in pencil 44/99, printed and published by Poligrafa, Barcelona, 651 x 487mm (25 5/8 x 19 1/4in)(PL)"
bonhams-18174-3,bonhams-18174-3-er,,10,Bonhams,True,"signed, inscribed and dated 1965 no.6/10 aquatint etching 17.5 x 50.5cm."
bonhams-18175-19,bonhams-18175-19-er,,75,Bonhams,True,"signed in pencil, no. 72/75 lithograph 47 x 61.5cm."
bonhams-18175-6,bonhams-18175-6-er,,75,Bonhams,True,"signed in pencil, no. 72/75 lithograph 65.5 x 44.5cm."
bonhams-18177-15,bonhams-18177-15-er,,250,Bonhams,True,"signed in pencil, no. 68/250 etching 35.5 x 45cm."
bonhams-18177-18,bonhams-18177-18-er,,650,Bonhams,False,signed in pencil in the margin no. 238/650 colour lithograph 44 x 47.5cm
bonhams-18253-7123,bonhams-18253-7123-er,,50,Bonhams,True,"Etching on Van Gleder Zonen paper, a posthumous impression from the second (final) state, numbered in pencil 43/50, with margins, framed. 6 1/4 x 4 3/4in sheet 14 3/8 x 10 3/4in"
bonhams-18262-4144,bonhams-18262-4144-er,,120,Bonhams,True,"Two color lithographs on wove paper, both signed in pen, numbered in pencil 106/120 and 11/120, respectively, each with full margins, each in good condition aside from slight mat staining, not framed. (2) 8 x 9 1/2in; 10 x 8 1/2in sheet 15 7/8 x 15 1/4in; 18 1/2 x 15 1/4in"
bonhams-18271-212,bonhams-18271-212-er,,200,Bonhams,True,"Lithograph on wove paper, from the Floury edition 1927, numbered in pencil 128/200, published/printed by Henri Floury, Paris, with margins trimmed, in very good condition aside from mat- and backboard staining, minor discoloration in the margins, two 1/2in soft handling creases in upper right quadra"
bonhams-18395-76,bonhams-18395-76-er,,64,Bonhams,True,"Gelatin silver, signed and dated in pencil on the mount; signed, dated and annotated 'H S166' in pencil, dedication 'For Bull (Wynn Bullock) love, Brett, Manzanita, 1964', and titled '#83 Peeling Paint' in ink, exhibition labels 'S.F.M.A, Reg. No. 17/64/14,' and 'Museo de Arte Moderno, Mexico' with "
bonhams-18560-144,bonhams-18560-144-er,,50,Bonhams,True,"Drypoint, etching and aquatint on wove paper, stamped signature, numbered in pencil 46/50, published by Galerie Louise Leiris, Paris, with full margins, in good condition, framed. 8 3/4 x 12 5/8in sheet 14 3/4 x 18 1/2in"
bonhams-18560-363,bonhams-18560-363-er,,7,Bonhams,True,"Linocut in colors with mixed media on wove paper, signed in pen, titled, and dated, numbered in pencil 7/7 p/p, verso, the full sheet, in very good condition. sheet 50 x 37 1/2in"
bonhams-18560-71,bonhams-18560-71-er,,200,Bonhams,True,"Lithograph in colors on Arches paper, with artist's red ink stamp, numbered in pencil 51/200, with full margins, in good condition, framed. 18 3/4 x 26 3/4in sheet 21 7/8 x 29 1/2in"
bonhams-18560-78,bonhams-18560-78-er,,300,Bonhams,True,"Lithograph in colors on Rives paper, numbered in pencil 56/300, with margins, in good condition, framed. 11 5/8 x 19 3/4in sheet 14 1/2 x 20 1/2in"
bonhams-18560-86,bonhams-18560-86-er,,75,Bonhams,False,"Lithograph in colors on Arches paper, signed in ink (faded), numbered in pencil 37/75, published/printed by Galerie Louise Leiris/Mourlot, Paris, with full margins, in good condition, framed. 17 1/4 x 21 1/2in sheet 19 7/8 x 25 3/4in"
bonhams-18738-217,bonhams-18738-217-er,,30,Bonhams,True,"Etching, on watermarked Rives, plate 19 from ""Unite"", unsigned, numbered in pencil 3/30, 410 x 310mm (16 1/4 x 12 1/4in)(PL) (unframed)"
bonhams-18915-15,bonhams-18915-15-er,,45,Bonhams,True,"signed and inscribed in pencil, no. 38/45 etching 9.5 x 14cm."
bonhams-18915-24,bonhams-18915-24-er,,66,Bonhams,True,colour lithograph 57 x 77 cm. (22 x 30 1/4 in.) signed in pencil 'Frink' (lower right) and numbered in pencil '5/66' (lower left)
bonhams-19093-7159,bonhams-19093-7159-er,,300,Bonhams,True,"Lithograph in colors on Arches paper, unsigned, numbered in pencil 204/300, with the blindstamp of the publisher, Maeght, Paris, with full margins, in apparently good condition, framed (not examined out of frame). 18 1/2 x 26in sheet 22 x 30in"
bonhams-19093-7170,bonhams-19093-7170-er,,425,Bonhams,True,"Aquatint, drypoint and etching with roulette on wove paper, numbered in pencil 331/425, with wide margins, in good condition, framed. 10 1/2 x 14 1/4in sheet 13 3/8 x 17 1/2in"
bonhams-19155-3120,bonhams-19155-3120-er,,200,Bonhams,True,"Color lithograph on wove paper, not signed, numbered in pencil 102/200, with margins, in apparently good condition aside from sheet toned, framed (not examined out of frame). 14 3/4 x 8in"
bonhams-19159-7230,bonhams-19159-7230-er,3000,500,Bonhams,True,"Lithographic poster in colors on Arches paper, numbered in pencil 151/500 (aside from the edition of 3000 with text), published/printed by Henri Deschamps/Mourlot, Paris, with full margins, framed. 19 1/2 x 15 3/4in sheet 28 x 21 1/4in"
bonhams-19353-404,bonhams-19353-404-er,,250,Bonhams,True,"Screenprint in black on Arches Aquarelle (rough) paper, signed in pencil by the artist and signed in red felt pen by Mick Jagger (faded), numbered in pencil 192/250 (there were also 50 artist's proofs), published/printed by Seabird Editions, London/Alexander Heinrici, New York, with full margins, in"
bonhams-19353-96,bonhams-19353-96-er,,300,Bonhams,True,"Lithograph in colors on Arches paper, numbered in pencil 110/300, with full margins, in good condition. 11 7/8 x 19 7/8in sheet 19 1/2 x 20 3/8in"
bonhams-19437-5054,bonhams-19437-5054-er,,2000,Bonhams,True,"Color lithograph on wove paper, with printed signature, numbered in pencil 1222/2000, published by Leon Amiel, New York, 1985, in apparently very good condition aside from soft handling creases (not examined out of frame). 22 1/2 x 28in"
bonhams-19740-8128,bonhams-19740-8128-er,,200,Bonhams,True,"Two drypoints with aquatint on wove paper, each numbered in pencil 97/200 and 52/200, respectively, Summit signed, titled and dated, each with full margins, in good condition aside from mat staining, soft handling creases, surface soiling, each not framed. (2) 14 x 17 1/2in; 10 x 14 7/8in sheet 18 x"
bonhams-19831-2,bonhams-19831-2-er,,50,Bonhams,True,"lithograph in three colours, 1958, printed by Harley Brothers and published by Curt Velentin Gallery 1958 (with printer's blindstamp lower left), (Levinson 108),framed, signed and numbered in pencil 46/50 (in margin, lower left),478 x 648cm (188 3/16 x 255 1/8in)."
bonhams-19845-95,bonhams-19845-95-er,,50,Bonhams,True,"Screenprint in colours, on wove, signed and numbered in pencil 24/50 in both English and Arabic, 325 X 325mm (12 3/4 x 12 3/4in)(I)"
bonhams-19984-143,bonhams-19984-143-er,,50,Bonhams,True,"Lithograph on Arches paper, signed in red crayon and numbered in pencil 4/50, the full sheet, framed. sheet 25 5/8 x 20in"
bonhams-19984-48,bonhams-19984-48-er,10,180,Bonhams,True,"Lithograph in colors on wove paper, a possibly spurious signature, numbered in pencil 98/180 (there was also and edition of 10 in Roman numerals), published/printed by Mourlot, Paris, with margins. 10 x 7in sheet 11 7/8 x 8 1/2in"
bonhams-20004-7125,bonhams-20004-7125-er,,100,Bonhams,False,"Linocut on wove paper, numbered in pencil 62/100 (there were also 25 hors commerce copies), with the Estate blindstamp, a posthumous edition, published by Fequet et Baudier, Paris, with margins, framed (not examined out of frame). sight 12 1/4 x 9 1/2in"
bonhams-20031-7095,bonhams-20031-7095-er,,100,Bonhams,True,"Linocut on wove paper, numbered in pencil 62/100 (there were also 25 hors commerce copies), with the Estate blindstamp, a posthumous edition, published by Fequet et Baudier, Paris, with margins, framed (not examined out of frame). sight 12 1/4 x 9 1/2in"
bonhams-20032-1117,bonhams-20032-1117-er,250,100,Bonhams,True,"Linocuts in black on wove paper, a posthumous edition, 1981, each numbered in pencil 58/100 (aside from the 1944 edition of 250), with the blindstamp of the estate, published by Fequet et Baudier, Paris, with full margins, each in very good condition aside from faint mat staining, each framed (only "
bonhams-20032-1124,bonhams-20032-1124-er,,425,Bonhams,True,"Etching with aquatint on wove paper, a posthumous edition, 1966, numbered in pencil 122/425, with the printed plate number on the verso, published by Société d'Edition L'Etoile filante, Paris, in good condition aside from a few specks of foxing, mat- and backboard staining, framed. 13 1/4 x 9 3/8in "
bonhams-20046-4049,bonhams-20046-4049-er,,100,Bonhams,False,"Color lithograph on wove paper, numbered in pencil 2/100 and annotated in an unidentified hand 'litho by Derain', the full sheet, in good condition aside from mat staining, a few soft handling creases, two dents in center of image, colors attenuated, not framed. sheet 12 1/2 x 9 3/8in"
bonhams-20046-4054,bonhams-20046-4054-er,,500,Bonhams,True,"Color lithograph on wove paper, with printed signature and numbered in pencil 225/500, published by Au Vent d'Arles, Paris, with full margins, sheet toned, mat staining, some foxing, adhesive staining and white tape remains along upper sheet edge verso, a few soft handling creases, not framed. 15 1/"
bonhams-20059-277,bonhams-20059-277-er,,250,Bonhams,True,"Screenprint in colors on Arches Aquarelle (Rough) paper, signed in pencil by the artist and black felt-tip pen by Mick Jagger, numbered in pencil 207/250 (there were also 50 artist's proofs), with the copyright inkstamp of the publisher, Seabird Editions, London, verso, printed by Alexander Heinrici"
bonhams-20059-279,bonhams-20059-279-er,,500,Bonhams,True,"Offset lithograph in colors on wove paper, signed in brown felt-tip pen and numbered in pencil 488/500 (there were also 75 artist's proofs), published/printed by The New York Association for the Blind/Kordett Color Graphics and Rupert Jasen Smith, New York, the full sheet, framed. sheet 9 x 12in"
bonhams-20070-4146,bonhams-20070-4146-er,,100,Bonhams,False,"Color lithograph on wove paper, numbered in pencil 2/100 and annotated in an unidentified hand 'litho by Derain', the full sheet, in good condition aside from mat staining, a few soft handling creases, two dents in center of image, colors attenuated, not framed. sheet 12 1/2 x 9 3/8in"
bonhams-20070-4155,bonhams-20070-4155-er,,500,Bonhams,True,"Color lithograph on wove paper, numbered in pencil 297/500, with the blindstamp of the Musee Fernand Léger, Biot, the full sheet, in good condition aside from light- and mat staining, specks of foxing, framed. sheet 29 x 22in"
bonhams-20091-8168,bonhams-20091-8168-er,,135,Bonhams,True,"Screenprint in colors on wove paper, unsigned, numbered in pencil 112/135, with the blindstamp of the publisher, Editions Denise Rene, Paris, with margins, framed (not examined out of frame). sight 25 7/8 x 19 1/2in"
bonhams-20091-8173,bonhams-20091-8173-er,,200,Bonhams,True,"Lithograph and pochoir in colors on Arches paper, numbered in pencil 131/200, published by La Guilde de la Gravure, Paris, with margins, framed (not examined out of frame). sight 17 1/2 x 12 3/4in"
bonhams-20091-8297,bonhams-20091-8297-er,,250,Bonhams,True,"Lithograph in brown on wove paper, numbered in pencil 53/250, a posthumous impression, published By Mourlot, Paris, with wull margins, framed. 14 x 10 1/2in sheet 15 x 11in"
bonhams-20274-166,bonhams-20274-166-er,,100,Bonhams,True,"Etching with aquatint, 1969, on Hodgkinson handmade wove, signed and numbered in pencil 17/100, published by Petersburg Press, London, with full margins, 255 x 263mm (10 1/8 x 10 3/8in)(PL) (PL)"
bonhams-20711-234,bonhams-20711-234-er,,195,Bonhams,True,"Screenprint in colours, signed and numbered in pencil '162/195', 595 x 560mm (23 3/8 x 22in)(PL)"
bonhams-20893-3141,bonhams-20893-3141-er,,100,Bonhams,True,"Color lithograph on wove paper, numbered in pencil 2/100 and annotated in an unidentified hand 'litho by Derain', the full sheet, in good condition aside from mat staining, a few soft handling creases, two dents in center of image, colors attenuated, not framed. sheet 12 1/2 x 9 3/8in"
bonhams-20911-104,bonhams-20911-104-er,18,50,Bonhams,True,"Sugar-lift aquatint on wove paper, with stamped signature and numbered in pencil 39/50 (there was also an edition of 18 in Roman numerals), published by Galerie Louise Leiris, Paris, 1978, with margins, framed. 14 3/8 x 19 3/8in sheet 19 7/8 x 25 7/8in"
bonhams-20911-173,bonhams-20911-173-er,,50,Bonhams,True,"Lithograph on Arches Cover paper, numbered in pencil 24/50 (there were also 11 artist's proofs), with the blindstamps of the Philip Guston Estate and the publisher, Gemini G.E.L., Los Angeles, printed by Christine Fox and Richard Garst, the full sheet, framed. sheet 32 x 42 1/2in"
bonhams-20911-35,bonhams-20911-35-er,,56,Bonhams,True,"Lithograph on simili Japon paper with partial watermark, signed in pencil and numbered 'No. 19/56 III', with wide margins, framed. 10 1/8 x 13in sheet 15 x 17 1/2in"
bonhams-20911-98,bonhams-20911-98-er,,168,Bonhams,True,"Linocut in brown on Arches paper, signed in blue crayon and numbered in pencil 86/168 (there were also 25 artist's proofs), published/printed by Arnéra, Vallauris, with full margins. 25 1/4 x 20 7/8in sheet 29 1/2 x 24 1/2in"
bonhams-20989-2107,bonhams-20989-2107-er,,20,Bonhams,True,"Lithograph on Rives BFK paper, with the artist's thumbprint in ink and numbered in pencil 5/20 (there were also 2 artist's proofs) on the verso, with the inkstamps of publisher/printer, Tamarind/Kenneth Tyler, Los Angeles, the full sheet, in good condition aside from time staining, surface soiling a"
bonhams-21014-130,bonhams-21014-130-er,,175,Bonhams,True,"Linocut in colors on Arches paper, signed in red crayon (faded) and numbered in pencil 108/175 (there were also 25 artist's proofs), published/printed by Arnéra, Vallauris, with full margins, framed. 25 1/8 x 21in sheet 39 1/2 x 25 5/8in"
bonhams-21014-132,bonhams-21014-132-er,,50,Bonhams,True,"Etching and aquatint on wove paper, with stamped signature, numbered in pencil 31/50 (there were also 15 artist's proofs), published by Galerie Louise Leiris, Paris, 1981, with full margins, framed. 8 3/4 x 12 5/8in sheet 15 x 18 1/2in"
bonhams-21014-133,bonhams-21014-133-er,,50,Bonhams,False,"Etching on Rives paper, with stamped signature, numbered in pencil 38/50 (there were also 15 artist's proofs), published by Galerie Louise Leiris, Paris, 1981, with full margins, framed. 8 3/4 x 12 1/2in sheet 14 7/8 x 18 1/2in"
bonhams-21014-136,bonhams-21014-136-er,,50,Bonhams,True,"Etching on wove paper, with stamped signature, numbered in pencil 47/50 (there were also 15 artist's proofs in Roman numerals), published by Galerie Louise Leiris, Paris, 1978, with full margins, framed. 10 3/4 x 13 3/4in sheet 16 3/8 x 18 7/8in"
bonhams-21014-137,bonhams-21014-137-er,,50,Bonhams,True,"Etching on wove paper, with stamped signature, numbered in pencil 38/50 (there were also 15 artist's proofs in Roman numerals), published by Galerie Louise Leiris, Paris, 1978, with full margins, framed. 14 1/2 x 19 3/8in sheet 19 7/8 x 25 7/8in"
bonhams-21040-5142,bonhams-21040-5142-er,,75,Bonhams,True,"Color lithograph on Arches paper, numbered in pencil 4/75, published/printed by Tériade/Mourlot, Paris, with margins, in very good condition aside from time-, mat- and backboard staining, a few specks of foxing, framed. 16 x 24 3/4in sheet 21 1/4 x 29 1/2in"
bonhams-21040-5153,bonhams-21040-5153-er,,250,Bonhams,True,"Color screenprint on wove paper, signed in ink and numbered in pencil 127/250, with the blindstamp of the publisher, Denise Rene Editeur, printed by Atelier Arcay, Paris, in apparently excellent condition, framed (not examined out of frame). sheet approx. 35 1/2 x 28in"
bonhams-21040-5154,bonhams-21040-5154-er,,250,Bonhams,True,"Color screenprint on wove paper, signed in ink and numbered in pencil 156/250, with the blindstamp of the publisher, Denise Rene Editeur, printed by Atelier Arcay, Paris, in apparently excellent condition, framed (not examined out of frame). sheet approx. 35 1/2 x 28in"
bonhams-21593-2091,bonhams-21593-2091-er,,150,Bonhams,True,"Screenprint with collage on mylar, signed in pencil on the recto, numbered in pencil 120/150 with the inkstamps of the publisher/printer, Editions Alecto/Kelpra Studios, London, on the verso, the full sheet, in apparently very good condition aside from time staining, surface rubs, framed (not examin"
bonhams-21628-115,bonhams-21628-115-er,,50,Bonhams,True,"Etching and aquatint on laid paper, stamped signature and numbered in pencil 37/50, published by Galerie Louise Leiris, Paris, 1961, with margins, framed. 4 3/8 x 4 3/8in sheet 12 1/4 x 9 5/8in"
bonhams-21628-130,bonhams-21628-130-er,,50,Bonhams,True,"Etching on Rives paper, stamped signature and numbered in pencil 38/50 (there were also 15 artist's proofs), published by Galerie Louise Leiris, Paris, 1981, with full margins, framed. 8 3/4 x 12 1/2in sheet 14 7/8 x 18 1/2in"
bonhams-21628-39,bonhams-21628-39-er,,250,Bonhams,True,"Lithograph in colors on Arches paper, numbered in pencil 5/250 (from the unsigned edition), printed on the right side of a folded sheet, with full margins, framed. 13 1/8 x 9 7/8in"
bonhams-21628-61,bonhams-21628-61-er,,75,Bonhams,True,"Lithograph in colors on Arches paper, signed in ink (faded) and numbered in pencil 64/75, published/printed by Louise Leiris/Mourlot, Paris, with full margins, framed. 19 x 15 3/8in sheet 25 7/8 x 19 7/8in"
bonhams-21779-2153,bonhams-21779-2153-er,,50,Bonhams,True,"Photogravure on wove paper, unsigned, from Camera Work, June 1917, vol. no. 49/50, framed. 9 x 6 3/4in"
bonhams-21795-100,bonhams-21795-100-er,200,100,Bonhams,True,"Linocut in dark brown on wove paper, signed in red crayon and numbered in pencil 29/100 (there was also an unsigned edition of 200), published/printed by Arnéra, Vallauris, with margins. 17 3/4 x 11 7/8in sheet 24 x 17 1/4in"
