category,entry,similarity,titleRatio,anchorYear,otherYear,techOverlap,anchorTitle,otherTitle,anchorId,otherId
B_same_work_alias,Bloch-185,0.9376,0.204,1933,1933,Etching,Femme laide devant la sculpture d'une Marie-Thérèse athlétique appuyée sur un autoportrait du sculpteur,Modèle nu et sculptures (Bloch 185),picasso_paris-cw-Pablo_Picasso-Baer-344-femme_laide_devant_la_sculpture_d_une_marie_th_r_se_athl_tique_appuy_e_sur_un_autoportrait_du_sculpteur,forum-146007
B_same_work_alias,Bloch-198,0.934,0.778,1933,1933,Etching,Minotaure mourant et jeune femme pitoyable,MInotaure Mourantet et Jeune Femme Pitoyable [Bloch 198],picasso_paris-cw-Pablo_Picasso-Baer-366-minotaure_mourant_et_jeune_femme_pitoyable,roseberys-cw-Pablo_Picasso-Bloch-198-minotaure_mourantet_et_jeune_femme_pitoyable_bloch_198
B_same_work_alias,Bloch-219,0.9317,0.279,1934,,Etching,"Femmes entre elles avec voyeur sculpté. Clin d’œil au ""Bain turc""",Quatre Femmes nues et Tete sculptee,picasso_paris-cw-Pablo_Picasso-Baer-424-femmes_entre_elles_avec_voyeur_sculpt_clin_d_il_au_bain_turc,bonhams-cw-Pablo_Picasso-Bloch-219-quatre_femmes_nues_et_tete_sculptee
C_near_identical_title,Baer-102,,1.0,1923,,Drypoint;Etching,Deux Femmes regardant un modèle nu,Deux Femmes Régardant un Modèle Nu,picasso_paris-cw-Pablo_Picasso-Baer-102-deux_femmes_regardant_un_mod_le_nu,"bonhams-cw-Pablo_Picasso-Bloch_57,_Baer-102-deux_femmes_r_gardant_un_mod_le_nu"
D_different_works,Mourlot-137,0.44,0.179,1948,,Lithograph,Femme au fauteuil n°4 (d'après le violet),Le Vieux Roi,picasso_paris-cw-Pablo_Picasso-Mourlot-137-femme_au_fauteuil_n_4_d_apr_s_le_violet,bonhams-cw-Pablo_Picasso-Mourlot-137-le_vieux_roi
D_different_works,Baer-690,0.2243,0.2,1938,,Etching,Femme au fauteuil,L'Age de Soleil (Pour Roby),picasso_paris-cw-Pablo_Picasso-Baer-690-femme_au_fauteuil,bonhams-cw-Pablo_Picasso-Baer-690-l_age_de_soleil_pour_roby
D_different_works,Bloch-172,0.0961,0.242,1933,,,Vieux Sculpteur et jeune modèle avec le portrait sculpté du modèle,Colombe Volant (à l'Arc-en-ciel),picasso_paris-cw-Pablo_Picasso-Baer-325-vieux_sculpteur_et_jeune_mod_le_avec_le_portrait_sculpt_du_mod_le,bonhams-cw-Pablo_Picasso-Bloch-172-colombe_volant_l_arc_en_ciel
E_undecided,Bloch-272,0.9273,0.265,1934,,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin from ""Lysistrata""","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-Bloch-272-le_festin_from_lysistrata
E_undecided,B.-271,0.9223,0.46,1934,1934,Etching,"""Accord entre les Athéniens et les Spartiates. La Paix"" et ""Cinésias et Myrrhine en famille""","Accord Entre les Guerriers de Sparte et d'Athènes, from Lysistrata",picasso_paris-cw-Pablo_Picasso-Baer-391-accord_entre_les_ath_niens_et_les_spartiates_la_paix_et_cin_sias_et_myrrhine_en_famille,bonhams-cw-Pablo_Picasso-B.-271-accord_entre_les_guerriers_de_sparte_et_d_ath_nes_from_lysistrata
E_undecided,Ba.-391,0.9223,0.46,1934,1934,Etching,"""Accord entre les Athéniens et les Spartiates. La Paix"" et ""Cinésias et Myrrhine en famille""","Accord Entre les Guerriers de Sparte et d'Athènes, from Lysistrata",picasso_paris-cw-Pablo_Picasso-Baer-391-accord_entre_les_ath_niens_et_les_spartiates_la_paix_et_cin_sias_et_myrrhine_en_famille,bonhams-cw-Pablo_Picasso-B.-271-accord_entre_les_guerriers_de_sparte_et_d_ath_nes_from_lysistrata
E_undecided,B.-222,0.915,0.614,1934,1934,,Minotaure aveugle guidé par une petite fille aux fleurs,"Minotaure aveugle guidé par une Fillette I, pl. 94, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-434-minotaure_aveugle_guid_par_une_petite_fille_aux_fleurs,bonhams-cw-Pablo_Picasso-B.-222-minotaure_aveugle_guid_par_une_fillette_i_pl_94_from_la_suite_vollard
E_undecided,Ba.-434,0.915,0.614,1934,1934,,Minotaure aveugle guidé par une petite fille aux fleurs,"Minotaure aveugle guidé par une Fillette I, pl. 94, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-434-minotaure_aveugle_guid_par_une_petite_fille_aux_fleurs,bonhams-cw-Pablo_Picasso-B.-222-minotaure_aveugle_guid_par_une_fillette_i_pl_94_from_la_suite_vollard
E_undecided,Bloch-271,0.9142,0.46,1934,,Etching,"""Accord entre les Athéniens et les Spartiates. La Paix"" et ""Cinésias et Myrrhine en famille""","Accord Entre les Guerriers de Sparte et d'Athènes, from Lysistrata",picasso_paris-cw-Pablo_Picasso-Baer-391-accord_entre_les_ath_niens_et_les_spartiates_la_paix_et_cin_sias_et_myrrhine_en_famille,bonhams-cw-Pablo_Picasso-Bloch-271-accord_entre_les_guerriers_de_sparte_et_d_ath_nes_from_lysistrata
E_undecided,Bloch-173,0.8978,0.202,1933,,Etching,Vieux Sculpteur et modèle assoupi avec un groupe sculpté représentant des chevaux luttant,Le Repos du Sculpteur III,picasso_paris-cw-Pablo_Picasso-Baer-326-vieux_sculpteur_et_mod_le_assoupi_avec_un_groupe_sculpt_repr_sentant_des_chevaux_luttant,bonhams-cw-Pablo_Picasso-Bloch-173-le_repos_du_sculpteur_iii
E_undecided,B.-272,0.8879,0.222,1934,1934,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin, pl. 6, from Lysistrata Suite","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-B.-272-le_festin_pl_6_from_lysistrata_suite
E_undecided,Ba.-392,0.8879,0.222,1934,1934,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin, pl. 6, from Lysistrata Suite","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-B.-272-le_festin_pl_6_from_lysistrata_suite
E_undecided,C. bk.-24,0.8879,0.222,1934,1934,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin, pl. 6, from Lysistrata Suite","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-B.-272-le_festin_pl_6_from_lysistrata_suite
E_undecided,Bloch-173,0.8568,0.258,1933,,Etching,Vieux Sculpteur et modèle assoupi avec un groupe sculpté représentant des chevaux luttant,La Suite Vollard - Le Repos du Sculpteur III,picasso_paris-cw-Pablo_Picasso-Baer-326-vieux_sculpteur_et_mod_le_assoupi_avec_un_groupe_sculpt_repr_sentant_des_chevaux_luttant,bonhams-cw-Pablo_Picasso-Bloch-173-la_suite_vollard_le_repos_du_sculpteur_iii
E_undecided,B.-272,0.8557,0.265,1934,1934,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin, from Lysistrata Suite","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-B.-272-le_festin_from_lysistrata_suite
E_undecided,Ba.-392,0.8557,0.265,1934,1934,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin, from Lysistrata Suite","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-B.-272-le_festin_from_lysistrata_suite
E_undecided,C. bk.-24,0.8557,0.265,1934,1934,Etching,"""Le Banquet et Cinésias"" et ""Myrrhine""","Le Festin, from Lysistrata Suite","bonhams-cw-Pablo_Picasso-Bloch_272,_Baer_392,_Cramer_bk.-24-le_festin_pl_6_from_lysistrata",bonhams-cw-Pablo_Picasso-B.-272-le_festin_from_lysistrata_suite
E_undecided,B.-271,0.8526,0.471,1934,1934,Etching,"""Accord entre les Athéniens et les Spartiates. La Paix"" et ""Cinésias et Myrrhine en famille""","Accord entre les Guerriers de Sparte et d'Athènes, from Lysistrata Suite",picasso_paris-cw-Pablo_Picasso-Baer-391-accord_entre_les_ath_niens_et_les_spartiates_la_paix_et_cin_sias_et_myrrhine_en_famille,bonhams-cw-Pablo_Picasso-B.-271-accord_entre_les_guerriers_de_sparte_et_d_ath_nes_from_lysistrata_suite
E_undecided,Ba.-391,0.8526,0.471,1934,1934,Etching,"""Accord entre les Athéniens et les Spartiates. La Paix"" et ""Cinésias et Myrrhine en famille""","Accord entre les Guerriers de Sparte et d'Athènes, from Lysistrata Suite",picasso_paris-cw-Pablo_Picasso-Baer-391-accord_entre_les_ath_niens_et_les_spartiates_la_paix_et_cin_sias_et_myrrhine_en_famille,bonhams-cw-Pablo_Picasso-B.-271-accord_entre_les_guerriers_de_sparte_et_d_ath_nes_from_lysistrata_suite
E_undecided,Bloch-173,0.8293,0.236,1933,,Etching,Vieux Sculpteur et modèle assoupi avec un groupe sculpté représentant des chevaux luttant,"Le Repos du Sculpteur III, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-326-vieux_sculpteur_et_mod_le_assoupi_avec_un_groupe_sculpt_repr_sentant_des_chevaux_luttant,bonhams-cw-PABLO_PICASSO-Bloch-173-le_repos_du_sculpteur_iii_from_la_suite_vollard
E_undecided,Bloch-201,0.779,0.627,1933,,,Minotaure caressant du mufle la main d'une dormeuse,Minotaure Caressant Une Dormeuse,picasso_paris-cw-Pablo_Picasso-Baer-369-minotaure_caressant_du_mufle_la_main_d_une_dormeuse,bonhams-cw-Pablo_Picasso-Bloch-201-minotaure_caressant_une_dormeuse
E_undecided,Baer-2014,,0.614,1971,1971,Aquatint,"Peintre au sabot et au chausson, avec sa toile","Peintre au sabot et au chausson avec satoile, plate 150, from Séries 156",picasso_paris-cw-Pablo_Picasso-Baer-2014-peintre_au_sabot_et_au_chausson_avec_sa_toile,"bonhams-cw-Pablo_Picasso-Bloch_2004,_Baer-2014-peintre_au_sabot_et_au_chausson_avec_satoile_plate_150_from_s_ries_156"
E_undecided,Baer-2014,,0.634,1971,1971,Aquatint,"Peintre au sabot et au chausson, avec sa toile","Peintre au sabot et au chausson avec sa toile, plate 150, from Séries 156",picasso_paris-cw-Pablo_Picasso-Baer-2014-peintre_au_sabot_et_au_chausson_avec_sa_toile,"bonhams-cw-Pablo_Picasso-Bloch_2004,_Baer-2014-peintre_au_sabot_et_au_chausson_avec_sa_toile_plate_150_from_s_ries_156"
E_undecided,Mourlot-134,,0.538,1948,,Lithograph,Femme au fauteuil n°1,Femme au fauteuil No. 1 (d'après le rouge),picasso_paris-cw-Pablo_Picasso-Mourlot-134-femme_au_fauteuil_n_1,"bonhams-cw-Pablo_Picasso-Bloch_586,_Mourlot-134-femme_au_fauteuil_no_1_d_apr_s_le_rouge"
E_undecided,Baer-700,,0.103,1945,1945,,4 mai 1945,Femme de face: Jours de Gloire,picasso_paris-cw-Pablo_Picasso-Baer-700-4_mai_1945,"bonhams-cw-Pablo_Picasso-Bloch_372,_Baer_700,_Cramer_bk.-41-femme_de_face_jours_de_gloire"
E_undecided,Bloch-201,,0.416,1933,1933,Drypoint,Minotaure caressant du mufle la main d'une dormeuse,"Minotaure caressant une dormeuse (Minotaur caressing a sleeping girl), from La suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-369-minotaure_caressant_du_mufle_la_main_d_une_dormeuse,bonhams-cw-Pablo_Picasso-Bloch-201-minotaure_caressant_une_dormeuse_minotaur_caressing_a_sleeping_girl_from_la_suite_vollard
E_undecided,Bloch-219,,0.328,1934,1934,Etching,"Femmes entre elles avec voyeur sculpté. Clin d’œil au ""Bain turc""","Quatre femmes nues et tête sculptée, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-424-femmes_entre_elles_avec_voyeur_sculpt_clin_d_il_au_bain_turc,"bonhams-cw-Pablo_Picasso-Bloch_219,_Baer-424-quatre_femmes_nues_et_t_te_sculpt_e_from_la_suite_vollard"
E_undecided,Baer-442,,0.297,1934,1934,Etching,La Taberna. Jeune pêcheur catalan racontant sa vie à un vieux pêcheur barbu,"Deux buveurs Catalans, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-442-la_taberna_jeune_p_cheur_catalan_racontant_sa_vie_un_vieux_p_cheur_barbu,"bonhams-cw-Pablo_Picasso-Bloch_228,_Baer-442-deux_buveurs_catalans_from_la_suite_vollard"
E_undecided,Bloch-173,,0.247,1933,1933,Etching,Vieux Sculpteur et modèle assoupi avec un groupe sculpté représentant des chevaux luttant,"Le Repos du Sculpteur, III, pl. 64, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-326-vieux_sculpteur_et_mod_le_assoupi_avec_un_groupe_sculpt_repr_sentant_des_chevaux_luttant,"bonhams-cw-Pablo_Picasso-Bloch_173,_Baer-326-le_repos_du_sculpteur_iii_pl_64_from_la_suite_vollard"
E_undecided,Baer-321,,0.357,1933,1933,Etching,Sculpteur travaillant sur le motif avec Marie-Thérèse posant,"Sculpteur et son modèle devant une fenêtre, pl.59, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-321-sculpteur_travaillant_sur_le_motif_avec_marie_th_r_se_posant,"bonhams-cw-Pablo_Picasso-Bloch_168,_Baer-321-sculpteur_et_son_mod_le_devant_une_fen_tre_pl_59_from_la_suite_vollard"
E_undecided,Baer-272,,0.593,1932,1932,Etching,Le Sauvetage de la noyée. I,Le Sauvetage I (The Saving I),picasso_paris-cw-Pablo_Picasso-Baer-272-le_sauvetage_de_la_noy_e_i,bonhams-cw-Pablo_Picasso-Bloch-244-le_sauvetage_i_the_saving_i
E_undecided,Baer-316,,0.193,1933,1933,Etching,Sculpteur et son modèle avec un groupe sculpté représentant des athlètes,"Famille de saltimbanques, from La suite Vollard (Family of Acrobats, from the Vollard Suite)",picasso_paris-cw-Pablo_Picasso-Baer-316-sculpteur_et_son_mod_le_avec_un_groupe_sculpt_repr_sentant_des_athl_tes,bonhams-cw-Pablo_Picasso-Bloch-163-famille_de_saltimbanques_from_la_suite_vollard_family_of_acrobats_from_the_vollard_suite
E_undecided,Bloch-17,,0.421,1909,1909,Drypoint,Deux Figures nues. Femme à la guitare et garçon à la coupe,Deux figures nues (Two Nude Figures),picasso_paris-cw-Pablo_Picasso-Baer-21-deux_figures_nues_femme_la_guitare_et_gar_on_la_coupe,bonhams-cw-Pablo_Picasso-Bloch-17-deux_figures_nues_two_nude_figures
E_undecided,Baer-21,,0.421,1909,1909,Drypoint,Deux Figures nues. Femme à la guitare et garçon à la coupe,Deux figures nues (Two Nude Figures),picasso_paris-cw-Pablo_Picasso-Baer-21-deux_figures_nues_femme_la_guitare_et_gar_on_la_coupe,bonhams-cw-Pablo_Picasso-Bloch-17-deux_figures_nues_two_nude_figures
E_undecided,Baer-408,,0.283,1934,1934,Etching,Au bain. Femme au chapeau à fleurs et femme drapée dans une serviette,"Femme assise au chapeau et femme debout drapée, from La suite Vollard (Woman Sitting in Hat and Woman Standing Draped, from the Vollard Suite)",picasso_paris-cw-Pablo_Picasso-Baer-408-au_bain_femme_au_chapeau_fleurs_et_femme_drap_e_dans_une_serviette,bonhams-cw-Pablo_Picasso-Bloch-210-femme_assise_au_chapeau_et_femme_debout_drap_e_from_la_suite_vollard_woman_sitting_in_hat_and_woman_standing_draped_from_the_vollard_suite
E_undecided,Baer-327,,0.238,1933,,Etching,"Vieux sculpteur grec avec modèle, vase aux trois anémones et autoportrait sculpté","Le Repos du Sculpteur IV, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-327-vieux_sculpteur_grec_avec_mod_le_vase_aux_trois_an_mones_et_autoportrait_sculpt,bonhams-cw-Pablo_Picasso-Bloch-174-le_repos_du_sculpteur_iv_from_la_suite_vollard
E_undecided,Baer-1874,,0.632,1970,1970,Etching,Le Cirque de la vie observé par une petite fille,"Le cirque de la vie observe, par une petite fille, number 14 from La Serie 156",picasso_paris-cw-Pablo_Picasso-Baer-1874-le_cirque_de_la_vie_observ_par_une_petite_fille,bonhams-cw-Pablo_Picasso-Bloch-1869-le_cirque_de_la_vie_observe_par_une_petite_fille_number_14_from_la_serie_156
E_undecided,Baer-345,,0.273,1933,1933,Etching,Marie-Thérèse regardant son corps sculpté,"Modèle et grande sculpture de dos, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-345-marie_th_r_se_regardant_son_corps_sculpt,bonhams-cw-Pablo_Picasso-Bloch-186-mod_le_et_grande_sculpture_de_dos_from_la_suite_vollard
E_undecided,Baer-1049,,0.75,1958,1958,Linocut,Toros Vallauris 1958,Toros Vallauris,picasso_paris-cw-Pablo_Picasso-Baer-1049-toros_vallauris_1958,"bonhams-cw-Pablo_Picasso-Bloch_1282,_Baer_1049,_Rodrigo-71-toros_vallauris"
E_undecided,Baer-340,,0.125,1933,1933,Etching,Accouplement. I,"Le Viol IV, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-340-accouplement_i,"bonhams-cw-Pablo_Picasso-Bloch_182,_Baer-340-le_viol_iv_from_la_suite_vollard"
E_undecided,Baer-616,,0.318,1937,1937,Etching,Sueño y mentira de Franco (Planche II),"One cut plate, from Sueño y mentira de Franco",picasso_paris-cw-Pablo_Picasso-Baer-616-sue_o_y_mentira_de_franco_planche_ii,"bonhams-cw-Pablo_Picasso-Bloch_298,_Baer_616,_Cramer_bk.-28-one_cut_plate_from_sue_o_y_mentira_de_franco"
E_undecided,Baer-609,,0.554,1936,1936,Aquatint;Engraving,"Faune dévoilant une dormeuse (Jupiter et Antiope, d'après Rembrandt)","Faune Dévoilant une Dormeuse, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-609-faune_d_voilant_une_dormeuse_jupiter_et_antiope_d_apr_s_rembrandt,"bonhams-cw-Pablo_Picasso-Bloch_230,_Baer-609-faune_d_voilant_une_dormeuse_from_la_suite_vollard"
E_undecided,Baer-326,,0.247,1933,1933,Etching,Vieux Sculpteur et modèle assoupi avec un groupe sculpté représentant des chevaux luttant,"Le Repos du Sculpteur, III, pl. 64, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-326-vieux_sculpteur_et_mod_le_assoupi_avec_un_groupe_sculpt_repr_sentant_des_chevaux_luttant,"bonhams-cw-Pablo_Picasso-Bloch_173,_Baer-326-le_repos_du_sculpteur_iii_pl_64_from_la_suite_vollard"
E_undecided,Baer-330,,0.414,1933,,Etching,"Sculpteur songeant, modèle aux cheveux noirs et bol avec trois anémones","Sculpteur et modèle debout, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-330-sculpteur_songeant_mod_le_aux_cheveux_noirs_et_bol_avec_trois_an_mones,bonhams-cw-Pablo_Picasso-Bloch-177-sculpteur_et_mod_le_debout_from_la_suite_vollard
E_undecided,Baer-424,,0.328,1934,1934,Etching,"Femmes entre elles avec voyeur sculpté. Clin d’œil au ""Bain turc""","Quatre femmes nues et tête sculptée, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-424-femmes_entre_elles_avec_voyeur_sculpt_clin_d_il_au_bain_turc,"bonhams-cw-Pablo_Picasso-Bloch_219,_Baer-424-quatre_femmes_nues_et_t_te_sculpt_e_from_la_suite_vollard"
