institution,accessionNumber,title,authorsRaw,bucket,refusalReason
MAMC+ Saint-Étienne Métropole,43.1.110,Le Creusot en 1851,CHALAS,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.161,Intérieur de taverne,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.157,Pique-nique,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.214,Tête d'enfant tournée à droite,"Anonyme (sans précision), SANZIO Raffaello dit RAPHAËL (d'après)",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.153,Chanteurs d'Opéra,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.202,La belle irlandaise de Dublin,BOSSELMAN ?,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.85,Société des artistes de Bâle : diplôme du peintre Lardet,"WOLF G., STRUBIN N.",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.148,Collaboration d'un vaudeville,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.151,Les acteurs comiques de Paris,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.317,"Jules Gérard, le  tueur de lions",CUVILLIER A.,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.400,Vue d'un moulin,"LORIEUX F.B., GELLÉE Claude dit LE LORRAIN",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.369,Portrait d'Eustache Le Sueur (1617-1655),"Anonyme (XIXe siècle), BEAUME Joseph",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.316,Cheval couché au bord d'une rivière,"CUVILLIER A., HERRING Benjamin",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.422,Allégorie de la sixième heure de la nuit,"THOMAS N., (SANZIO Raffaello dit RAPHAËL (d'après))",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.383,Vue prise à Thiers,"Anonyme (XIXe siècle), LANGLACE Jean-Baptiste",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.364,"Portrait de Mathieu, député de la Drôme",BUFFET,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.268,Vue du canton d'Uri,"Anonyme (XIXe siècle), SCHEUCHZER Caspar",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.233,Chaloupe sur une mer déchaînée,"GUVIER, GUDIER OU GERDIER",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.305,Deux bassets,FRANCIS C.,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.315,Trois chiens observent des rats dans une rivière,"CUVILLIER A., ARMFIELD Georges",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.294,Etude de sangliers,"Anonyme (XIXe siècle), ROLLAND Auguste",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,48.2.6,Canards mandarins,HIROSHIGE,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,48.2.5,Paysage de montagne,HIROSHIGE,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,48.2.4,Courtisane,HOKUSAI,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.658,Une promenade à Pékin,"CHAM (NOÉE Amédée Charles Henri, dit)",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.556,Vue d'un superbe palais de Rome,"Anonyme (XVIIIe siècle), PIRANESI Giovanni Battista",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.825,Immaculée Conception,"GEOFFROY ?, MURILLO Bartolomé Esteban",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.799,Les adieux du matin,FRAGONARD ?,excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.790,Le Bain,"BEAUPOIL (SAINT-AULAIRE Félix Achille, dit), VALLON DE VILLENEUVE",excluded_unresolved_artist,single_token_name
MAMC+ Saint-Étienne Métropole,43.1.865,La place Saint Médard à Paris,FRAIPONT ?,excluded_unresolved_artist,single_token_name
Musée d'Art moderne et contemporain de Strasbourg,XVIII 105,Portrait de Thomas Mann,"MOPP (OPPENHEIMER Max, dit)",excluded_unresolved_artist,single_token_name
Musée d'Art moderne et contemporain de Strasbourg,55.992.13.242,Portrait-charge de Gustave Doré,SPY,excluded_unresolved_artist,single_token_name
Musée d'Art moderne et contemporain de Strasbourg,55.993.2.24,"Grosse Sterntache
(Grand sac d'étoiles)","WOLS (SCHULZE Alfred Otto Wolfgang, dit)",excluded_unresolved_artist,single_token_name
Musée d'Art moderne et contemporain de Strasbourg,55.003.0.261,Allée avec troupeau de moutons,RAUDNEY,excluded_unresolved_artist,single_token_name
Musée Tomi Ungerer,99.2019.0.241,"Latoria, Latoria !","TANCONVILLE (GANIER Henri, dit)",excluded_unresolved_artist,single_token_name
Musée d'art moderne de Céret,MAMC 1991-0607,Deux catalanes,"MANOLO (MARTINEZ I HUGUÉ Manuel, dit)",excluded_unresolved_artist,single_token_name
Musée d'art moderne de Céret,MAMC 1991-0605,Femmes attisant le feu,"MANOLO (MARTINEZ I HUGUÉ Manuel, dit)",excluded_unresolved_artist,single_token_name
Musée d'art moderne de Céret,MAMC 1991-0603,Paysage,"MANOLO (MARTINEZ I HUGUÉ Manuel, dit)",excluded_unresolved_artist,single_token_name
Musée d'art moderne de Céret,MAMC 1991-0606,Intérieur,"MANOLO (MARTINEZ I HUGUÉ Manuel, dit)",excluded_unresolved_artist,single_token_name
Musée d'art moderne de Céret,MAMC 1991-0602,Portrait de Jo Davidson,"MANOLO (MARTINEZ I HUGUÉ Manuel, dit)",excluded_unresolved_artist,single_token_name
Musée d'art moderne de Céret,EPMC 2008-0336,Portrait de Max Jacob,"MANOLO (MARTINEZ I HUGUÉ Manuel, dit)",excluded_unresolved_artist,single_token_name
