artist,ulanUrl,isPrintmaker,born,died
Alfred-Marie Le Petit,http://vocab.getty.edu/page/ulan/500084350,True,1876,1953
Alice Bailly,http://vocab.getty.edu/page/ulan/500005819,True,1872,1938
Allan Osterlind,http://vocab.getty.edu/page/ulan/500042066,True,1855,1938
Alois Kolb,http://vocab.getty.edu/page/ulan/500150458,True,1875,1942
Alphonse Alexandre Leroy,http://vocab.getty.edu/page/ulan/500694051,True,1821,1902
Alphonse De Neuville,http://vocab.getty.edu/page/ulan/500024298,False,1835,1885
Alphonse Doudiet,http://vocab.getty.edu/page/ulan/500135650,True,1807,1872
Alphonse Legros,http://vocab.getty.edu/page/ulan/500013515,True,1837,1911
Amédée Guérard,http://vocab.getty.edu/page/ulan/500191473,False,1824,1908
Amédée Joyau,http://vocab.getty.edu/page/ulan/500636190,True,1872,1913
Andrew Affleck,http://vocab.getty.edu/page/ulan/500031062,True,1874,1936
André Gill,http://vocab.getty.edu/page/ulan/500017105,True,1840,1885
André Suréda,http://vocab.getty.edu/page/ulan/500048285,False,1872,1930
André-Marie-Paul Borel,http://vocab.getty.edu/page/ulan/500020882,True,1828,1913
Angèle Delasalle,http://vocab.getty.edu/page/ulan/500067450,True,1867,1939
Anselmo Bucci,http://vocab.getty.edu/page/ulan/500009829,False,1887,1955
Antoine Trouvain,http://vocab.getty.edu/page/ulan/500023852,True,1652,1708
Antonio De La Gandara,http://vocab.getty.edu/page/ulan/500025813,True,1861,1917
Armand Charnay,http://vocab.getty.edu/page/ulan/500030628,True,1844,1915
Armand Coussens,http://vocab.getty.edu/page/ulan/500062568,True,1881,1935
Armand Désiré Gautier,http://vocab.getty.edu/page/ulan/500011846,True,1825,1894
Armand Guillaumin,http://vocab.getty.edu/page/ulan/500003107,True,1891,1955
Armand Rassenfosse,http://vocab.getty.edu/page/ulan/500020740,True,1862,1934
Armand Séguin,http://vocab.getty.edu/page/ulan/500019502,True,1869,1903
Auguste Allongé,http://vocab.getty.edu/page/ulan/500003084,True,1833,1898
Auguste Ballin,http://vocab.getty.edu/page/ulan/500146304,True,1842,1885
Auguste Brouet,http://vocab.getty.edu/page/ulan/500101666,True,1872,1941
Auguste Raffet,http://vocab.getty.edu/page/ulan/500028343,True,1804,1860
Auguste Renoir,http://vocab.getty.edu/page/ulan/500115467,True,1841,1919
Auguste-Victor Deroy,http://vocab.getty.edu/page/ulan/500541166,True,1825,1906
Bernard Boutet de Monvel,http://vocab.getty.edu/page/ulan/500019513,True,1881,1949
Bernard Naudin,http://vocab.getty.edu/page/ulan/500001798,True,1876,1946
Bernhard Hasler,http://vocab.getty.edu/page/ulan/500332710,False,1884,1945
Berthe Morisot,http://vocab.getty.edu/page/ulan/500029669,True,1841,1895
Carel Nicolaas Storm Van S'Gravensande,http://vocab.getty.edu/page/ulan/500176215,True,1841,1924
Carl Anton Reichel,http://vocab.getty.edu/page/ulan/500025165,True,1874,1944
Carl Moll,http://vocab.getty.edu/page/ulan/500031489,False,1861,1945
Carl Theodor Meyer-Basel,http://vocab.getty.edu/page/ulan/500040866,True,1860,1932
Carlo Antonio Raineri,http://vocab.getty.edu/page/ulan/500185169,False,1765,1826
Carlos De Haes,http://vocab.getty.edu/page/ulan/500036344,True,1829,1898
Carlos Schwabe,http://vocab.getty.edu/page/ulan/500112162,True,1866,1926
Caroline Helena Armington,http://vocab.getty.edu/page/ulan/500335762,False,1875,1939
Charles Alphonse Paul Bellay,http://vocab.getty.edu/page/ulan/500160846,True,1826,1900
Charles Emile Cuisin,http://vocab.getty.edu/page/ulan/500065760,True,1832,1882
Charles Georges Dufresne,http://vocab.getty.edu/page/ulan/500005963,True,1876,1938
Charles Giroux,http://vocab.getty.edu/page/ulan/500037183,False,1861,1940
Charles Guérin,http://vocab.getty.edu/page/ulan/500003325,False,1875,1939
Charles Joseph Beauverie,http://vocab.getty.edu/page/ulan/500157508,True,1839,1924
Charles Joshua Chaplin,http://vocab.getty.edu/page/ulan/500003178,False,1825,1891
Charles Lucien Blumer,http://vocab.getty.edu/page/ulan/500060752,False,1871,1947
Charles Maurin,http://vocab.getty.edu/page/ulan/500128033,True,1856,1914
Charles Meryon,http://vocab.getty.edu/page/ulan/500001302,True,1821,1868
Charles Paul Renouard,http://vocab.getty.edu/page/ulan/500014793,True,1845,1924
Charles Rivière,http://vocab.getty.edu/page/ulan/500084419,False,1848,1920
Charles Walch,http://vocab.getty.edu/page/ulan/500041766,True,1896,1948
Charles Émile Jacque,http://vocab.getty.edu/page/ulan/500027865,True,1813,1894
Charles-Albert Waltner,http://vocab.getty.edu/page/ulan/500047452,True,1846,1925
Charles-Edouard Elmerich,http://vocab.getty.edu/page/ulan/500184135,True,1813,1889
Charles-Lucien Léandre,http://vocab.getty.edu/page/ulan/500004022,True,1862,1934
Charles-Nicolas fils Cochin,http://vocab.getty.edu/page/ulan/500021138,True,1715,1790
Claude Lorrain,http://vocab.getty.edu/page/ulan/500115366,True,1600,1682
Claude Mellan,http://vocab.getty.edu/page/ulan/500026391,True,1598,1688
Claudius Denis,http://vocab.getty.edu/page/ulan/500080404,True,1878,1947
Clément Auguste Andrieux,http://vocab.getty.edu/page/ulan/500009909,True,1829,1880
Cornelia Paczka Wagner,http://vocab.getty.edu/page/ulan/500160856,True,1864,1930
Dörte Helm,http://vocab.getty.edu/page/ulan/500473617,False,1898,1941
EMIL RUDOLF WEISS,http://vocab.getty.edu/page/ulan/500060204,True,1875,1942
Edgar Chahine,http://vocab.getty.edu/page/ulan/500010769,True,1874,1947
Edme Bovinet,http://vocab.getty.edu/page/ulan/500046210,True,1767,1832
Edmond Pierre Alexandre Hédouin,http://vocab.getty.edu/page/ulan/500011093,True,1820,1889
Edouard Vuillard,http://vocab.getty.edu/page/ulan/500014954,True,1868,1940
Eduard Wiiralt,http://vocab.getty.edu/page/ulan/500012478,True,1898,1954
Edwin Edwards,http://vocab.getty.edu/page/ulan/500024364,True,1823,1879
Edwin Forbes,http://vocab.getty.edu/page/ulan/500032900,True,1839,1895
Emile Antoine Bourdelle,http://vocab.getty.edu/page/ulan/500028923,False,1861,1929
Emile Boilvin,http://vocab.getty.edu/page/ulan/500098380,True,1845,1899
Emile Friant,http://vocab.getty.edu/page/ulan/500016244,True,1863,1932
Emile Frédéric Salmon,http://vocab.getty.edu/page/ulan/500041190,True,1840,1913
Emile Schweitzer,http://vocab.getty.edu/page/ulan/500298663,False,1837,1903
Emmanuel Phelippes-Beaulieux,http://vocab.getty.edu/page/ulan/500074512,True,1829,1874
Ernst Kolbe,http://vocab.getty.edu/page/ulan/500040706,False,1876,1945
Ernst Moritz Geyger,http://vocab.getty.edu/page/ulan/500047404,True,1861,1941
Espérance Léon Broquet,http://vocab.getty.edu/page/ulan/500094796,True,1869,1936
Etienne Carjat,http://vocab.getty.edu/page/ulan/500026574,False,1828,1906
Etienne Cournault,http://vocab.getty.edu/page/ulan/500016216,True,1891,1948
Eugène Bejot,http://vocab.getty.edu/page/ulan/500061921,True,1867,1931
Eugène Carrière,http://vocab.getty.edu/page/ulan/500007012,True,1849,1906
Eugène Decisy,http://vocab.getty.edu/page/ulan/500695802,False,1866,1936
Eugène Delâtre,http://vocab.getty.edu/page/ulan/500015432,True,1864,1938
Eugène François Augustin Bridoux,http://vocab.getty.edu/page/ulan/500298530,True,1813,1892
Eugène-André Champollion,http://vocab.getty.edu/page/ulan/500130301,False,1848,1901
Ewald Dülberg,http://vocab.getty.edu/page/ulan/500064151,False,1888,1933
Ewert Louis Van Muyden,http://vocab.getty.edu/page/ulan/500072869,True,1853,1922
Federico Faruffini,http://vocab.getty.edu/page/ulan/500002378,True,1831,1869
Felix Jenewein,http://vocab.getty.edu/page/ulan/500202435,False,1857,1905
Felix Vallotton,http://vocab.getty.edu/page/ulan/500017056,True,1865,1925
Ferdinand Bol,http://vocab.getty.edu/page/ulan/500013764,True,1616,1680
Ferdinand Jean Luigini,http://vocab.getty.edu/page/ulan/500006273,True,1870,1943
Ferdinand Kruis,http://vocab.getty.edu/page/ulan/500150969,True,1869,1944
Ferdinand Victor Léon Roybet,http://vocab.getty.edu/page/ulan/500021253,True,1840,1920
Fortuné Ferogio,http://vocab.getty.edu/page/ulan/500072189,True,1805,1888
Francesco Piranesi,http://vocab.getty.edu/page/ulan/500018927,True,1758,1810
Francis Seymour Haden,http://vocab.getty.edu/page/ulan/500021004,True,1818,1910
Frank Laing,http://vocab.getty.edu/page/ulan/500018990,True,1862,1907
Frantz Charlet,http://vocab.getty.edu/page/ulan/500110346,False,1862,1928
Franz Hoch,http://vocab.getty.edu/page/ulan/500425678,True,1869,1916
Franz Simon,http://vocab.getty.edu/page/ulan/500097918,True,1877,1942
François Bonvin,http://vocab.getty.edu/page/ulan/500011069,True,1817,1887
François Emile Ehrmann,http://vocab.getty.edu/page/ulan/500001332,False,1833,1910
François Flameng,http://vocab.getty.edu/page/ulan/500027583,True,1856,1923
François Grenier,http://vocab.getty.edu/page/ulan/500015474,False,1793,1867
François Nicolas Augustin Feyen-Perrin,http://vocab.getty.edu/page/ulan/500025647,True,1826,1888
François Nicolas Barthélemy Dequevauviller,http://vocab.getty.edu/page/ulan/500118635,True,1745,1817
François-Hippolyte Lalaisse,http://vocab.getty.edu/page/ulan/500019362,True,1812,1884
François-Louis Schmied,http://vocab.getty.edu/page/ulan/500074718,True,1873,1941
François-Nicolas Chifflart,http://vocab.getty.edu/page/ulan/500012807,True,1825,1901
François-Rupert Carabin,http://vocab.getty.edu/page/ulan/500067454,False,1862,1932
Friedrich Kallmorgen,http://vocab.getty.edu/page/ulan/500008014,True,1856,1924
Fritz Burger,http://vocab.getty.edu/page/ulan/500055348,True,1867,1927
Fritz Schaefler,http://vocab.getty.edu/page/ulan/500071049,True,1888,1954
Frédéric-Auguste Laguillermie,http://vocab.getty.edu/page/ulan/500020378,True,1841,1934
Félicien Rops,http://vocab.getty.edu/page/ulan/500020047,True,1833,1898
Félix Benoist,http://vocab.getty.edu/page/ulan/500104203,True,1818,1896
Félix Bracquemond,http://vocab.getty.edu/page/ulan/500023048,True,1833,1914
Félix Buhot,http://vocab.getty.edu/page/ulan/500001377,True,1847,1898
Félix Thiollier,http://vocab.getty.edu/page/ulan/500017457,False,1842,1914
Gaston Chopard,http://vocab.getty.edu/page/ulan/500702588,True,1883,1942
Gaston Prunier,http://vocab.getty.edu/page/ulan/500049728,False,1863,1927
Georges Antonio Lopisgich,http://vocab.getty.edu/page/ulan/500729921,False,1854,1913
Georges Fraipont,http://vocab.getty.edu/page/ulan/500139569,False,1873,1912
Georges Le Meilleur,http://vocab.getty.edu/page/ulan/500057285,True,1861,1945
Georges Lemmen,http://vocab.getty.edu/page/ulan/500025073,False,1865,1916
Georges Minne,http://vocab.getty.edu/page/ulan/500029293,True,1866,1941
Georges Montbard,http://vocab.getty.edu/page/ulan/500061380,True,1841,1905
Georges Serrier,http://vocab.getty.edu/page/ulan/500071217,False,1852,1949
Georges Van Den Bos,http://vocab.getty.edu/page/ulan/500186948,False,1835,1911
Georges-Sauvage,http://vocab.getty.edu/page/ulan/500191553,True,1845,1918
Giovanni Battista Piranesi,http://vocab.getty.edu/page/ulan/500114965,True,1720,1778
Giovanni Segantini,http://vocab.getty.edu/page/ulan/500005029,False,1858,1899
Gustav Bamberger,http://vocab.getty.edu/page/ulan/500501995,False,1861,1936
Gustav Kampmann,http://vocab.getty.edu/page/ulan/500080465,True,1859,1917
Gustave Doré,http://vocab.getty.edu/page/ulan/500013657,True,1832,1883
Gustave Fraipont,http://vocab.getty.edu/page/ulan/500139570,True,1849,1923
Gustave Leheutre,http://vocab.getty.edu/page/ulan/500020953,True,1861,1932
Gustave Marie Greux,http://vocab.getty.edu/page/ulan/500155504,True,1838,1919
Hans Richard Von Volkmann,http://vocab.getty.edu/page/ulan/500048089,True,1860,1927
Hector Giacomelli,http://vocab.getty.edu/page/ulan/500109894,True,1822,1904
Heinrich Wolff,http://vocab.getty.edu/page/ulan/500021457,True,1875,1940
Henri Ebel,http://vocab.getty.edu/page/ulan/500774285,False,1849,1931
Henri Fantin-Latour,http://vocab.getty.edu/page/ulan/500025754,True,1836,1904
Henri Gabriel Ibels,http://vocab.getty.edu/page/ulan/500016306,True,1867,1936
Henri Gaudier-Brzeska,http://vocab.getty.edu/page/ulan/500115741,False,1891,1915
Henri Grévedon,http://vocab.getty.edu/page/ulan/500007693,True,1776,1860
Henri Jourdain,http://vocab.getty.edu/page/ulan/500079152,False,1864,1931
Henri Loux,http://vocab.getty.edu/page/ulan/500546462,False,1873,1907
Henri Rivière,http://vocab.getty.edu/page/ulan/500011467,True,1864,1951
Henri Toussaint,http://vocab.getty.edu/page/ulan/500047446,True,1849,1911
Henri-Joseph Dubouchet,http://vocab.getty.edu/page/ulan/500055984,True,1833,1909
Henry Caro-Delvaille,http://vocab.getty.edu/page/ulan/500057071,False,1876,1928
Henry Cassiers,http://vocab.getty.edu/page/ulan/500009492,True,1858,1944
Henry Louis Dupray,http://vocab.getty.edu/page/ulan/500049265,False,1841,1909
Henry Ottmann,http://vocab.getty.edu/page/ulan/500017192,False,1877,1927
Henry Wilfrid Deville,http://vocab.getty.edu/page/ulan/500134872,False,1871,1939
Herbert Thomas Dicksee R.E,http://vocab.getty.edu/page/ulan/500029902,True,1862,1942
Hermine Laukota,http://vocab.getty.edu/page/ulan/500054389,True,1853,1931
Honoré Daumier,http://vocab.getty.edu/page/ulan/500117998,True,1808,1879
Ignacio Zuloaga Y Zabaleta,http://vocab.getty.edu/page/ulan/500015091,False,1870,1945
Israël Silvestre,http://vocab.getty.edu/page/ulan/500021067,True,1621,1691
Jacques Beurdeley,http://vocab.getty.edu/page/ulan/500406374,True,1874,1954
Jacques Rigaud,http://vocab.getty.edu/page/ulan/500003528,True,1680,1754
Jacques-Emile Blanche,http://vocab.getty.edu/page/ulan/500019208,False,1861,1942
Jacques-Raymond Brascassat,http://vocab.getty.edu/page/ulan/500011452,True,1804,1867
Jan Toorop,http://vocab.getty.edu/page/ulan/500017535,True,1858,1928
Jean Antoine Valentin Foulquier,http://vocab.getty.edu/page/ulan/500022459,False,1822,1896
Jean Baptiste Danguin,http://vocab.getty.edu/page/ulan/500524691,True,1823,1894
Jean François Raffaëlli,http://vocab.getty.edu/page/ulan/500048150,True,1850,1924
Jean Frelaut,http://vocab.getty.edu/page/ulan/500004614,True,1879,1954
Jean Jacottet,http://vocab.getty.edu/page/ulan/500041157,True,1806,1880
Jean Moyreau,http://vocab.getty.edu/page/ulan/500168108,True,1690,1762
Jean Pierre Marie Jazet,http://vocab.getty.edu/page/ulan/500028710,True,1788,1871
Jean-Alexandre Coraboeuf,http://vocab.getty.edu/page/ulan/500029046,True,1870,1947
Jean-Charles Cazin,http://vocab.getty.edu/page/ulan/500002204,True,1841,1901
Jean-Désiré Ringel D'Illzach,http://vocab.getty.edu/page/ulan/500081982,False,1847,1916
Jean-Emile Laboureur,http://vocab.getty.edu/page/ulan/500024072,True,1887,1947
Jean-Ferdinand Chaigneau,http://vocab.getty.edu/page/ulan/500002709,True,1830,1906
Jean-François-Pierre Peyron,http://vocab.getty.edu/page/ulan/500010048,True,1744,1814
Jean-Jacques De Boissieu,http://vocab.getty.edu/page/ulan/500026206,True,1736,1810
Jean-Louis Boussingault,http://vocab.getty.edu/page/ulan/500077061,True,1883,1943
Jean-Louis Bremond,http://vocab.getty.edu/page/ulan/500538271,False,1858,1943
Jean-Louis Forain,http://vocab.getty.edu/page/ulan/500115211,True,1852,1931
John Lavery,http://vocab.getty.edu/page/ulan/500000428,False,1856,1941
Josef Danilowatz,http://vocab.getty.edu/page/ulan/500426697,True,1877,1945
Josef Eberz,http://vocab.getty.edu/page/ulan/500001465,False,1880,1942
Josef Stoitzner,http://vocab.getty.edu/page/ulan/500174146,False,1884,1951
Josef Von Diveky,http://vocab.getty.edu/page/ulan/500135229,False,1887,1951
Joseph Félon,http://vocab.getty.edu/page/ulan/500096167,True,1818,1896
Joseph Israëls,http://vocab.getty.edu/page/ulan/500012980,True,1824,1911
Joseph Sattler,http://vocab.getty.edu/page/ulan/500001463,True,1867,1931
Joseph Uhl,http://vocab.getty.edu/page/ulan/500335075,True,1877,1945
Joseph-Victor Roux-Champion,http://vocab.getty.edu/page/ulan/500088661,True,1871,1953
Juan Gris,http://vocab.getty.edu/page/ulan/500015362,True,1887,1927
Jules Bastien-Lepage,http://vocab.getty.edu/page/ulan/500015744,True,1848,1884
Jules Chadel,http://vocab.getty.edu/page/ulan/500130184,True,1870,1941
Jules Elie Delaunay,http://vocab.getty.edu/page/ulan/500023462,False,1828,1891
Jules François,http://vocab.getty.edu/page/ulan/500298211,True,1809,1861
Jules Héreau,http://vocab.getty.edu/page/ulan/500041276,True,1839,1879
Jules Louis Philippe Coignet,http://vocab.getty.edu/page/ulan/500015282,True,1798,1860
Jules Pascin,http://vocab.getty.edu/page/ulan/500028526,True,1885,1930
Jules-Bertrand Gélibert,http://vocab.getty.edu/page/ulan/500044751,False,1834,1916
Julien Celos,http://vocab.getty.edu/page/ulan/500041373,False,1884,1953
Justin J. Gabriel,http://vocab.getty.edu/page/ulan/500062852,True,1838,1923
Karl Alexander Brendel,http://vocab.getty.edu/page/ulan/500423247,True,1877,1945
Karl Biese,http://vocab.getty.edu/page/ulan/500110041,True,1863,1926
Karl Stauffer-Bern,http://vocab.getty.edu/page/ulan/500000670,True,1857,1891
Keisen Tomita,http://vocab.getty.edu/page/ulan/500123387,False,1879,1936
Kurt Schwitters,http://vocab.getty.edu/page/ulan/500026542,False,1887,1948
Leo Von König,http://vocab.getty.edu/page/ulan/500007527,False,1871,1944
Lodovico Ottavio Burnacini,http://vocab.getty.edu/page/ulan/500007823,False,1636,1707
Lothar Von Seebach,http://vocab.getty.edu/page/ulan/500171144,True,1853,1930
Louis Braquaval,http://vocab.getty.edu/page/ulan/500032400,False,1860,1919
Louis Ferdinand Antoni,http://vocab.getty.edu/page/ulan/500078032,False,1872,1940
Louis Huvey,http://vocab.getty.edu/page/ulan/500147429,False,1868,1954
Louis Legrand,http://vocab.getty.edu/page/ulan/500022826,True,1863,1951
Louis Marcoussis,http://vocab.getty.edu/page/ulan/500022494,True,1883,1941
Louis Pierre Rigal,http://vocab.getty.edu/page/ulan/500166359,False,1888,1953
Louis Tauzin,http://vocab.getty.edu/page/ulan/500095178,False,1842,1915
Louis Valtat,http://vocab.getty.edu/page/ulan/500026675,True,1869,1952
Louis-Joseph Soulas,http://vocab.getty.edu/page/ulan/500100991,True,1905,1954
Louis-Marie Désiré-Lucas,http://vocab.getty.edu/page/ulan/500077296,True,1869,1949
Louis-Robert Antral,http://vocab.getty.edu/page/ulan/500092898,True,1895,1939
Louise Hervieu,http://vocab.getty.edu/page/ulan/500062790,False,1878,1954
Luc Albert Moreau,http://vocab.getty.edu/page/ulan/500020193,True,1882,1948
Luc-Olivier Merson,http://vocab.getty.edu/page/ulan/500005821,False,1846,1920
Lucien Marcelin Gautier,http://vocab.getty.edu/page/ulan/500109817,True,1850,1925
Lucien Simon,http://vocab.getty.edu/page/ulan/500015751,False,1861,1945
Ludwig Michalek,http://vocab.getty.edu/page/ulan/500048688,True,1859,1942
Ludwig Von Hofmann,http://vocab.getty.edu/page/ulan/500023286,True,1861,1945
László Moholy-Nagy,http://vocab.getty.edu/page/ulan/500004274,True,1895,1946
Léo Drouyn,http://vocab.getty.edu/page/ulan/500074933,True,1816,1896
Léon Gaucherel,http://vocab.getty.edu/page/ulan/500080402,True,1816,1886
Léon Lhermitte,http://vocab.getty.edu/page/ulan/500019500,True,1844,1925
Léopold Flameng,http://vocab.getty.edu/page/ulan/500015671,True,1831,1911
Manuel Robbe,http://vocab.getty.edu/page/ulan/500041638,True,1872,1936
Marc Henry,http://vocab.getty.edu/page/ulan/500043363,False,1873,1922
Marcel-Lenoir,http://vocab.getty.edu/page/ulan/500003426,True,1872,1931
Marten Van Der Loo,http://vocab.getty.edu/page/ulan/500154347,False,1880,1920
Matthaüs Schiestl,http://vocab.getty.edu/page/ulan/500089195,False,1869,1939
Maurice Asselin,http://vocab.getty.edu/page/ulan/500005596,True,1882,1947
Maurice Bompard,http://vocab.getty.edu/page/ulan/500069240,False,1857,1935
Maurice Réalier-Dumas,http://vocab.getty.edu/page/ulan/500050500,False,1860,1928
Max Arthur Stremel,http://vocab.getty.edu/page/ulan/500354180,True,1859,1928
Max Pechstein,http://vocab.getty.edu/page/ulan/500032015,True,1881,1955
Max Suppantschitsch,http://vocab.getty.edu/page/ulan/500086248,True,1865,1953
Maxime Lalanne,http://vocab.getty.edu/page/ulan/500022662,True,1827,1886
Maxime Maufra,http://vocab.getty.edu/page/ulan/500020892,True,1861,1918
Maximilian Kurzweil,http://vocab.getty.edu/page/ulan/500049222,True,1867,1916
Michel Cazin,http://vocab.getty.edu/page/ulan/500051837,True,1869,1917
Michel-Amédée Besnus,http://vocab.getty.edu/page/ulan/500530918,True,1831,1909
Newton Fielding,http://vocab.getty.edu/page/ulan/500029461,True,1799,1856
Nicolas Victor Fonville,http://vocab.getty.edu/page/ulan/500139222,True,1805,1856
Norbert Goeneutte,http://vocab.getty.edu/page/ulan/500003234,True,1854,1894
Noël Cochin,http://vocab.getty.edu/page/ulan/500090702,True,1622,1695
Oskar Laske,http://vocab.getty.edu/page/ulan/500025013,True,1874,1951
Oskar Schlemmer,http://vocab.getty.edu/page/ulan/500010968,True,1888,1943
Otto Eckmann,http://vocab.getty.edu/page/ulan/500023944,True,1865,1902
Otto Freundlich,http://vocab.getty.edu/page/ulan/500030544,False,1878,1943
Otto Hettner,http://vocab.getty.edu/page/ulan/500103843,False,1875,1931
Otto Lange,http://vocab.getty.edu/page/ulan/500082066,True,1879,1944
Otto Richard Bossert,http://vocab.getty.edu/page/ulan/500427939,True,1874,1919
Otto Ubbelohde,http://vocab.getty.edu/page/ulan/500109748,True,1867,1922
Paul Baudry,http://vocab.getty.edu/page/ulan/500021687,False,1828,1886
Paul Baum,http://vocab.getty.edu/page/ulan/500032885,True,1859,1932
Paul Bornet,http://vocab.getty.edu/page/ulan/500330973,True,1878,1949
Paul Elie Ranson,http://vocab.getty.edu/page/ulan/500029480,True,1864,1909
Paul Huet,http://vocab.getty.edu/page/ulan/500010823,True,1803,1869
Paul Leschhorn,http://vocab.getty.edu/page/ulan/500614620,False,1876,1951
Paul Neuenborn,http://vocab.getty.edu/page/ulan/500159220,True,1866,1913
Paul Paeschke,http://vocab.getty.edu/page/ulan/500000034,True,1875,1943
Paul Serusier,http://vocab.getty.edu/page/ulan/500029078,False,1864,1927
Paul Welsch,http://vocab.getty.edu/page/ulan/500110047,True,1889,1954
Paul-Emile Colin,http://vocab.getty.edu/page/ulan/500057282,False,1882,1949
Peter Von Halm,http://vocab.getty.edu/page/ulan/500031305,True,1854,1923
Pierre Cottin,http://vocab.getty.edu/page/ulan/500099680,True,1823,1886
Pierre Emile Berthélemy,http://vocab.getty.edu/page/ulan/500191794,True,1818,1894
Pierre Eugène Vibert,http://vocab.getty.edu/page/ulan/500056341,False,1875,1937
Pierre Fritel,http://vocab.getty.edu/page/ulan/500140118,False,1853,1942
Pierre Gatier,http://vocab.getty.edu/page/ulan/500031780,True,1878,1944
Pierre Girieud,http://vocab.getty.edu/page/ulan/500029188,False,1876,1948
Pierre Gusman,http://vocab.getty.edu/page/ulan/500095556,True,1862,1942
Pierre Marie Louis Vidal,http://vocab.getty.edu/page/ulan/500124472,True,1849,
Pierre Roy,http://vocab.getty.edu/page/ulan/500007189,True,1880,1950
Raoul Du Gardier,http://vocab.getty.edu/page/ulan/500020907,True,1871,1952
Raphaël Schwartz,http://vocab.getty.edu/page/ulan/500616144,True,1884,1942
René Pinard,http://vocab.getty.edu/page/ulan/500092035,True,1883,1938
René Xavier Prinet,http://vocab.getty.edu/page/ulan/500049725,False,1861,1946
René-Georges Hermann-Paul,http://vocab.getty.edu/page/ulan/500124791,True,1864,1940
Ricardo De Los Rios,http://vocab.getty.edu/page/ulan/500035750,True,1846,1929
Richard Brunck De Freundeck,http://vocab.getty.edu/page/ulan/500097654,True,1899,1949
Richard Lux,http://vocab.getty.edu/page/ulan/500496146,True,1877,1939
Robert Bonnart,http://vocab.getty.edu/page/ulan/500041297,True,1652,1733
Robert Hills,http://vocab.getty.edu/page/ulan/500002820,True,1769,1844
Rodolphe Bresdin,http://vocab.getty.edu/page/ulan/500018116,True,1822,1885
Roger De La Fresnaye,http://vocab.getty.edu/page/ulan/500013022,False,1885,1925
Rosa Bonheur,http://vocab.getty.edu/page/ulan/500014964,False,1822,1899
Rudolf Baschant,http://vocab.getty.edu/page/ulan/500469994,False,1897,1955
Rudolf Jettmar,http://vocab.getty.edu/page/ulan/500109456,False,1869,1939
Rupert Charles Bunny,http://vocab.getty.edu/page/ulan/500019355,True,1864,1947
Suzanne Valadon,http://vocab.getty.edu/page/ulan/500032597,True,1865,1938
Tancrède Abraham,http://vocab.getty.edu/page/ulan/500072566,True,1836,1895
Theo Van Doesburg,http://vocab.getty.edu/page/ulan/500007926,True,1883,1931
Thomas Theodor Heine,http://vocab.getty.edu/page/ulan/500031323,True,1867,1948
Théodore Maurisset,http://vocab.getty.edu/page/ulan/500118849,True,1803,1860
Théodore Valerio,http://vocab.getty.edu/page/ulan/500011476,True,1819,1879
Théodule Ribot,http://vocab.getty.edu/page/ulan/500029651,True,1823,1891
Théophile Chauvel,http://vocab.getty.edu/page/ulan/500049897,True,1831,1909
Tony Beltrand,http://vocab.getty.edu/page/ulan/500524811,True,1847,1904
