artist,alias,canonical,sharedWorks,runnerUp,aliasAsPrinted,canonicalAsPrinted,addedOn
Georges Rouault,chapon,chaponrouault,3,0,Chapon,Chapon Rouault,2026-09-13
Giovanni Battista Piranesi,h,hind,3,0,H.,Hind,2026-09-13
Grant Wood,c,cole,11,0,C.,Cole,2026-09-13
Helen Frankenthaler,h,harrison,4,0,H.,Harrison,2026-09-13
Henri Matisse,d,duthuit,19,2,D.,Duthuit,2026-09-13
Henri de Toulouse-Lautrec,adr,adriani,7,0,Adr.,Adriani,2026-09-13
Henri de Toulouse-Lautrec,d,delteil,10,0,D.,Delteil,2026-09-13
Henri de Toulouse-Lautrec,w,wittrock,15,0,W.,Wittrock,2026-09-13
Henry Moore,cramer,cramergrantmitchinson1973,30,0,Cramer,"Cramer, Grant & Mitchinson 1973",2026-09-13
Howard Hodgkin,h,heenk,8,0,H.,Heenk,2026-09-13
James Abbott McNeill Whistler,k,kennedy,20,0,K.,Kennedy,2026-09-13
James Jacques Joseph Tissot,w,wentworth,12,0,W.,Wentworth,2026-09-13
James Rosenquist,g,glenn,13,2,G.,Glenn,2026-09-13
Jasper Johns,f,field,4,0,F.,Field,2026-09-13
Jasper Johns,g,gemini,8,0,G.,Gemini,2026-09-13
Jean-François Millet,m,melot,3,0,M.,Melot,2026-09-13
Joan Miró,d,dupin,34,0,D.,Dupin,2026-09-13
Joan Miró,m,mourlot,25,5,M.,Mourlot,2026-09-13
John Baldessari,h,hurowitz,4,0,H.,Hurowitz,2026-09-13
John Piper,l,levinson,3,0,L.,Levinson,2026-09-13
John Steuart Curry,c,cole,4,0,C.,Cole,2026-09-13
John Taylor Arms,f,fletcher,3,0,F.,Fletcher,2026-09-13
Josef Albers,d,danilowitz,8,0,D.,Danilowitz,2026-09-13
Jules Chéret,b,broido,3,0,B.,Broido,2026-09-13
Keith Haring,lp,littmannp,5,1,L. p.,Littmann p.,2026-09-13
Käthe Kollwitz,k,klipstein,3,0,K.,Klipstein,2026-09-13
Louis Icart,hci,hollandcataniaisen,4,0,"H., C. & I.","Holland, Catania & Isen",2026-09-13
Lucian Freud,h,hartley,3,0,H.,Hartley,2026-09-13
Marc Chagall,m,mourlot,37,0,M.,Mourlot,2026-09-13
Marc Chagall,v,vollard,9,0,V.,Vollard,2026-09-13
Martin Lewis,m,mccarron,8,0,M.,McCarron,2026-09-13
Maurits Cornelis Escher,b,bool,7,0,B.,Bool,2026-09-13
Pablo Picasso,b,bloch,82,8,B.,Bloch,2026-09-13
Pablo Picasso,ba,baer,58,0,Ba.,Baer,2026-09-13
Pablo Picasso,cz,czwiklitzer,7,0,Cz.,Czwiklitzer,2026-09-13
Pablo Picasso,m,mourlot,22,1,M.,Mourlot,2026-09-13
Pierre-Auguste Renoir,d,delteilstella,12,2,D.,Delteil/Stella,2026-09-13
Pierre-Auguste Renoir,delteil,delteilstella,9,0,Delteil,Delteil/Stella,2026-09-13
Rembrandt van Rijn,bartsch,bartschhollstein,5,0,Bartsch,"Bartsch, Hollstein",2026-09-13
Rembrandt van Rijn,h,hind,7,0,H.,Hind,2026-09-13
Rembrandt van Rijn,newholl,newhollstein,29,0,New Holl.,New Hollstein,2026-09-13
René Magritte,kb,kaplanbaum,3,0,K. & B.,Kaplan & Baum,2026-09-13
Richard Estes,ap,arthurp,5,0,A./P.,Arthur p.,2026-09-13
Richard Hamilton,lullin,lullin2003,9,0,Lullin,Lullin 2003,2026-09-13
Robert Indiana,s,sheehan,4,0,S.,Sheehan,2026-09-13
Robert Motherwell,b,belknap,14,0,B.,Belknap,2026-09-13
Robert Motherwell,eb,engbergbanach,15,2,E./B.,Engberg & Banach,2026-09-13
Robert Rauschenberg,g,gemini,5,1,G.,Gemini,2026-09-13
Rockwell Kent,bj,burnejones,3,0,B-J.,Burne-Jones,2026-09-13
Roy Lichtenstein,c,corlett,43,2,C.,Corlett,2026-09-13
Roy Lichtenstein,g,gemini,7,0,G.,Gemini,2026-09-13
Rufino Tamayo,p,pereda,22,0,P.,Pereda,2026-09-13
Sam Francis,l,lembarkl,20,0,L.,Lembark L.,2026-09-13
Sam Francis,lembark,lembarkl,4,0,Lembark,Lembark L.,2026-09-13
Thomas Hart Benton,f,fath,27,0,F.,Fath,2026-09-13
Tsuguharu Foujita,b,buisson,5,0,B.,Buisson,2026-09-13
Winslow Homer,g,goodrich,3,0,G.,Goodrich,2026-09-13
