canon,dup,keepName,evidence,addedOn
Maurits Cornelis Escher,M.C. Escher,,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.953, name relation tokenSubset; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13
Lynn Chadwick,Lynne Chadwick,,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9501, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Brassaï,Brassai photograph: Untitled,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9997, name relation tokenSubset; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Antony Gormley,Anthony Gormley,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9916, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Werner Pawlok,Werner Pawlock,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9891, name relation oneTokenDiffers; birth year agrees on both sides; survivor is the correct spelling",2026-09-13
CB Hoyo,C.B Hoyo,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9824, name relation tokenSubset; birth year absent on one side; survivor holds the larger body of work",2026-09-13
Sonia Delaunay,Sonia Delauney,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9772, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Francis Picabia,Francis Picarbia,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9642, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Thierry Noir and Stik,STIK and Thierry Noir,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9605, name relation sameTokens; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13
Giovanni Battista Piranesi,Giovanni Batista Piranesi,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9588, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Christopher Le Brun PPRA,Christopher Le Brun,Christopher Le Brun,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9564, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Hendrick Goltzius,Hendrik Goltzius,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9543, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13
Maximilian Kurzweil,Max Kurzweil,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9495, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Yinka Shonibare,YinkaShonibare,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9478, name relation spellingNearMiss; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Henri de Toulouse-Lautrec,Henri Toulouse Lautrec,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9464, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Maya Hayuk,MayaHayuk,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9448, name relation spellingNearMiss; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13
Alexander Archipenko,Alexandre Archipenko,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9433, name relation oneTokenDiffers; birth year absent on one side; survivor holds the larger body of work",2026-09-13
James Jacques Joseph Tissot,J J J Tissot,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9423, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Eduardo Paolozzi,Eduardo Luigi Paolozzi KBE,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9409, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Tunji Adeniyi-Jones,Tunyi Adenyi-Jones,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9361, name relation spellingNearMiss; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Graham Sutherland,Graham Sutherand,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9328, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Salvador Dalí,Salvador DaIí,,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9305, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
