route,artistA,artistB,sharedImages,maxCos,medianCos,worksA,worksB,nameRelation,familyNameRisk,ulanA,ulanB,bornA,bornB,diedA,diedB,datesAgree,exampleTitleA,exampleTitleB,exampleWorkA,exampleWorkB
nameVariant,Nicholas Party,Nicolas Party,2,0.9735,0.9581,1,12,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500463945,1980,1980,,,1,Portrait,Portrait,forum-131506,forum-95746
nameVariant,Publisher: Dr Robert Thornton,Robert John Thornton,2,0.9706,0.9631,10,15,oneTokenDiffers,1,,,,1768,,1837,0,"The Night Blooming Cereus, pl. XIV, from The Temple Of Flora",The Night blowing Cereus from Temple of Flora,"bonhams-cw-Robert_John_Thornton-D._310,_p.-247-the_night_blooming_cereus_pl_xiv_from_the_temple_of_flora",bonhams-14453-47
nameVariant,Bernard Howell Leach,Bernard Leach Study for a Pot,2,0.9662,0.9643,16,1,oneTokenDiffers,1,http://vocab.getty.edu/ulan/500018779,,1887,,1979,,0,"Drawing for a Pot, from Penwith",Drawing for a Pot,bonhams-20091-8283,tate-P06359
nameVariant,Yoshitomo Nara & Hiroshi Sugimoto,Yoshitomo Nara and Hiroshi Sugito,2,0.9629,0.9628,1,2,oneTokenDiffers,0,,,1959,1959,,,1,Untitled,Untitled,bonhams-21601-123,roseberys-a0650-lot327
nameVariant,M.C. Escher,Maurits Cornelis Escher,2,0.953,0.9418,3,57,tokenSubset,0,,,1898,1898,1972,1972,1,Sky and Water I (Lucht en Water I),Sky and Water I (Bool 306),bonhams-cw-Maurits_Cornelis_Escher-B.-306-sky_and_water_i_lucht_en_water_i,forum-33197
nameVariant,Lynn Chadwick,Lynne Chadwick,2,0.9501,0.9444,73,1,oneTokenDiffers,0,http://vocab.getty.edu/ulan/500029409,,1914,,2003,,0,Standing figure,Figure IV,bonhams-10619-138,tate-P06070
nameVariant,Teruko Yokoi,Tomoe Yokoi,1,0.9997,0.9997,1,3,oneTokenDiffers,1,,http://vocab.getty.edu/ulan/500479854,,1942,,,0,Corn and Pepper,"Corn and Pepper, c.",bonhams-13219-4122,bonhams-13230-5134
nameVariant,John James Audubon,John Woodhouse Audubon,1,0.9997,0.9997,179,5,oneTokenDiffers,1,,,1785,1812,1851,1862,0,Swift Fox (Pl. LII),Swift Fox (Pl. LII),bonhams-17097-25,bonhams-18399-7109
nameVariant,Brassai photograph: Untitled,Brassaï,1,0.9997,0.9997,1,27,tokenSubset,0,,http://vocab.getty.edu/ulan/500000306,1899,1899,1984,1984,1,"Transvestites at Mardi Gras, at Bal de la Montagne Sainte-Geneviève, c.","Transvestites at Mardi Gras, at Bal de la Montagne Sainte-Geneviève, c.",bonhams-23168-11,bonhams-29179-125
nameVariant,Jacques Villon,Jacques Villon Pablo Picasso,1,0.9997,0.9997,143,1,tokenSubset,1,http://vocab.getty.edu/ulan/500003616,,1875,1875,1963,1963,1,Maternité,Maternité,roseberys-a0662-lot98,roseberys-a0662-lot98
nameVariant,Anthony Gormley,Antony Gormley,1,0.9916,0.9916,2,107,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500008600,1950,1950,,,1,Snowfall,Snowfall,bonhams-13953-205,forum-33213
nameVariant,June Calypso,Juno Calypso,1,0.9901,0.9901,1,8,oneTokenDiffers,1,,,1989,1989,,,1,Milk,Milk,forum-112901,roseberys-a0571-lot223
nameVariant,Werner Pawlock,Werner Pawlok,1,0.9891,0.9891,1,1,oneTokenDiffers,0,,,1953,1953,,,1,"Untitled, from Columbus - In Search of a New Tomorrow",Gorilla,forum-148590,forum-61577
nameVariant,Ronald Searle,Ronald William Fordham Searle,1,0.9851,0.9851,35,11,tokenSubset,1,http://vocab.getty.edu/ulan/500015772,,1920,,2011,,0,Nobody wants me,Noboby wants me,bonhams-11968-118,bonhams-11229-176
nameVariant,Cat Phillips & Peter Kennard,Kennard Phillips (Peter Kennard and Cat Phillips),1,0.9838,0.9838,1,3,tokenSubset,1,,,1949,1949,,,1,Photo Op,Photo Op,roseberys-a0642-lot236,forum-164782
nameVariant,C.B Hoyo,CB Hoyo,1,0.9824,0.9824,1,7,tokenSubset,0,,,1955,1995,,,0,Do Whatever the Fuck Makes You Happy,Do Whatever The Fuck Makes You Happy,roseberys-a0592-lot81,roseberys-a0612-lot496
nameVariant,Sonia Delaunay,Sonia Delauney,1,0.9772,0.9772,257,2,oneTokenDiffers,0,http://vocab.getty.edu/ulan/500115510,,1885,1885,1979,1979,1,"Untitled (Grande Composition), c.",Grande icône,bonhams-15403-80,forum-141587
nameVariant,CLIENT HAS PAID FOR PLASTIC SLEEVE TO STAY WITH LOT FOR TRANSIT Sir Terry Frost,Terry Frost,1,0.9715,0.9715,1,411,tokenSubset,1,,http://vocab.getty.edu/ulan/500115620,1915,1915,2003,2003,1,Tide Up Newlyn,Tide Up Newlyn [Kemp 140],bonhams-cw-Terry_Frost_R.A-Kemp-140-tide_up_newlyn,roseberys-cw-CLIENT_HAS_PAID_FOR_PLASTIC_SLEEVE_TO_STAY_WITH_LOT_FOR_TRANSIT_Sir_Terry_Frost-Kemp-140-tide_up_newlyn_kemp_140
nameVariant,John Sperling,Josh Sperling,1,0.9708,0.9708,1,6,oneTokenDiffers,1,,,1984,1984,,,1,Birds of Paradise,Birds of Paradise,forum-76016,roseberys-a0587-lot145
nameVariant,Christopher R. W. Nevinson ARA,Christopher Richard Wynne Nevinson ARA,1,0.9674,0.9674,1,200,tokenSubset,1,,http://vocab.getty.edu/ulan/500031355,1889,1889,1946,1946,1,Greenwich Reach,Greenwich Reach,roseberys-a0445-lot6,roseberys-a0445-lot6
nameVariant,Francis Picabia,Francis Picarbia,1,0.9642,0.9642,10,1,oneTokenDiffers,0,http://vocab.getty.edu/ulan/500006325,,1879,,1953,,0,Harbour view with Rowing Boats,Les barques aux Martigues,bonhams-11965-349,navigart18-AME_535
nameVariant,Allen William Seaby,William Seaby,1,0.9631,0.9631,1,2,tokenSubset,1,http://vocab.getty.edu/ulan/500048147,,1867,,1953,,0,Peacock,Peacock,bonhams-10619-340,roseberys-a0743-lot85
nameVariant,Muirhead Bone,Muirhead Bone HRWS HARIBA HRE LLB D Litt,1,0.9618,0.9618,419,2,tokenSubset,1,http://vocab.getty.edu/ulan/500000110,,1876,1867,1953,1953,0,Joseph Conrad listening to music,"Joseph Conrad, listening to music",bm-cw-Sir_Muirhead_Bone-Dodgson_1909-385.V-joseph_conrad_listening_to_music,bonhams-cw-Muirhead_Bone_HRWS_HARIBA_HRE_LLB_D_Litt-Campbell_Dodgson-385-joseph_conrad_listening_to_music
nameVariant,STIK and Thierry Noir,Thierry Noir and Stik,1,0.9605,0.9605,1,2,sameTokens,0,,,1958,1958,,,1,Imperial War Museum London Poster,Wall,forum-132372,roseberys-a0550-lot710
nameVariant,Giovanni Batista Piranesi,Giovanni Battista Piranesi,1,0.9588,0.9588,1,1029,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500114965,,1720,,1778,0,St Peter's with forecourt and colonnades. Birds-eye view,"Vue de la basilique vaticane, de son portique spacieux et de la place",bonhams-cw-Giovanni_Batista_Piranesi-Hind-120-st_peter_s_with_forecourt_and_colonnades_birds_eye_view,navigart24-2006.0.758
nameVariant,Christopher Le Brun,Christopher Le Brun PPRA,1,0.9564,0.9564,1,67,tokenSubset,0,,http://vocab.getty.edu/ulan/500031676,,1951,,,0,From the 'Seven Lithographs' series,[no title],roseberys-a0793-lot187,tate-P77295
nameVariant,Hendrick Goltzius,Hendrik Goltzius,1,0.9543,0.9543,6,6,oneTokenDiffers,0,,,1558,1558,1617,1617,1,Pieta - Lamentation of the Virgin,Pietà,bonhams-cw-Hendrik_Goltzius-Bartsch-41-pieta_lamentation_of_the_virgin,bonhams-cw-Hendrick_Goltzius-Bartsch-41-piet
nameVariant,John Sloan,John Sloan Santa Fe Family etching;,1,0.9516,0.9516,32,1,tokenSubset,1,,,1871,,1951,,0,Santa Fe Family,Santa Fe Family,bonhams-cw-John_Sloan_Santa_Fe_Family_etching;-M.-302-santa_fe_family,bonhams-cw-John_Sloan-M.-302-santa_fe_family
nameVariant,Kasimir Malevich,Kasimir Severinovich Malevich,1,0.9506,0.9506,8,2,tokenSubset,1,http://vocab.getty.edu/ulan/500004959,,1879,1878,1935,1935,0,Portrait of a female,Portrait of a Female,forum-135539,roseberys-a0724-lot284
nameVariant,Max Kurzweil,Maximilian Kurzweil,1,0.9495,0.9495,1,1,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500049222,1867,1867,1916,1916,1,Der Polster,Der Polster (Le Coussin),bonhams-cw-Max_Kurzweil-P.-154-der_polster,navigart25-55.2014.0.77
nameVariant,Brainwash (French b. 1966-) &,Mr Brainwash,1,0.9495,0.9495,1,124,tokenSubset,0,,http://vocab.getty.edu/ulan/500726140,,1966,,,0,"Not Guilty (Orange), 2011; Faith and Confidence",Not Guilty (Orange),roseberys-cw-Brainwash_(French_b._1966-)_&-French_b.-1966--not_guilty_orange_2011_faith_and_confidence,roseberys-a0731-lot335
nameVariant,Brett Weston,Edward Weston,1,0.9481,0.9481,75,78,oneTokenDiffers,1,,,1911,1886,1993,1958,0,"Dunes, Oceano","Dunes, Oceano",bonhams-24269-34,bonhams-24612-28
nameVariant,Yinka Shonibare,YinkaShonibare,1,0.9478,0.9478,14,1,spellingNearMiss,0,http://vocab.getty.edu/ulan/500057413,,1962,,,,0,Aristocrat in Blue,Aristocrat in Blue,roseberys-a0503-lot310,roseberys-a0571-lot350
nameVariant,Henri Toulouse Lautrec,Henri de Toulouse-Lautrec,1,0.9464,0.9464,1,259,tokenSubset,0,,http://vocab.getty.edu/ulan/500029114,,1864,,1901,0,Jane Avril,Jane Avril,bonhams-cw-Henri_Toulouse_Lautrec-Wittrock-18-jane_avril,bonhams-cw-Henri_de_Toulouse-Lautrec-W.-18-jane_avril
nameVariant,Maya Hayuk,MayaHayuk,1,0.9448,0.9448,4,1,spellingNearMiss,0,,,1969,1969,,,1,CHEM TRAILS NYC,Chem Trails (Bowery Wall) NYC,roseberys-a0368-lot383,roseberys-a0427-lot322
nameVariant,Alexander Archipenko,Alexandre Archipenko,1,0.9433,0.9433,4,3,oneTokenDiffers,0,,,1887,,1964,,0,"Zwei Weibliche Akte,  from Bauhaus-Drucke Neue Europäische Graphik",(Sans titre),bonhams-cw-Alexander_Archipenko-K.-25-zwei_weibliche_akte_from_bauhaus_drucke_neue_europ_ische_graphik,navigart15-AM_81-65-846__2_
nameVariant,J J J Tissot,James Jacques Joseph Tissot,1,0.9423,0.9423,1,119,tokenSubset,0,,http://vocab.getty.edu/ulan/500010633,,1836,,1902,0,Renee Maurepin,Boissorand de Villacourt provoque en duel Henri Mauperin,bonhams-cw-J_J_J_Tissot-Wentworth-66-renee_maurepin,navigart11-3872
nameVariant,Eduardo Luigi Paolozzi KBE,Eduardo Paolozzi,1,0.9409,0.9409,2,550,tokenSubset,0,,http://vocab.getty.edu/ulan/500027981,,1924,,2005,0,"A logical picture of facts, nine headshots","A logical picture of facts, nine headshots",roseberys-a0785-lot122,roseberys-a0785-lot122
nameVariant,Pablo Picasso,Picasso,1,0.9396,0.9396,3055,1,tokenSubset,0,http://vocab.getty.edu/ulan/500009666,,1881,1875,1973,1963,0,Les Saltimbanques,Les Saltimbanques,bonhams-cw-Pablo_Picasso-G./P.-E634-les_saltimbanques,bonhams-cw-Picasso-Ginestat_et_Pouillon-634-les_saltimbanques
nameVariant,Constantino Nivola,Costantino Nivola,1,0.9377,0.9377,1,1,oneTokenDiffers,1,,,1911,1911,1988,1988,1,City,"City, from America: The Third Century Portfolio",forum-53087,roseberys-a0571-lot383
nameVariant,Keith Haring,Keith Haring (American,1,0.9367,0.9367,320,1,tokenSubset,1,http://vocab.getty.edu/ulan/500024253,,1958,,1990,,0,Montreux Jazz Festival,Montreux Jazz Festival,roseberys-a0592-lot156,roseberys-a0673-lot425
nameVariant,Tunji Adeniyi-Jones,Tunyi Adenyi-Jones,1,0.9361,0.9361,9,2,spellingNearMiss,0,http://vocab.getty.edu/ulan/500780055,,1992,1992,,,1,"Blue Dive, Team GB Poster",Blue Dive 2023,roseberys-a0743-lot200,roseberys-a0766-lot203
nameVariant,Maurits Cornelis Escher,Maurits Escher,1,0.936,0.936,57,2,tokenSubset,1,,,1898,,1972,,0,Encounter,Encounter,bonhams-cw-Maurits_Escher-Bool-331-encounter,bonhams-cw-Maurits_Cornelis_Escher-Bool-331-encounter
nameVariant,Jacques Villon Pablo Picasso,Pablo Picasso,1,0.9359,0.9359,1,3055,tokenSubset,1,,http://vocab.getty.edu/ulan/500009666,1875,1881,1963,1973,0,Maternité [Ginestet/Pouillon 670],Maternité,roseberys-a0427-lot157,roseberys-a0662-lot98
nameVariant,Josef Herman,Joseph Herman,1,0.9346,0.9346,48,1,oneTokenDiffers,1,http://vocab.getty.edu/ulan/500010677,,1911,,2000,,0,Figures with Donkey,Dusk,bonhams-11438-239,tate-P06277
nameVariant,Marc Chagall,Marc Chagall . Charles Sorlier,1,0.9335,0.9335,1337,2,tokenSubset,1,http://vocab.getty.edu/ulan/500115354,,1887,1887,1985,1985,1,Saint Jean Cap Ferrat,Saint-Jean-Cap-Ferrat (Sorlier 4),bonhams-cw-Marc_Chagall-M._CS-4-saint_jean_cap_ferrat,forum-147162
nameVariant,Graham Sutherand,Graham Sutherland,1,0.9328,0.9328,1,243,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500001106,,1903,,1980,0,Clegyr Boia,Clegyr-Boia,bonhams-cw-Graham_Sutherand-Mann-37-clegyr_boia,bonhams-22574-68
nameVariant,Salvador DaIí,Salvador Dalí,1,0.9305,0.9305,5,985,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500009365,1904,1904,1989,1989,1,"Jinete, from Cadaqués i l'art (Field 78-4A; M&L 935l)",Cavaliers (Michler & Löpsinger 935),forum-135360,forum-85238
differentNames,Henry Deschamps,Pablo Picasso,4,0.9524,0.9453,1,3055,unrelated,0,,http://vocab.getty.edu/ulan/500009666,,1881,,1973,0,"Picasso 85 Gravures, Berggruen","Picasso 85 Gravures, Berggruen & Cie., Paris",bonhams-14453-438,bonhams-cw-Pablo_Picasso-Cz.-228-picasso_85_gravures_berggruen_cie_paris
differentNames,Andy Warhol,Keith Haring (American,3,0.9492,0.9377,1132,1,unrelated,0,http://vocab.getty.edu/ulan/500006031,,1928,,1987,,0,Montreux Jazz Festival,20th Montreux Jazz Festival,roseberys-a0673-lot425,bonhams-27493-132
differentNames,Laurence Stephen Lowry,Lowry Market Scene in a Northern town,2,0.9784,0.9637,478,1,partialOverlap,1,http://vocab.getty.edu/ulan/500022208,,1887,,1976,,0,Market Scene in Northern Town,Market Scene in a Northern Town,bonhams-25382-47,roseberys-a0710-lot3
differentNames,Mark Grotjahn,Takashi Murakami,2,0.9724,0.9661,1,389,unrelated,0,,http://vocab.getty.edu/ulan/500116211,,1962,,,0,Untitled,Untitled,bonhams-cw-Takashi_Murakami-Scarlet_Lake_and_Indigo_Blue_Butterfly-826-untitled,bonhams-cw-Mark_Grotjahn-Scarlet_Lake_and_Indigo_Blue_Butterfly-826-untitled
differentNames,James Abbott McNeill Whistler,Philip Gilbert Hamerton,2,0.9599,0.9557,239,2,unrelated,0,http://vocab.getty.edu/ulan/500012432,,1834,,1903,,0,Billingsgate,Etching and Etchers,bonhams-cw-James_Abbott_McNeill_Whistler-K.-47-billingsgate,bonhams-15671-44
differentNames,Jacques Villon,Picasso,2,0.9583,0.9455,143,1,unrelated,0,http://vocab.getty.edu/ulan/500003616,,1875,1875,1963,1963,1,Les Saltimbanques,Les Saltimbanques,bonhams-cw-Picasso-Ginestat_et_Pouillon-634-les_saltimbanques,bonhams-cw-Jacques_Villon-Ginestet_&_Pouillon-634-les_saltimbanques
differentNames,Giovanni Battista Piranesi,Luigi Rossini,2,0.9574,0.954,1029,9,unrelated,0,http://vocab.getty.edu/ulan/500114965,,1720,1790,1778,1857,0,"Veduta del Pantheon di Agrippa, c.",Vue du panthéon (Ste Maria ad Martyres),bonhams-32306-37,navigart24-2006.0.702
differentNames,A. Lafette,Alphonse Lafitte,1,0.9997,0.9997,1,3,unrelated,0,,,,,,,0,Landscape with Stream,"Landscape with Stream, c.",bonhams-13087-3251,bonhams-13226-1212
differentNames,***Please note the images in this lot have been updated,Joe Tilson,1,0.9997,0.9997,1,262,unrelated,0,,http://vocab.getty.edu/ulan/500026599,,1928,,2023,0,Joe Tilson (1928-2023),3D Geometry,forum-141614,tate-P05164
differentNames,Hans,Jean,1,0.9996,0.9996,12,12,unrelated,0,,,,,,,0,"I, Rue Gabrielle","I, Rue Gabrielle",bonhams-26784-67,bonhams-27493-106
differentNames,Antony Micallef,Please note,1,0.9989,0.9989,25,2,unrelated,0,,,1975,,,,0,Bestial Descent,Bestial Descent,roseberys-a0662-lot225,roseberys-a0673-lot357
differentNames,Ben Schonzeit,James Crable,1,0.9987,0.9987,17,17,unrelated,0,http://vocab.getty.edu/ulan/500032146,,1942,1939,,2002,0,Cross Current,"Rockville Plaza, Maryland",bonhams-19248-2198,bonhams-19248-2175
differentNames,Death NYC,Tracey Emin,1,0.9987,0.9987,1,402,unrelated,0,,http://vocab.getty.edu/ulan/500057399,1979,1963,,,0,Sonic the Hedgehog,"Remember Easter is not just for Christmas, it's for life",forum-80689,forum-80690
differentNames,Antonio da Trento,Salviati,1,0.9982,0.9982,6,1,unrelated,0,,,,,,,0,Honours Rendered to Pysche,Honours Rendered to Pysche,bonhams-cw-Salviati-Bartsch-26i/ii-honours_rendered_to_pysche,bonhams-cw-Antonio_da_Trento-Bartsch-26-honours_rendered_to_pysche
differentNames,Hans,Jean (Hans) Arp,1,0.9935,0.9935,12,69,unrelated,0,,,,1887,,1966,0,Le Voilier dans la fôret,Le Voilier dans la fôret,bonhams-15671-229,bonhams-15673-162
differentNames,Eddie Peake,Roy Lichtenstein,1,0.99,0.99,4,468,unrelated,0,,http://vocab.getty.edu/ulan/500013596,1981,1923,,1997,0,Sweat,Paper Plate,roseberys-a0550-lot599,bonhams-cw-Roy_Lichtenstein-Corlett-III.45-paper_plate
differentNames,Claude Garache,Richard Smith,1,0.9889,0.9889,13,140,unrelated,0,,http://vocab.getty.edu/ulan/500018299,,1931,,2016,0,Torse,"Proscenium I, II, III, IV",navigart14-FNAC_31664,roseberys-a0469-lot230
differentNames,Claude Garache,Erté (Romain de Tirtoff),1,0.9889,0.9889,13,117,unrelated,0,,http://vocab.getty.edu/ulan/500022996,,1892,,1990,0,Torse,"Earth, Water and Fire",navigart14-FNAC_31664,roseberys-a0368-lot207
differentNames,Aurelie Nemours,Richard Smith,1,0.9889,0.9889,100,140,unrelated,0,,http://vocab.getty.edu/ulan/500018299,,1931,,2016,0,Plein noir,"Proscenium I, II, III, IV",navigart18-AMVP_2963__9_,roseberys-a0469-lot230
differentNames,Aurelie Nemours,Erté (Romain de Tirtoff),1,0.9889,0.9889,100,117,unrelated,0,,http://vocab.getty.edu/ulan/500022996,,1892,,1990,0,Plein noir,"Earth, Water and Fire",navigart18-AMVP_2963__9_,roseberys-a0368-lot207
differentNames,John Minton,Lucian Freud,1,0.984,0.984,10,80,unrelated,0,,http://vocab.getty.edu/ulan/500116243,1917,1922,1957,2011,0,John Minton,"Lucian Freud, a portrait",bonhams-27494-142,roseberys-a0724-lot54
differentNames,Gaston de Latenay,James Brown,1,0.9808,0.9808,19,4,unrelated,0,,,1859,1951,1940,,0,Own Nothingness,The Pond,bonhams-19411-2120,bonhams-19411-2132
differentNames,Francois Morellet,Olivier Mosset,1,0.9772,0.9772,31,8,unrelated,0,http://vocab.getty.edu/ulan/500014331,,1920,,2016,,0,96003E Sans titre,(Sans titre),navigart11-2011.3.536.E,navigart11-2011.3.544.E
differentNames,R.I.O.T (Reclamation in our time),Stik,1,0.9715,0.9715,1,55,unknown,0,,,,1979,,,0,"R.I.O.T, Reclamation in our time",British 21st Century,roseberys-a0673-lot631,roseberys-a0702-lot231
differentNames,Banksy,Nick Smith,1,0.9689,0.9689,428,59,unrelated,0,http://vocab.getty.edu/ulan/500126137,,1974,1984,,,0,"Banksy, Time Out",Time Out London poster,roseberys-a0395-lot230,roseberys-a0710-lot364
differentNames,Alan J. Shields,Romeyn de Hooghe,1,0.9678,0.9678,5,1,unrelated,0,,,1944,1645,,1708,0,Untitled (Imaginary place),Treasure Route II,bonhams-19051-2118,bonhams-19051-2141
differentNames,Godfrey Kneller,Thomas Tompion Print portrait,1,0.9573,0.9573,1,1,unrelated,0,,,,,,,0,Thomas Tompion Automatopaeus,Thomas Tompion Automatopoeus,bonhams-26033-48,bonhams-32330-142
differentNames,Mark Adams,Pablo Picasso,1,0.9531,0.9531,8,3055,unrelated,0,,http://vocab.getty.edu/ulan/500009666,1925,1881,2006,1973,0,Black Water Jar,Toros en Vallauris,bonhams-21803-3077,bonhams-cw-Pablo_Picasso-B.-1276-toros_en_vallauris
differentNames,Artists Various,Haralampi G. Oroschakoff,1,0.9522,0.9522,1,1,unrelated,0,,,,1955,,,0,"Untitled, from Columbus - In Search of a New Tomorrow",Untitled,forum-148585,forum-61610
differentNames,3D,Robert Del Naja (3D),1,0.9514,0.9514,1,7,unknown,0,,http://vocab.getty.edu/ulan/500472384,1965,1965,,,1,In Europe,In Europe,forum-135891,forum-95845
differentNames,Damien Hirst,Steve Pyke,1,0.9495,0.9495,733,1,unrelated,0,http://vocab.getty.edu/ulan/500057379,,1965,1957,,,0,The Skull Beneath the Skin,Extremitas,forum-39346,roseberys-a0724-lot352
differentNames,Charles Jeanneret,Le Corbusier (Charles-Edouard Jeanneret),1,0.9477,0.9477,7,42,unrelated,0,,http://vocab.getty.edu/ulan/500027041,,1887,,1965,0,Portrait,Portrait,bonhams-cw-Charles_Jeanneret-Weber-64-portrait,roseberys-a0612-lot9
differentNames,Robert John Thornton,Thornton: Temple of Flora,1,0.9459,0.9459,15,1,partialOverlap,1,,,1768,,1837,,0,"The Night-Blowing Cereus, by Dunkarton, pl. 14, from The Temple of Flora",The Night blowing Cereus,"bonhams-cw-Robert_John_Thornton-D._310,_p.-247-the_night_blowing_cereus_by_dunkarton_pl_14_from_the_temple_of_flora",bonhams-10619-87
differentNames,Damien Hirst,Ryan Callanan (RYCA),1,0.9453,0.9453,733,7,unrelated,0,http://vocab.getty.edu/ulan/500057379,,1965,1981,,,0,The Skull Beneath the Skin,Punk,forum-39346,forum-85118
differentNames,Philip Gilbert Hamerton,Rembrandt van Rijn,1,0.9428,0.9428,2,507,unrelated,0,,http://vocab.getty.edu/ulan/500011051,,1606,,1669,0,Etching and Etchers,Three Oriental figures (Jacob and Laban?),bonhams-15671-43,"bonhams-cw-Rembrandt_Harmensz_van_Rijn-Bartsch_118,_New_Hollstein-190-three_oriental_figures_jacob_and_laban"
differentNames,Publisher: Dr Robert Thornton,Robert John Thorton,1,0.9414,0.9414,10,3,partialOverlap,0,,,,,,,0,Tulips from Temple of Flora,"Tulips, by Earlom, from The Temple of Flora, c.",bonhams-14453-45,bonhams-26755-228
differentNames,A Small Collection,Old Master Print from Chatsworth.-,1,0.9413,0.9413,1,1,unrelated,0,,,,,,,0,Old Master Prints,Salvator Rosa (1615-1673),bonhams-10248-11,forum-82730
differentNames,Dorothea Tanning,Gottfried Honegger,1,0.9397,0.9397,35,25,unrelated,0,http://vocab.getty.edu/ulan/500000210,,1910,1917,2012,2016,0,(Sans titre),(Sans titre),navigart15-AM_2009-202__8_,navigart15-AM_2016-3__12_
differentNames,Durer Albrecht,Jean Wierix,1,0.9364,0.9364,2,1,unrelated,0,,,,,,,0,Melancolia,Copie de Melencolia I,bonhams-cw-Durer_Albrecht-MH-1556-melancolia,navigart24-43.1.334
differentNames,Aurelie Nemours,Pierre Alechinsky,1,0.9353,0.9353,100,318,unrelated,0,,http://vocab.getty.edu/ulan/500027985,,1927,,,0,Nuit poupre,(Sans titre),navigart14-FNAC_03-985,navigart15-AM_2013-121__10_
