institution,accessionNumber,title,rawMedium
Musée d'arts de Nantes,975.13.97.E,Faire-part de mariage,"Gravure sur soie, tirage sur papier Arches"
Musée d'arts de Nantes,975.13.94.E,Voeux 1968 - Odyssée 68,"Estampe, tirage sur mousse contrecollée sur papier"
Musée d'arts de Nantes,3070,Feu d'artifice dans un parc ?,Gravure
Musée d'arts de Nantes,3549,Fuite en Egypte,Xylogravure sur papier vergé filigrané
Musée d'arts de Nantes,3553,Bohémiens,Estampe sur papier vergé
Musée d'arts de Nantes,3552,Bohémiens,gravure/estampe
Musée d'arts de Nantes,986.3.34.E,Ensemble de seize gravures (sculptures antiques),
Musée d'arts de Nantes,3547,Chasse au sanglier,
Musée d'arts de Nantes,2487,Les prisonniers,Estampe
Musée d'arts de Nantes,3556,Les ancêtres,Gravure sur papier verge
Musée d'arts de Nantes,6219,Paysans sur la plage,Encre de chine sur papier
Musée d'arts de Nantes,10.2.37.E,Old Scotch Whisky (Vieux Scotch Whisky),Encre sur papier
Musée d'arts de Nantes,2011.3.626.D,Love,Tirage jet d'encre sur papier
Musée d'arts de Nantes,2011.3.176.E,Raphaël seul,Lithograhie sur papier
Musée d'arts de Nantes,974.10.2.E,Les rêveries de la matière,
Musée d'arts de Nantes,2772,Le port de Nantes,Gravure sur papier Arches
Musée d'arts de Nantes,2770,Le port de Nantes,Gravure sur papier vergé Arches
Musée d'arts de Nantes,3559,Portrait de femme,Gravure sur papier
Musée d'arts de Nantes,979.22.1.E,Littoral,Gravures
Musée d'arts de Nantes,972.8.1.E,Fin de journée,Xilographie sur papier vergé
Musée d'arts de Nantes,2542,Untitled (2542),"Gravure au buin, tirage sur papier"
Musée d'arts de Nantes,2011.3.467.E,(Sans titre),Gravure sur papier Arches
Musée d'arts de Nantes,2011.3.471.E,(Sans titre),Gravure sur papier Arches
Musée d'arts de Nantes,2011.3.469.E,(Sans titre),Gravure sur papier Arches
Musée d'arts de Nantes,2011.3.470.E,(Sans titre),Gravure sur papier Arches
Musée d'arts de Nantes,2011.3.468.E,(Sans titre),Gravure sur papier Arches
Musée d'arts de Nantes,3742,"Ward Line steamer, New York",
Musée d'arts de Nantes,3684(1),"Nantes, escalier 65 quai de la Fosse",Eau-fore sur papier vergé filigrané bleuté
Musée d'arts de Nantes,D.2020.0.14.5.110.E,Nu académique d'un homme,Manière de dessin sur papier
Musée d'arts de Nantes,D.2020.0.14.4.3.E,Décorations architecturales,Eu-forte sur papier
Musée d'arts de Nantes,3795,"La tour de Saint-Germain, Paris","La tour de Saint-Germain, Paris"
Musée d'arts de Nantes,2011.3.292.E,Five tree drawings,Gravure
Musée d'arts de Nantes,3090,Sainte Thérèse,Gravure sur papier vergé
Musée d'arts de Nantes,3092,Saint Jean-Baptiste,Gravure sur papier vergé
Musée d'arts de Nantes,3091,L'automne,Gravure sur papier
Musée d'arts de Nantes,975.13.112.E,"Tiré à part d'une planche de l'album ""Miroirs""",Feuille d'aluminium rainurée
Musée d'arts de Nantes,2018.1.11.E,Untitled (2018.1.11.E),"Gravure, tirage sur papier"
Musée d'arts de Nantes,2018.1.22.3.E,Untitled (2018.1.22.3.E),Séigraphie sur plaque d'aluminium
Musée d'arts de Nantes,985.2.1.E,Blessure,"Impression, craie brune et pierre noire, fil, mine graphite et craie, acrylique et aquarelle"
Musée d'arts de Nantes,986.1.1.E,Je t'écris sur un bord de table / correspondance (suite),
Musée d'arts de Nantes,986.2.1.LV,Du cubisme,Gravures
Musée d'arts de Nantes,978.7.14.E,(Sans titre),Estampe
Musée d'arts de Nantes,03.12.7.E,Film als Objekt. Objekt als Film,"Impression sur une face, en noir, sur carton blanc."
Musée d'arts de Nantes,09.7.47.2.E,Rodophine Bresdin au jardin,Xylosophie sur papier Arches
Musée d'arts de Nantes,2011.3.177.E,Untitled (2011.3.177.E),Sérigrahie sur papier Rives
Musée d'arts de Nantes,D.992.3.69 [n° inv. déposant ou prêteur],Untitled (D.992.3.69 [n° inv. déposant ou prêteur]),Plaque de cuivre gravée
Musée d'arts de Nantes,2495,La vieille frégate,Planche sur cuivre
Musée d'arts de Nantes,982.26.1.E,Autour du cercle et du carré,Impression sur papier couché mat. + 2 gouaches
Musée d'arts de Nantes,3069,Le chef d'orchestre,
Musée d'arts de Nantes,D.992.3.71 [n° inv. déposant ou prêteur],Untitled (D.992.3.71 [n° inv. déposant ou prêteur]),Plaque de cuivre gravée
Musée d'arts de Nantes,D.992.3.67.E [n° inv. déposant ou prêteur],Passion,Plaque de cuivre gravée
Musée d'arts de Nantes,2011.3.89.E,Sans titre,Gravure sur Velin d'Arches
Musée d'arts de Nantes,2021.6.1.2.E,Les 7 périls spectraux,Impression sur papier vélin de Rives
Musée d'arts de Nantes,3388,Monsieur Biéville,Cuivre gravé
Musée d'arts de Nantes,2767,L'embouchure de l'Erdre,
Musée d'arts de Nantes,982.25.2.E,La revue nantaise,
Musée d'arts de Nantes,980.2.1.E,Untitled (980.2.1.E),Impression et gravure sur vélin pur fil Johannot
Musée d'arts de Nantes,981.7.1.RE,Recueil,
Musée d'arts de Nantes,2018.4.1.17.E,(Sans titre),Tirage offset sur papier
Musée d'arts de Nantes,09.7.57.2.E,Val de Loire : Lumières d'automne,Xérographie sur papier
Musée d'arts de Nantes,09.7.57.1.E,Val de Loire : Lumières d'automne,Xérographie sur papier
Musée d'arts de Nantes,09.7.55.1.E,Val de Loire : Lumière de printemps,Xérographie sur papier
Musée d'arts de Nantes,09.7.55.2.E,Val de Loire : Lumières de printemps,Xérographie sur papier
Musée d'arts de Nantes,09.7.56.1.E,Val de Loire : Lumières d'été,Xérographie sur papier
Musée d'arts de Nantes,09.7.56.2.E,Val de Loire : Lumières d'été,Xérographie sur papier
Musée d'arts de Nantes,966.12.1.B,La Procession,Bois d'impression gravé au canif
Musée d'arts de Nantes,D.992.3.73,Poisson,Plaque de cuivre gravée
MAMAC Nice,2017.3.20,Elemento addizionale 1,
MAMAC Nice,2017.3.21,Elemento addizionale 1 Risultato H/1,
MAMAC Nice,2010.1.9,Sans titre,gravure
MAMAC Nice,2010.1.12,Sans titre,gravure
MAMAC Nice,2010.1.36,G1973-12,Gravure sur Vélin d'Arches
MAMAC Nice,2010.1.11,Sans titre,gravure
MAMAC Nice,2010.1.13,Sans titre,gravure
MAMAC Nice,2010.1.8,Sans titre,gravure
MAMAC Nice,2010.1.34,G1973-13,Gravure sur vélin d'Arches
MAMAC Nice,2010.1.10,Sans titre,gravure
MAMAC Nice,2017.8.1,"Extases, Eglise abbatiale Saint-Pons, Nice",
MAMAC Nice,2001.13.183,Niki et Jean expo Anvers galerie J.G.M.,Affiche
MAMAC Nice,2001.13.185,Paradis fantastique,Affiche
MAMAC Nice,2001.13.187,"Niki stabilisée par Jean Tinguely, galerie de France & galerie J.G.M.",Affiche
MAMAC Nice,2001.13.179,Casino Knokke - Les fiancés de Knokke,Carton imprimé
MAMAC Nice,2001.13.182,Kunsthalle,Affiche
MAMAC Nice,2001.13.186,"""What is now known was once only imagined""",Affichette
MAMAC Nice,2001.13.177,Philip and Elisabeth's engagement,Carton
MAMAC Nice,2001.13.184,Un rêve plus long que la nuit,Affichette
MAMAC Nice,2001.13.189,Attention dragueurs,Affiche
MAMAC Nice,2001.13.176,Chers amis et collectionneurs,Carton
MAMAC Nice,993.6.3,Non-violence,
MAMAC Nice,2001.13.181,Festival de jazz de Montreux,Affiche
MAMAC Nice,993.6.1,Non-violence,
MAMAC Nice,993.6.2,Non-violence,
MAMAC Nice,2001.13.178,Musée d'art et d'histoire de Fribourg - Tableau éclaté Helvetica,Carton d'invitation
MAMAC Nice,2001.13.188,"Théâtre le Palace ""Clark Cooldridge contre l'assemblée des femmes d'Aristophane""",Affiche
MAMAC Nice,998.0.52,Sans titre,
MAMAC Nice,2001.13.180,Parfum art rêve dream - ville de Milly,Affiche
MAMAC Nice,2020.1.2,Sans Titre,Gravure originale sur cuivre sur Metalux
MAMAC Nice,2020.1.1,Sans Titre,Gravure originale sur cuivre sur Metalux
MAMAC Nice,2024.4.1,Californian Diary: Shamu! Killer Whale,
Centre national des arts plastiques,FNAC 2025-0106 (1),Lire des Images,Impression numérique couleur sur papier
Centre national des arts plastiques,FNAC 2025-0343 (1),Terres amoureuses - Simples médecines,Epreuve numérique jet d'encre pigmentaire sur papier Velin d'Arches 270 g
Centre national des arts plastiques,FNAC 19532 (7),Les Baux,Gravure
Centre national des arts plastiques,FNAC 27173,Corrida,
Centre national des arts plastiques,FNAC 27271,Saint-Tropez,Gravure
Centre national des arts plastiques,FNAC 14109,"Almanach, année 1699. Le camp de Coudun",Gravure
Centre national des arts plastiques,FNAC 14111,"Almanach, année 1699. Le camp de Coudun",Gravure
Centre national des arts plastiques,FNAC 14110,"Almanach, année 1699. Le camp de Coudun",Gravure
Centre national des arts plastiques,FNAC 13599,"Vieux chêne, l'hiver","Gravure, sur bois"
Centre national des arts plastiques,FNAC 13568,(Sans titre),Xylogravure sur papier de Chine (?)
Centre national des arts plastiques,FNAC 2015-0728 (1 à 45),Kempens Informatieblad (Front covers),"Impression numérique sur papier vélin 350 g, encre ultrachrome"
Centre national des arts plastiques,FNAC 2015-0726,19 mètres biotope,Impression jet d'encre sur papier mat
Centre national des arts plastiques,FNAC 2016-0052 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2015-0748 (4),"Saint Cosme et saint Damien, patrons des médecins",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0748 (3),"Saint Cosme et saint Damien, patrons des médecins",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0748 (1),"Saint Cosme et saint Damien, patrons des médecins",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0748 (2),"Saint Cosme et saint Damien, patrons des médecins",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 15726 (1),Paysage de Beauce,
Centre national des arts plastiques,FNAC 2018-0372,Blueberry Surprise,Tirage pigmentaire sur papier
Centre national des arts plastiques,FNAC 2016-0449 (1 et 2),White Noise n°3 et n°4,Epreuve numérique avec impression directe sur aluminium
Centre national des arts plastiques,FNAC 2016-0447 (3),"Unholy Copy : édition posters A, portfolio",Impression risographe bichromie sur papier
Centre national des arts plastiques,FNAC 2017-0178,The Value in Mathematics (Script),Impression numérique sur papier Archive
Centre national des arts plastiques,FNAC 2016-0028 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches
Centre national des arts plastiques,FNAC 2016-0022 (1),Awkward Self-portrait,"Impression numérique pigmentaire sur papier Hahnemühle Photo Rag Bright White, 310 g"
Centre national des arts plastiques,FNAC 2016-0038 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré vélin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0050 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0043 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0039 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0051 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0045 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0048 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0037 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0033 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0042 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0032 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0036 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré vélin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0049 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0047 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0030 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0034 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0040 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0044 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0046 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré
Centre national des arts plastiques,FNAC 2016-0041 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0031 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0029 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2016-0035 (1 et 2),Partition pour Baris,Impression à l'aide de pigments naturels sur papier marbré Velin d'Arches 85 g
Centre national des arts plastiques,FNAC 2015-0750 (12),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (6),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (10),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (2),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (7),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (4),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (8),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (3),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (5),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (11),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (1),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression couleur sur papier
Centre national des arts plastiques,FNAC 2015-0750 (9),"Saint Fiacre, patron des jardiniers, des horticulteurs et des fleuristes",Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (6),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (2),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (7),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (4),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (3),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (5),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (8),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (1),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 2015-0749 (9),Saints Crépin et Crépinien,Impression en couleur sur papier
Centre national des arts plastiques,FNAC 25949,Breuillet village,
Centre national des arts plastiques,FNAC 13101,Les plaisirs au bord de l'eau,Gravure
Centre national des arts plastiques,FNAC 89656,(Sans titre),
Centre national des arts plastiques,FNAC 89660,(Sans titre),
Centre national des arts plastiques,FNAC 89657,(Sans titre),
Centre national des arts plastiques,FNAC 90115,Sans titre,
Centre national des arts plastiques,FNAC 03-1035,Rythme du millimètre carré évidé,
Centre national des arts plastiques,FNAC 03-901,Rationale strukturen,"Carton, ruban adhésif, embossage, impression sur carton"
Centre national des arts plastiques,FNAC 32109,(Sans titre),
Centre national des arts plastiques,FNAC 32007 (1),(Sans titre),Estampe sur papier
Centre national des arts plastiques,FNAC 32693,Le Sixième jour,Estampe sur papier de soie
Centre national des arts plastiques,FNAC 31631,Res et signa,
Centre national des arts plastiques,FNAC 23317,N°3,
Centre national des arts plastiques,FNAC 24070,(Sans titre),
Centre national des arts plastiques,FNAC 1398,Composition blanche,"Papier et papier épais, enduit blanc (?), peinture blanche, découpage, mise en forme et marouflage sur plaque d'isorel"
Centre national des arts plastiques,FNAC 23099,Fenêtre ouverte,
Centre national des arts plastiques,FNAC 26919,Eclosion,Echoppe en trois couleurs sur papier vélin BFK Rives
Centre national des arts plastiques,FNAC 33328 (1 à 19),Anthropometric Autoportrait,Blueprint (impression sur papier)
Centre national des arts plastiques,FNAC 05-926,I have a Dream,Impression pigmentaire sur papier vélin d'Arches
Centre national des arts plastiques,FNAC 05-927,I have a Dream,Impression pigmentaire sur papier vélin d'Arches
Centre national des arts plastiques,FNAC 05-928,I have a Dream,Impression pigmentaire sur papier vélin d'Arches
Centre national des arts plastiques,FNAC 28320,(Sans titre),Gravure et rehauts d'aquarelle sur parchemin
Centre national des arts plastiques,FNAC 28144,Maternité,
Centre national des arts plastiques,FNAC 28325,(Sans titre),Gravure rehaussée d'aquarelle sur parchemin
Centre national des arts plastiques,FNAC 28374,Les lianes,Gravure
Centre national des arts plastiques,FNAC 27942,Le château d'Haroué et la colline de Sion Vaudémont,
Centre national des arts plastiques,FNAC 27981,Composition,
Centre national des arts plastiques,FNAC 33694,Soleil n° 1,Estampe sur papier japon
Centre national des arts plastiques,FNAC 34912,Sans titre,"Gravure rehaussée au pastel sec, pastel gras et fusain sur papier"
Centre national des arts plastiques,FNAC 33693,Carré blanc n° 1,Estampage sur papier japon
Centre national des arts plastiques,FNAC 35012,Grids and color,
Centre national des arts plastiques,FNAC 34256,(Sans titre),Acrylique sur papier gaufré
Centre national des arts plastiques,FNAC 35036 (1 à 5),Livres gigognes,Encre et aquarelle sur papier vélin et papier de soie
Centre national des arts plastiques,FNAC 31402 (22),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (25),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (27),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (26),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (23),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (28),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (24),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (21),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (3),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (2),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 31402 (20),La Vittoria,Impression offset
Centre national des arts plastiques,FNAC 35243,Leçons de ténèbres,"Crayon noir, sanguine et vernis sur papier monté sur toile par agrafage sur deux tasseaux de bois"
Centre national des arts plastiques,FNAC 35263,Le temps s'envole,graphisculpture gravure
Centre national des arts plastiques,FNAC PFH-4878 (22),Tournoi de chevalerie-L'Entrée de De Clèves/20 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (55),Exposition Universelle de Liège/Hiercheuses sur les hauteurs de Saint-Gilles/Armand Rassenfosse,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (47),Exposition Universelle de Liège/M.E. DIGNEFFE (président du conseil exécutif) M.R. LAMARCHE (commissaire général),Estampe
Centre national des arts plastiques,FNAC PFH-4878 (65),Exposition Universelle de Liège/N. Dorville/Commissaires généraux,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (63),Exposition Universelle de Liège/N. Dorville/Commissaires généraux,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (68),Exposition Universelle de Liège/Renouard et Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (8),Ministres à Portefeuille : M.M. De Trooz et Francotte,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (29),Le Cortège Historique-Le coiffeur,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (16),L'Ommeganck à la Grand'Place/16 juillet-midi,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (59),Exposition Universelle de Liège/Les Modes de Paris/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (62),Exposition Universelle de Liège/N. Dorville/M. Coertemans consul de S.M. le Shah de Perse à Anvers commissaire général de la Section Persane/Amin Cid Abdenhaman Benani et le commissariat général du Maroc,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (54),Exposition Universelle de Liège/Porte centrale/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (7),Ministres d'Etat : M.M. Beernaert et Graux,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (48),Exposition Universelle de Liège/Les Autorités/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (80),Exposition Universelle de Liège/Alpha P L Omega/Fabry,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (18),Bruxelles 16 juillet-La Procession,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (57),Exposition Universelle de Liège/Le Roi visitant l'exposition en petite tenue/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (45),Musique,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (35),Anvers-Le Collège échevinal,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (49),Exposition Universelle de Liège/Les Dames de Liège après l'inauguration par les Princes/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (51),Exposition Universelle de Liège/Vive le Roi/Paul Renouard,Estampe
