basis,junkNode,workId,title,target,evidence
source,Property of a KAWS collector,roseberys-a0550-lot353,Darth Vader,KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot376,Hang on,KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot367,Holiday Taipei (Brown),KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot348,Pinocchio & Jiminy Cricket,KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot373,Sons and Daughters Sunglasses (pink),KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot354,Storm Trooper,KAWS,SourceRecord attribution
source,RTO David Hockney,roseberys-a0743-lot113,"A Picture of Ourselves from 'The Blue Guitar' portfolio, 1976-7",David Hockney,SourceRecord attribution
embedded,AMENDMENT : Please note this lot should read Marc Chagall and not as stated,roseberys-a0571-lot19,Les Vitraux de Jerusalem - Levi 1962,Marc Chagall,matched 'Marc Chagall' in the node name
embedded,AMENDMENT Please note this lot is 86/100 Sir Howard Hodgkin,roseberys-a0550-lot163,Artist and Model,Howard Hodgkin,matched 'Sir Howard Hodgkin' in the node name
embedded,AMENDMENT This lot comes from Estate of artist and comes with numbered certificates signed by artist. Ian Tyson,roseberys-a0550-lot218,Nuba,Ian Tyson,matched 'Ian Tyson' in the node name
embedded,AMENDMENT This lot comes from Estate of artist. Ian Tyson,roseberys-a0550-lot217,Schema,Ian Tyson,matched 'Ian Tyson' in the node name
embedded,AMENDMENT: Please note this work is a lithograph. Sir John Kyffin Williams,roseberys-a0550-lot174,Pontllyfniin Snow,Kyffin Williams,matched 'Kyffin Williams' in the node name
embedded,CLIENT HAS PAID FOR PLASTIC SLEEVE TO STAY WITH LOT FOR TRANSIT Sir Terry Frost,roseberys-cw-CLIENT_HAS_PAID_FOR_PLASTIC_SLEEVE_TO_STAY_WITH_LOT_FOR_TRANSIT_Sir_Terry_Frost-Kemp-140-tide_up_newlyn_kemp_140,Tide Up Newlyn [Kemp 140],Terry Frost,matched 'Sir Terry Frost' in the node name
embedded,Lots 235-239 all by French artist Henri Chopin 1922-2008,roseberys-a0213-lot235,"Henri Chopin is remarkable for the diversity of his creative achievement. He was a graphic artist and designer, poet, painter, typographer, filmmaker and broadcaster, and is noted as a focal point of contact for the international arts during the second half of the twentieth century. He was a major figure of concrete and sound poetry in Britain and France and is widely considered to be a pioneer in its recognition and distribution. His work was born in the wake of Letterisme, the French avant-garde movement with its roots in both Dada and Surrealism.",Henri Chopin,matched 'Henri Chopin' in the node name
embedded,MOVED TO RECEIPT LINE 161105-1 - Sir Frank Bowling,roseberys-a0550-lot172,Towards Crab Island,Frank Bowling,matched 'Sir Frank Bowling' in the node name
embedded,Moved to 164199-4 - Damien Hirst,roseberys-a0612-lot456,H10-4 Suiko,Damien Hirst,matched 'Damien Hirst' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot110,A Hillside; and Shapes and Sizes,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot107,An Industrial Town,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot109,Deal,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0503-lot75,His Family,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot108,Laurence Stephen Lowry RBA RA,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot106,Meeting Point,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot103,Mill Scene,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot114,Sailing Boats,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot104,Station Approach,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot113,The Beach at Deal,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot112,The Cart,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot102,The Fever Van,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot105,The Lonely House; and An Accident,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot111,The Pond,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,PROPERTY FROM ESTATES OF L.S. LOWRY AND LATE CAROL ANN LOWRY,roseberys-a0494-lot100,Village on a Hill,Laurence Stephen Lowry,matched 'L.S Lowry' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0550-lot240,"Children Dancing School at la Scala; Milan, Italy",Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0529-lot178,Corps de Ballet rehearses Swan Lake at the Opera de Paris,Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0529-lot179,"George Bernard Shaw on the balcony of his flat at 4, Whitehall in London: The Thames and St Paul's Cathedral in background",Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0529-lot180,"Hurricane in the Atlantic, the Cunard liner Queen Elizabeth during a crossing the Atlantic towards the USA",Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0529-lot176,"Siesta on right bank of river Seine, below Notre Dame Cathedral",Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0550-lot244,"St Moritz; Switzerland, Feb 1947",Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,Property from Estate of Alfred Eisenstaedt,roseberys-a0529-lot177,"T.S Eliot, London",Alfred Eisenstaedt,matched 'Alfred Eisenstaedt' in the node name
embedded,RTO Anthony Green,roseberys-a0359-lot88,Untitled (A0359 lot 88),Anthony Green,matched 'Anthony Green' in the node name
embedded,RTO Damien Hirst,roseberys-a0724-lot379,H9-4 Politeness from the Virtues,Damien Hirst,matched 'Damien Hirst' in the node name
embedded,RTO Jean Paul Riopelle,roseberys-a0378-lot176,Untitled,Jean-Paul Riopelle,matched 'Jean-Paul Riopelle' in the node name
embedded,RTO Jonas Wood,roseberys-a0414-lot65,Large Shelf Still Life,Jonas Wood,matched 'Jonas Wood' in the node name
embedded,RTO Mick Rock,roseberys-a0642-lot366,David Bowie on his 1973 tour at Earl's Court,Mick Rock,matched 'Mick Rock' in the node name
embedded,RTO Raoul Dufy,roseberys-a0378-lot7,"Man with barrels, from the Vineyard Suite",Raoul Dufy,matched 'Raoul Dufy' in the node name
embedded,RTO Roy Lichtenstein,roseberys-a0359-lot60,Untitled (A0359 lot 60),Roy Lichtenstein,matched 'ROY LICHTENSTEIN' in the node name
embedded,RTO Sir William Nicholson,roseberys-a0378-lot3,"""Drum-Major (Wimbledon Common)"", from the series ""London Types""",William Nicholson,matched 'Sir William Nicholson' in the node name
embedded,RTO Sir William Nicholson,roseberys-a0359-lot121,Untitled (A0359 lot 121),William Nicholson,matched 'Sir William Nicholson' in the node name
embedded,RTO Vincent van Gogh,roseberys-a0359-lot93,"Note: This lot is accompanied with a certificate of authentication from Chelsea Green Editions, and is numbered 5 from a limited edition of 99.",Vincent Van Gogh,matched 'Vincent van Gogh' in the node name
image,***Please note the images in this lot have been updated,forum-141614,Joe Tilson (1928-2023),Joe Tilson,nearest neighbour at cosine 1.000
image,AMENDMENT please note that an estimate change has taken place on this Lot from £180-220 to £200-300,roseberys-a0550-lot724,Marilyn Classic and Arthur Miller's Nightmare Pink,Pure Evil (Charles Uzzell Edwards),nearest neighbour at cosine 0.957
image,AMENDMENT: Please note edition number is 2411/3041,roseberys-a0583-lot434,H10-2 Nur Jahan,Damien Hirst,nearest neighbour at cosine 1.000
image,AMENDMENT: Please note that VAT will be charged on hammer price for this lot.,roseberys-a0766-lot252,Niagara Falls power: Hydro-generators,Margaret Bourke-White,nearest neighbour at cosine 0.999
image,AMENDMENT: Please note that VAT will be charged on hammer price for this lot.,roseberys-a0766-lot253,Untitled,Margaret Bourke-White,nearest neighbour at cosine 0.993
image,AMENDMENT: Please note this book is a first edition,roseberys-a0612-lot335,The Philosophy of Andy Warhol (from A to B and back again) by Andy Warhol,Andy Warhol,nearest neighbour at cosine 1.000
image,AMENDMENT: Please note this is a Hors Commerce,roseberys-cw-AMENDMENT:_Please_note_this_is_a_Hors_Commerce-S.A.C.-113-portrait_of_felix_mann_s_a_c_113,"Portrait of Felix Mann, [S.A.C. 113]",David Hockney,nearest neighbour at cosine 0.985
image,AMENDMENT: Please note this print is unframed.,roseberys-cw-AMENDMENT:_Please_note_this_print_is_unframed.-Dupin-746-saturnale_d_insectes_dupin_746,Saturnale d' Insectes [Dupin 746],Joan Miró,nearest neighbour at cosine 0.973
image,Amendment: 'Dancer' was produced exclusively for 2011 Q Awards in London and was not offered for general release. prints were presented to special guests of ceremony and owned by famous fellow artists and celebrities.,roseberys-a0642-lot473,Dancer,Stik,nearest neighbour at cosine 0.950
image,Artists Various,forum-61610,Untitled,Haralampi G. Oroschakoff,nearest neighbour at cosine 0.952
image,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot256,A Souvenir of the Peter Blake Retrospective,Peter Blake,nearest neighbour at cosine 0.952
image,Property of an Urban Art Collector,roseberys-a0529-lot412,Crown & Country,Prefab77,nearest neighbour at cosine 0.947
image,Property of an Urban Art Collector,roseberys-a0529-lot408,Have a Nice Day,Banksy,nearest neighbour at cosine 0.965
image,Property of an Urban Art Collector,roseberys-a0529-lot409,Queen Vic,Banksy,nearest neighbour at cosine 0.954
image,Property of an Urban Art Collector,roseberys-a0529-lot410,Tesco Tomato Soup,Banksy,nearest neighbour at cosine 0.974
image,Property of an Urban Art Collector,roseberys-a0529-lot425,We Hate Eine (Black & Pink),Ben Eine,nearest neighbour at cosine 0.960
image,T.OB to deliver.,roseberys-a0378-lot139,Safari Bronze,Peter Phillips,nearest neighbour at cosine 0.934
image,amendment - please note this lot is unframed,roseberys-cw-amendment_-_please_note_this_lot_is_unframed-Vallier-58-green_head_vallier_58,Green Head [Vallier 58],Georges Braque,nearest neighbour at cosine 0.939
unresolved,A Small Collection,bonhams-10248-11,Old Master Prints,,"no source, no name, no near neighbour"
unresolved,A collection of approximately one-hundred Curwen Press End Papers,roseberys-a0207-lot221,Untitled (A0207 lot 221),,"no source, no name, no near neighbour"
unresolved,A collection of approximately sixty auction catalogues relating to photography sales from c.1975-c.2003,roseberys-a0228-lot321,Untitled (A0228 lot 321),,"no source, no name, no near neighbour"
unresolved,A collection of approximately thirty Curwen Press End Papers,roseberys-a0228-lot137,Untitled (A0228 lot 137),,"no source, no name, no near neighbour"
unresolved,A collection of approximately thirty-five Curwen Press End Papers,roseberys-a0250-lot282,Untitled (A0250 lot 282),,"no source, no name, no near neighbour"
unresolved,A collection of approximately thirty-five Curwen Press End Papers,roseberys-a0250-lot283,Untitled (A0250 lot 283),,"no source, no name, no near neighbour"
unresolved,AMENDMENT : Please note,roseberys-a0583-lot198,Croque mort (D) (Undertaker (D)),,"no source, no name, no near neighbour"
unresolved,AMENDMENT : Please note this work is called A streetcar named desire #2 not as stated,roseberys-a0583-lot197,A streetcar named desire #3,,"no source, no name, no near neighbour"
unresolved,AMENDMENT Please note VAT does not apply to hammer price on this Lot.,roseberys-a0550-lot153,Circus Figures,,"no source, no name, no near neighbour"
unresolved,AMENDMENT Please note image for this Lot should be with a blue background.,roseberys-a0503-lot363,Wotulookin-at,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: NOT PRINTED IN COLOURSCharles Maurice Detmold,roseberys-a0261-lot19,Untitled (A0261 lot 19),,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note dimensions of sheet 150 x 114cm,roseberys-a0724-lot353,"Archangel Michael: And No Message Could Have Been Any Clearer, Hawaii 7/23/09",,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note that VAT will be charged on hammer price for this lot.,roseberys-a0766-lot244,Inside Out - Inside,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note this is a Lithograph printed in olive green with later hand-colouring and graphite rather than lithograph printed in colours as described.,roseberys-a0207-lot120,"Henri de Toulouse-Lautrec, French 1864-1901- ""La Passagère du 54 ou Promenade en Yacht"", 1895, (Deltteil 366; Wittrock P 20 I; Adriani 145 I); lithograph in colours, first state, signed in black crayon, with the artist's red monogram stamp (Lugt 1338), unnumbered, possibly a proof from the edition of 50, on imitation Japan paper, mounted in a glazed 18th century carved giltwood frame, 62x44cm",,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note this photograph was printed later c.1980,roseberys-a0494-lot196,Equivalent,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note this photograph was printed later c.1980,roseberys-a0494-lot197,"Equivalent, from Set A",,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note this print is numbered 3/20 and not 7/20 as described,roseberys-a0305-lot225,The following lots 225-235 are from a private collection,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: Please note: this limited edition of 125 unique variations of a single image is individually hand painted by artist in his Brighton studio.,roseberys-a0427-lot354,Shits,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: This is a black and white photographic print,roseberys-a0445-lot390,Che Guevara and Fidel Castro Playing Golf,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: This is an unique work,roseberys-a0445-lot312,"The Storm (Addenda 3 to ""Dedicated to the Unknown Artists"")",,"no source, no name, no near neighbour"
unresolved,AMENDMENT: This work is in brown colour way,roseberys-a0469-lot303,Small Lie (Grey),,"no source, no name, no near neighbour"
unresolved,AMENDMENT: measurement should read: sheet 69.5 x 69.5cm,roseberys-a0395-lot351,Afraid of a Lady,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: signature is in plate,roseberys-cw-AMENDMENT:_signature_is_in_plate-Levinson-191-woodman_s_cottage_charente_levinson_191,"Woodman's Cottage, Charente [Levinson 191]",,"no source, no name, no near neighbour"
unresolved,AMENDMENT: this work is a lithograph,roseberys-a0469-lot16,Gresham Compact,,"no source, no name, no near neighbour"
unresolved,AMENDMENT: titled of this work is Untitled (Capitol Detail).,roseberys-a0467-lot308,Untitled (Saturn),,"no source, no name, no near neighbour"
unresolved,AMENDMENT: work is unframed,roseberys-cw-AMENDMENT:_work_is_unframed-Kusama-258-pumpkin_my_kusama_258,Pumpkin MY [Kusama 258],,"no source, no name, no near neighbour"
unresolved,Amendment - please note this lot has no edition number,roseberys-cw-Amendment_-_please_note_this_lot_has_no_edition_number-Still_Life-II-still_life_on_pedestal_table_still_life_ii,Still Life on Pedestal Table (Still Life II),,"no source, no name, no near neighbour"
unresolved,Amendment - please note this work is numbered 45/250 and signed and dated 74 on reverse in pencil,roseberys-a0571-lot166,Flowers (hand coloured) (F and S.110-119) 1974,,"no source, no name, no near neighbour"
unresolved,Amendment - this lot is unframed,roseberys-a0571-lot55,Zwei Vogel,,"no source, no name, no near neighbour"
unresolved,Amendment - this lot was not purchased from a New York gallery but acquired from artist through charity Fashion Acts,roseberys-a0571-lot228,"Boy, shape 1, sun print",,"no source, no name, no near neighbour"
unresolved,Amendment: Please note following provenance: Waddington Galleries & Private collection of Dr John & Mary Esther O'Driscoll,roseberys-a0612-lot131,Black Leaf Form,,"no source, no name, no near neighbour"
unresolved,Amendment: Please note following provenance: Waddington Galleries & Private collection of Dr John & Mary Esther O'Driscoll,roseberys-a0612-lot132,Yellow Leaf Form,,"no source, no name, no near neighbour"
unresolved,Amendment: Please note that title of this work is 'Folded Man'. print is signed in pen by artist,roseberys-a0642-lot269,Abstract Composition,,"no source, no name, no near neighbour"
unresolved,Lot 106 Administration Charge,roseberys-a0305-lot308,Untitled (A0305 lot 308),,"no source, no name, no near neighbour"
unresolved,Lots 209-219 are from the archive of Gresham Studio,roseberys-a0207-lot209,"Alan Davie CBE RA HRSW, Scottish 1920-2014- ""Cosmic Signals No 1-4"" screenprints in colours, four, ea. signed, dated 01, inscribed 'publishers proof' and two numbered 4/5 in pencil,ea. bearing publishers blind stamp, ea. 65.5x87cm, (4), (unframed), (may be subject to Droit de Suite)",,"no source, no name, no near neighbour"
unresolved,Lots 209-219 from archive of Gresham Studio,roseberys-a0207-lot209,"Alan Davie CBE RA HRSW, Scottish 1920-2014- ""Cosmic Signals No 1-4"" screenprints in colours, four, ea. signed, dated 01, inscribed 'publishers proof' and two numbered 4/5 in pencil,ea. bearing publishers blind stamp, ea. 65.5x87cm, (4), (unframed), (may be subject to Droit de Suite)",,"no source, no name, no near neighbour"
unresolved,Lots 252-274 have following:,roseberys-a0213-lot252,"Gallery 32, Alexander St., Notting Hill Gate, London; the private collection of A Leslie",,"no source, no name, no near neighbour"
unresolved,Lots 97-112 from a private collection comprising of etchings printed and published by 2RC Edizioni d'Arte,roseberys-a0324-lot97,"""Lettera di Divisione dei Terreni"", ""Lettera Sbarrata"", ""Lettera Solare"" and ""Lettere con la Discesa"" from the 7 Lettere suite",,"no source, no name, no near neighbour"
unresolved,Old Master Print from Chatsworth.-,forum-82730,Salvator Rosa (1615-1673),,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot46,Negre i Vermill,,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot45,Signes i Oxid,,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0503-lot45,Star Sign (Cancer),,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot245,"The Stones of Venice, Sant' Alpio Rio",,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot267,Two untitled etchings,,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot287,"Underground Design, Folio X",,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0503-lot274,W,,"no source, no name, no near neighbour"
unresolved,PROPERTY FROM COLLECTION OF LATE CLODAGH WADDINGTON,roseberys-a0494-lot301,W,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot416,Cowgirl One,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot424,"Dead Dad 1, Dead Dad 2 and Operation Magic Kingdom",,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot413,I could do that,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot420,Love Will Tear Us Apart,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot427,Moniker (black),,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0550-lot711,Never Trust a Punk,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot423,"Occupation Day, One Penny and Memento Mori Stamps",,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot418,Pandas Rock,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot407,Rude Copper,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot417,Sid Vicious,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot422,Suicide Swans,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot426,Untitled (Pink Alphabet),,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot419,Untitled Blue Silhouette,,"no source, no name, no near neighbour"
unresolved,Property of an Urban Art Collector,roseberys-a0529-lot421,Untitled Legs,,"no source, no name, no near neighbour"
unresolved,RTO Adam B Marshall,roseberys-a0345-lot25,Untitled (A0345 lot 25),,"no source, no name, no near neighbour"
unresolved,RTO Anna Pugh,roseberys-a0345-lot23,Untitled (A0345 lot 23),,"no source, no name, no near neighbour"
unresolved,RTO Bernard Munch,roseberys-a0378-lot228,Vers un nouveau rivage,,"no source, no name, no near neighbour"
unresolved,RTO Daniel Mackenzie,roseberys-a0345-lot24,Untitled (A0345 lot 24),,"no source, no name, no near neighbour"
unresolved,RTO Dolf Reiser,roseberys-a0359-lot62,Untitled (A0359 lot 62),,"no source, no name, no near neighbour"
unresolved,RTO Michael Carlo,roseberys-a0378-lot24,Path through the Trees,,"no source, no name, no near neighbour"
unresolved,RTO Sophie Macpherson,roseberys-a0378-lot67,Landscape with boats,,"no source, no name, no near neighbour"
unresolved,RTO TO BE AUTHENTICATED,roseberys-a0359-lot89,Angel dog barking,,"no source, no name, no near neighbour"
